en,cs,position,score,rel_score,ratio_score,index,correctness,freqs
porter,trtílek,7,0.5195732758059208,0.0300501346777972,0.9453259557278492,5994,no,10956
observations,halleyovy,8,0.5419998471305295,0.1878000588316775,0.7426691106734634,6317,no,156403
crop,plodinu,3,0.558841270188124,0.0742435437926314,0.8827273342322056,6843,no,180772
missionaries,misionářské,2,0.6702067334252875,0.0868951237640826,0.8852266403272764,6962,no,45502
wore,oblékli,5,0.6215762917323169,0.0727554846356913,0.8952151016099692,6932,no,155002
pace,pomalý,4,0.4569676136744444,0.1212910988287502,0.7902476932795368,6390,no,360907
ahmad,mahmúd,4,0.5895942306398549,0.0234503469798754,0.9617477295518604,6299,no,716
knee,kotníku,0,0.6859303216363983,0.0,1.0,6665,no,223033
genres,žánru,8,0.617804123139625,0.1396332000882097,0.8156504890818425,6922,no,63598
flew,vzlétlo,1,0.706110136913284,0.0286385687705662,0.9610226346109564,5741,no,115830
bills,půjčky,2,0.4060571510172148,0.0842489715743458,0.8281706719690961,5646,no,483289
contestants,soutěžící,0,0.7170781548325229,0.0,1.0,6579,yes,38982
civilization,civilizacemi,5,0.591247363531908,0.1401765236942681,0.8083511816576456,7299,no,114925
rhodes,amyntás,9,0.3966740230464172,0.0767687237561087,0.8378500372546014,7152,no,1372
fake,falešní,1,0.5340865483533472,0.0245279316487105,0.9560914861200516,6817,no,254311
survival,přežití,0,0.7031353399353677,0.0,1.0,5823,yes,249337
slavery,otrokářů,5,0.560221538285282,0.0967599409116671,0.852720443459167,5903,no,92619
planets,planety,0,0.6938779462208937,0.0,1.0,5958,yes,87925
maintains,udržující,5,0.5464131704043915,0.1474486910219191,0.7874956108427377,6449,no,142165
trap,nastražené,3,0.4606260969802294,0.0720925687760958,0.8646704660259226,7077,no,132686
compact,kompaktními,8,0.5126337127748688,0.101810563427202,0.8343046434470814,6280,no,220023
breast,nádoru,3,0.564402967779916,0.0920086328473139,0.8598308854392644,7144,no,454167
nat,mycol,2,0.3738999844398916,0.0441700606280622,0.8943477028571066,6893,no,6165
holmes,šimůnek,4,0.5356276381994276,0.0237627792933061,0.957520224604822,5806,no,4121
solve,řeší,6,0.6078794655990292,0.1328676217112789,0.8206302475063002,5785,no,353462
rebel,vzbouřenec,3,0.5586426077728522,0.0322613655741869,0.9454033700409056,5777,no,52615
diving,potápěč,4,0.5868699133009923,0.0782619992006812,0.8823361235122149,6525,no,138266
richards,petrásek,3,0.5304568370497128,0.0318958301683319,0.9432814459187676,6769,no,1736
preparing,přípravě,6,0.6092285652190241,0.046654388953693,0.928867812988768,7153,no,335680
collecting,sbírání,0,0.6566964397395776,0.0,1.0,6846,yes,194650
complement,palub,1,0.4673500186508381,0.0450374924481001,0.9121026733233476,6544,no,144296
defining,definování,0,0.6500616420419869,0.0,1.0,6184,yes,116062
nights,odpoledním,9,0.5021411495009324,0.0443874746354187,0.918782891370856,5830,no,312353
intense,intenzivní,0,0.6167181190127395,0.0,1.0,6251,yes,322515
nights,noci,2,0.5232273496525912,0.0233012744837598,0.9573649513406886,5830,yes,312353
lutheran,evangelických,6,0.6595168506075441,0.0287436550521142,0.9582372447412696,5820,no,753
stretch,přemosťuje,2,0.4924433619165598,0.0058595178932076,0.988241051515808,6426,no,309489
dot,čárky,3,0.4491172400513888,0.0451391816096785,0.9086725439844008,7193,no,93095
aftermath,katastrofálně,3,0.5251541855988282,0.0211693401705024,0.961251274799686,6876,no,60640
dragons,démoni,9,0.4458124991289945,0.0986452134390317,0.8188193294686652,6482,no,31852
bunch,opravdu,0,0.5245339439845909,0.0,1.0,6637,no,361088
dying,nezemřel,6,0.6160404818885035,0.0607085869990691,0.910293800479311,5979,no,211988
motorcycle,motocyklu,5,0.6491603561494224,0.0182793434223957,0.9726127417441268,5866,yes,173801
escaped,uprchli,5,0.6663009872208898,0.092458652365529,0.8781450046342396,5753,no,83418
uprising,povstání,0,0.7686592260940665,0.0,1.0,6611,yes,33232
eds,h&h,9,0.5150614160616376,0.1862616678578128,0.7344138926429439,6433,no,6949
enrolled,maturitě,3,0.657646213369329,0.0194139434329967,0.9713261174240608,6247,no,122426
forbes,newsweek,3,0.4412536639491158,0.1458141254643479,0.7516230185102984,6924,no,1948
bach,mendelssohn,7,0.5585128820750276,0.0731115526177631,0.8842483783051821,6928,no,1550
announcement,oznámila,4,0.5869210383982075,0.0760363267948416,0.8853073654703266,6279,no,257805
