en,de,position,score,rel_score,ratio_score,index,correctness,freqs
canterbury,salisbury,8,0.5753733769217994,0.1758324323633348,0.7659330769411099,5941,no,987
saxophone,bassklarinette,5,0.7502403428623673,0.0119764261071356,0.9842873751999348,6043,no,15308
airfield,flugplatzes,5,0.7137066613736809,0.0480248505944256,0.9369530473140824,6165,no,11374
sufficiently,ausreichend,1,0.7039523357207713,0.0333728266921513,0.9547379793971256,6137,yes,106898
lasting,langanhaltende,5,0.5939325941554747,0.072678777389147,0.8909727909070299,6675,no,237682
memphis,cleveland,9,0.599577147076509,0.1824260243602754,0.7667195850048769,5996,no,10784
referendum,verfassungsänderung,6,0.6544827696638128,0.0830300898581603,0.8874187903489884,6669,no,55261
mediation,vermittlungsausschuß,2,0.6493137008759137,0.0205028254311446,0.9693903858356792,6164,no,66004
bicycle,fahrrad,0,0.6978575432368426,0.0,1.0,6473,yes,131062
technically,nicht,1,0.6334240217046007,0.0106339069472741,0.9834892072992056,6143,no,114018
slaves,sklaverei,4,0.7023681400373853,0.1604497365242085,0.814039856054426,5450,no,103015
batman,superheld,4,0.5767995581528378,0.1558433581625031,0.7872860643404819,5963,no,12095
morrison,boyd,5,0.6057032595446988,0.0907921801041625,0.8696442576136098,6620,no,2258
compiled,kompiliert,1,0.5883809895494108,0.0170706856250759,0.9718050402285924,5621,yes,115024
contracts,zahlungsverpflichtungen,2,0.6382345643051905,0.05895626325187,0.9154374083513817,6128,no,326030
surely,denn,4,0.7814891022117263,0.0320054820326811,0.9606567976572228,6019,no,429356
assassination,attentates,2,0.7554476199758364,0.0658978141505375,0.9197684537923684,6509,no,51835
jeremy,greg,1,0.5679580077483463,0.0339012535507695,0.9436724567840103,6015,no,4991
cleaned,rausgenommen,2,0.6198025541363463,0.016289387526187,0.9743914574933744,6535,no,148462
preston,chesterfield,2,0.6209170516502875,0.0442526920026959,0.933471580111764,6241,no,1102
kurt,burkhard,6,0.4486240750093475,0.110902075532854,0.8017928645061794,6221,no,3530
reactions,reaktionsart,9,0.6533948313448324,0.1923911276642108,0.7725297687731492,6144,no,205489
plymouth,bristol,6,0.6034401488392064,0.105883385128305,0.8507262482381491,6161,no,2021
enabled,möglichkeit,8,0.5703923371385315,0.1690564732031814,0.7713750149586998,6263,no,207899
enjoy,genießt,7,0.5501137256596306,0.1645718540112312,0.7697283131317377,5723,no,1830928
smoke,rauchen,6,0.579886488404499,0.074862616869194,0.8856621318514051,6508,yes,396488
priority,sicherstellung,7,0.4953256774831363,0.1545538430554908,0.7621807763269799,6677,no,344855
jeremy,josh,2,0.5663477376492709,0.0355115236498448,0.9409969640191412,6015,no,4991
handling,handhabung,0,0.6121848556134581,0.0,1.0,5685,yes,350785
appreciated,dankeschön,9,0.5773861592953068,0.0758986155685382,0.8838200146569208,6697,no,219010
sculptures,steinskulpturen,2,0.8021827231194807,0.0636450528717074,0.9264922486474316,6648,no,53343
monroe,shelbyville,2,0.6029605050308824,0.1281969938228171,0.8246656923798183,6229,no,3856
newfoundland,scotia,2,0.6975706325229128,0.0698777311038582,0.9089479704228786,6102,no,1983
belgrade,skopje,5,0.7294846919828826,0.1394530365661082,0.8395131987202628,6231,no,218
accidents,flugunfälle,8,0.6744414888247553,0.1388029900726991,0.8293219398662509,6149,no,226715
luxembourg,belgien,1,0.6833328246083117,0.0587778057869154,0.9207964373780604,5986,no,651
carol,charlene,4,0.5576143218146061,0.1329159806888332,0.8075160782851072,5937,no,8416
ritual,rituellen,0,0.7761135249395505,0.0,1.0,6898,no,103185
sec,wphg,2,0.4024217970216234,0.1312175454154957,0.7541081869709454,6661,no,54103
kumar,mukherjee,2,0.6450133120864455,0.0299271844401493,0.9556595216998212,6331,no,2562
overview,zusammenfassende,8,0.5794139923191827,0.0763945317897804,0.8835109197557679,5503,no,196502
revolt,aufstandes,4,0.7045877805040512,0.0558073380198878,0.9266074483378856,6820,no,34363
farming,schafzucht,8,0.7373979763309898,0.0463992443846462,0.9408019789324056,5410,no,146595
challenged,verteidigen,7,0.5315815508272943,0.0918560288823412,0.8526620276481842,5514,no,156397
affiliate,nachfolgeteam,8,0.4651413908918376,0.0446734480288956,0.912373189992923,6240,no,349891
witnesses,zeugen,4,0.6150913360485626,0.0724061269380479,0.8946816085349567,6949,yes,128917
costume,kostümen,2,0.6458105535693529,0.1318928058877125,0.8304073085401221,7001,no,185308
variants,abwandlungen,1,0.6797836251157129,0.1436752419145707,0.8255222602281033,6349,no,59912
rankings,ranking,1,0.7387679975828528,0.0385919516368649,0.9503551068258635,6553,no,151086
excellence,auszeichnung,4,0.5996285951790563,0.1077877293277611,0.847631832071579,5406,no,180014
explaining,erklärend,4,0.6419946196809362,0.0665835892053867,0.90603212408968,5973,no,169624
darkness,geisterwelt,8,0.5539113490234752,0.1386370964233911,0.7998160311601946,6866,no,168890
inspector,generalinspektor,2,0.6756200772658338,0.0590930328066232,0.9195699219239528,5915,no,52830
explosion,explodierenden,9,0.6998738109322467,0.1482615239457652,0.8251911954981928,5990,no,116122
agenda,gesellschaftspolitik,6,0.5973620920800999,0.0984517115321709,0.8585085391794968,6574,no,282725
bradley,sanderson,8,0.575960120274075,0.0459637245207309,0.9260942880620762,6018,no,2776
rachel,emily,1,0.684192085479458,0.0085927331708489,0.987596822361683,5910,no,6256
export,exportierte,3,0.7458302464850202,0.0668161383042955,0.9177795661742616,6445,no,205304
triangle,dreieck,2,0.5425602443714648,0.0245254630056888,0.9567517525364512,6093,yes,59398
deliver,übermitteln,9,0.5358268706248726,0.0402145949468859,0.930188020567286,6666,no,709685
shops,einkaufsmöglichkeiten,5,0.6680411687766284,0.0801489613214542,0.8928762114103975,5542,yes,446427
controls,steuert,1,0.6686775519380549,0.0383035867064426,0.9458209213616612,5526,no,353026
maintaining,gewährleisteten,4,0.5694094213389715,0.0692173839861671,0.8916152854703192,5663,no,352470
martha,emily,6,0.5833908659675714,0.0904073078072966,0.8658243501896105,6707,no,2419
defenders,angreifern,1,0.5687778626574287,0.0408503934915041,0.9329913056367184,6091,no,48721
craft,segelbooten,6,0.5020905556086616,0.0234722301092354,0.9553388657890352,5439,no,246536
quarters,viertel,6,0.499903670717458,0.0419538713575137,0.9225739828279276,6708,no,133036
lutheran,evangelisch,2,0.74257897978976,0.0327259894436025,0.9577895270348098,5820,yes,753
casino,casinos,2,0.6417149650803142,0.0296759722511223,0.9557992659700252,6756,no,453078
lens,linse,1,0.620807917731415,0.0148571271510042,0.9766274278086936,6489,yes,262820
diversity,formenvielfalt,6,0.6311448438651941,0.1515053179143051,0.8064201282858872,5950,no,267197
crawford,mclean,7,0.6226723538983234,0.0401921099255652,0.9393660210811308,6909,no,1813
