en,de,position,score,rel_score,ratio_score,index,correctness,freqs
tobacco,tabakwaren,2,0.7078732631122474,0.1011985887980121,0.8749201463886339,6534,yes,212721
smoke,zigarette,4,0.6438345267858842,0.081186777609867,0.8880215283087027,6508,yes,396488
iso,sprachcode,3,0.5623591878291896,0.2036824234701464,0.7341104967853291,6351,no,9651
literacy,alphabetisierungsrate,1,0.6675228180591091,0.0307514669715895,0.9559607626532636,5671,no,105441
reconstruction,rekonstruktionsarbeiten,1,0.674484594088747,0.0627300835143208,0.9149093399519967,5769,no,78398
kingston,williamstown,9,0.5894968074707759,0.1747704350351416,0.7713228759326441,6083,no,2478
negotiations,verhandelten,9,0.7114934999762829,0.1284942909334959,0.8470283826455077,5602,no,192398
arguing,argumentiert,0,0.7358349296694273,0.0,1.0,5484,no,102469
appreciated,weitergeholfen,2,0.6073242553568828,0.0238882753972348,0.9621549411119972,6697,no,219010
tenor,baritonsaxophon,2,0.723162383767689,0.0246081822820372,0.9670912664936308,6826,no,22287
johnston,campbell,1,0.6777314293910527,0.0641995336734794,0.9134696664925476,6849,no,1985
traveling,bereisten,6,0.5992976819829168,0.1050981819485969,0.8507967077461214,5771,no,326384
sixteen,achtzehn,7,0.6613208406113186,0.0521108436172317,0.9269574862327844,5951,no,62210
servant,knecht,6,0.5908905251481577,0.0786782540516494,0.8824941417584065,6359,yes,89915
remembered,erinnerung,9,0.532232781456946,0.0387755202451091,0.9320928957958624,6030,no,189553
housed,untergebrachten,2,0.7071065394479223,0.0541239072031303,0.9288994450481556,5581,no,70928
hoped,versprach,5,0.6786505567415013,0.1027633050522351,0.86849055273176,6965,no,177813
namely,einerseits,5,0.4565285886036074,0.0562999574757105,0.8902168026601959,5522,no,313587
exhibitions,einzelausstellungen,1,0.8234998546997282,0.0621690923025638,0.9298054961585968,5603,no,73184
reserved,reservieren,3,0.6203609389089272,0.1201964626145316,0.8376946035955267,6839,no,142397
aggregate,hinspiel,7,0.4917743221534157,0.0350236769661639,0.9335159263613418,6348,no,83864
forwards,flügelstürmers,1,0.6097203004703806,0.0015987437451432,0.997384763716637,7006,no,51320
ghana,zentralafrikanischen,9,0.6815939999258704,0.1112822519709197,0.8596473892304123,5775,no,3253
bruno,fabio,1,0.5726972110049161,0.0806511732269982,0.8765571704569027,6941,no,2193
exterior,außenfassaden,5,0.6856278034666812,0.0299399572132916,0.9581591585612508,6998,no,169273
alpine,alpiner,3,0.7517227183157962,0.0612094618989306,0.9247053279613524,5645,no,23242
mediation,schlichtung,1,0.6453108063886251,0.001280530484517,0.9980195675204844,6164,yes,66004
ahmad,ahmad,0,0.7916584610267636,0.0,1.0,6299,yes,716
submit,vorzulegen,1,0.6156925243576837,0.0170991709717174,0.9729781994644914,6303,yes,444189
taste,schmeckt,6,0.6949739750499824,0.0874370540586689,0.8882466493880075,5757,no,618741
neighboring,umliegenden,5,0.6567205811017784,0.1072873766853603,0.8595729591664124,6353,no,71739
nonsense,schwachsinn,3,0.777006068843813,0.0359232833686463,0.955810079595628,5411,yes,86487
switched,gewechselt,0,0.6702012157509374,0.0,1.0,5799,yes,120437
brass,schlaginstrumente,9,0.5797017787708502,0.0639076717373142,0.9007042676473198,6927,no,85995
exhibited,ausstellt,4,0.6903341562626206,0.0231585432337412,0.9675420039334834,5964,no,71095
highland,lowland,7,0.5282625737023998,0.1986212401437979,0.7267496725607039,6787,no,7166
dying,sterbend,0,0.7397035800701183,0.0,1.0,5979,no,211988
respected,angesehener,8,0.6143827197714489,0.0673566928421239,0.901198769506519,6389,no,187855
conquest,eroberten,9,0.6173320693487601,0.1267172731432821,0.8296923793805551,6021,no,33817
ammunition,handgranaten,7,0.6842956856145022,0.1457860885018467,0.8243714136995224,7014,no,49304
fraser,murray,6,0.6220220779205613,0.1555830238554902,0.7999202635114683,6414,no,1085
myspace,discogs,6,0.6027376077676911,0.2112146820938064,0.740507294193193,6066,no,40138
abilities,begabungen,3,0.6741549527424772,0.1710314526868963,0.7976405540976389,5485,no,284599
deceased,verstorbenen,1,0.7629798947657687,0.0110387805726219,0.985738353706006,6242,yes,91387
brad,rick,3,0.5952996785644462,0.0750183321831494,0.888085459467988,6249,no,8647
tyler,rick,2,0.5832766341169395,0.1053594924240174,0.8470026645955364,5981,no,3957
collecting,gesammelt,6,0.6057268088214156,0.1271969581676724,0.8264526763946978,6846,no,194650
swimmers,schwimmsportler,2,0.6839309108557772,0.0266351931118768,0.9625155309785374,5594,no,27874
acres,ackerfläche,3,0.6436744498217226,0.0971191637069444,0.8688984867940062,5401,no,205341
monarch,monarchin,2,0.6660216533251659,0.097043772037962,0.8728237857300627,6316,no,21965
pocket,handtasche,8,0.4420952267146688,0.1088986326251481,0.802359625648774,6828,no,311292
colored,mehrfarbige,9,0.6545631172179829,0.0747437951259948,0.8975139356820714,5987,no,211958
efficient,effizientes,6,0.7650607131034584,0.0904509892256093,0.8942726452725741,5472,yes,657927
creatures,kobolde,6,0.6684203207760582,0.1089924701027024,0.859801033142893,6983,no,191788
precedent,einzelfallentscheidung,2,0.6709111724658221,0.0177297633734156,0.974253979903462,6993,no,48777
owen,mckenna,3,0.5586909817193898,0.1367100291766462,0.8034083542667086,5531,no,4635
santos,ramos,5,0.6210820505553224,0.1397296470296974,0.8163413529612787,6300,no,1714
interchange,zweispurigen,9,0.5394336248448635,0.0393286292292518,0.9320470038389624,5590,no,34228
boulevard,haupteinkaufsstraße,5,0.5760351809149933,0.11998560841146,0.8276120336469097,5762,no,9240
commitment,verpflichtung,6,0.6178175825021575,0.0396631934743072,0.9396739875543874,6253,yes,605347
opposing,befürworter,8,0.551162706601309,0.0266401494537075,0.953894050237836,5523,no,103954
fraud,betrügereien,2,0.6897588686990219,0.0514319976400583,0.9306089700024324,6477,yes,275541
consequently,jedoch,6,0.6211336082558958,0.050217098599942,0.9251999020971832,6175,no,181351
planets,himmelskörpers,6,0.7137488210144701,0.0970043146551021,0.880352834435861,5958,no,87925
arsenal,feyenoord,5,0.5318721130958439,0.1932632702056058,0.733479740947542,5869,no,45030
albanian,albaner,6,0.7619863524981194,0.1282134045436134,0.8559723213476426,5553,yes,370
squadrons,luftwaffengeschwader,2,0.7318794158797544,0.0067080691811161,0.9909177053269956,6789,no,6859
dancer,choreographin,9,0.705882003759327,0.1182239796679699,0.8565427480864787,5479,no,54144
ethiopia,somalia,4,0.6913899037794635,0.144558961751999,0.8270720043861842,6601,no,1566
confusing,irritierend,7,0.7086152943929759,0.1045226602520672,0.8714576540733555,6374,no,152052
roosevelt,roosevelt,0,0.8173626416872091,0.0,1.0,5478,yes,4684
stronger,schwächer,4,0.6455534373887533,0.0505004542841904,0.9274474938099776,5850,no,349797
illustrate,veranschaulichung,2,0.5867223404661243,0.012825215179215,0.9786085106036162,6276,no,119205
meter,metern,2,0.5826879236393412,0.1185011948975993,0.8309996664739223,5737,no,133390
collapsed,einsturz,6,0.5979856950927424,0.0787787970187944,0.8835949611171223,6352,no,75699
armenia,georgien,2,0.6942154960322505,0.1287443352396089,0.8435593933659696,5589,no,645
translations,übersetzten,1,0.7625253229281267,0.1033507885486665,0.8806402126368901,6520,no,54740
surrender,kapitulation,0,0.7813439034567742,0.0,1.0,5982,yes,91229
shops,kaufhäusern,8,0.7008551524323237,0.0820114718294233,0.8952420894085743,5542,no,446427
memphis,nashville,1,0.6354342653884937,0.1496545006968648,0.8093788789730387,5996,no,10784
delay,verzögerungen,3,0.7241521568239473,0.0711415937362847,0.910546771320446,6215,yes,283570
burton,mayfield,7,0.5640115871376564,0.1129112496411389,0.8331992311288561,6312,no,2905
dimension,dimensional,6,0.621921681541977,0.1720018568965613,0.7833521131835331,6907,no,163471
pronounced,stimmlos,3,0.5536636893050721,0.0332121126175829,0.9434086181287809,5791,no,120440
overview,übersichts,3,0.674550588923307,0.0360596028779987,0.9492554380811902,5503,no,196502
