en,de,position,score,rel_score,ratio_score,index,correctness,freqs
eds,eds,4,0.6370631980644805,0.0149799763192707,0.9770260974920436,6433,yes,6949
opposing,gegnerischen,4,0.6057795603719698,0.0361528574998223,0.943681209277948,5523,no,103954
honored,ehren,8,0.5957610896140928,0.1841047421446957,0.7639276723670603,6656,no,141792
brook,meadow,8,0.5291510536566797,0.1472564422885867,0.7822962590282967,6344,no,13744
browser,webbrowsers,6,0.7589266427104382,0.0729578087967063,0.9122981458969128,6336,no,329222
pushing,durchzuboxen,4,0.5875416586497774,0.0663278019864731,0.8985610951734424,5697,no,254399
louise,marie,1,0.6921101753236032,0.0778854852616558,0.8988494490963019,5559,no,1594
procedures,festlegungen,6,0.6440522548858247,0.0962340612671962,0.8700042683926847,5486,no,617792
plains,hügeln,8,0.5473779150769729,0.0822722773888195,0.8693365326124485,5918,no,41195
striking,auffallende,3,0.4545674948703647,0.0181877425435696,0.9615282050748708,6428,no,180227
outbreak,seuche,7,0.5717934092038649,0.1259312059886035,0.8195115906096201,5713,no,69050
cleaned,reingestellt,8,0.5887545352112611,0.0603462215649468,0.9070310411211668,6535,no,148462
scouts,scouts,0,0.6566634542821291,0.0,1.0,6570,yes,25786
settings,einstellungen,0,0.6134552107122034,0.0,1.0,6760,yes,394666
vii,ix,1,0.8432617018825563,0.017348677486112,0.979841426617654,5445,no,13418
nottingham,loughborough,7,0.6801153271205663,0.1099375619082777,0.8608478452076592,6904,no,1490
frontier,grenzgebiete,9,0.4973466454202123,0.0767621720817118,0.8662933406671557,5886,no,43612
measurement,messgenauigkeit,2,0.7116030459434559,0.0932595829537621,0.8841298134545746,6541,no,179748
diplomat,staatsmann,3,0.7063939470178401,0.1542070232954374,0.8208147229495887,6717,no,20902
trails,wanderwegen,1,0.738266419979307,0.033791032656014,0.9562324895114054,6937,yes,153999
viii,xii,7,0.7466367377923,0.0917801840215497,0.8905315701131241,6158,no,10280
grants,gewährten,7,0.5826965713891041,0.0677674778217436,0.8958167205336558,5930,no,273240
