en,de,position,score,rel_score,ratio_score,index,correctness,freqs
punishment,bestrafung,0,0.8048068827656352,0.0,1.0,5734,yes,174758
julian,sebastian,7,0.4846629919340642,0.1834805137262097,0.7253875669346059,5610,no,1727
andrea,giovanna,4,0.6711544267740086,0.1583627390455468,0.8090904618121002,6085,no,2138
syracuse,pittsburgh,1,0.6715706026434008,0.0298185731095749,0.95748640820189,6690,no,1938
optional,optionale,1,0.7747622785652746,0.0174062034414639,0.9780271446834516,5632,yes,166075
maharashtra,andhra,5,0.7353313145842396,0.062073897768207,0.922155139185658,6713,no,742
contributors,autoren,2,0.721341203448955,0.0069306325297122,0.990483453859782,5623,no,69201
cox,smith,0,0.6322390013473862,0.0,1.0,6127,no,3786
lithuania,lettlands,7,0.7062368034322473,0.1697984374506292,0.8061739647830779,5495,no,494
appeals,erstinstanzlich,3,0.7181185503342586,0.0287407509828394,0.961517850909596,5570,no,114590
dancer,choreographin,7,0.7168619888852763,0.1244343213778094,0.8520921584228784,5479,no,54144
harmony,harmonien,1,0.6595422711805796,0.0407802661541535,0.9417693077401824,6803,no,132933
kenny,tommy,2,0.7188931924217443,0.044823440819266,0.9413088063447732,6362,no,3023
div,}}>,8,0.4422279490518997,0.0449475269113818,0.9077385272267492,6628,no,22178
witch,hexenjäger,3,0.6611806370468296,0.1031248070160451,0.8650738290337735,6545,no,52971
lithuania,polen,3,0.750319752456486,0.1257154884263905,0.8564949415737051,5495,no,494
malayalam,kannada,8,0.625092778438189,0.1064180933743348,0.854522882058261,6722,no,1641
integral,integrale,2,0.6565719446782174,0.0414115526776427,0.9406697252377452,6354,no,145965
prussia,preußen,0,0.8277412889371836,0.0,1.0,6530,yes,302
outbreak,choleraepidemie,9,0.581401872164618,0.1872680293062963,0.7563739272892782,5713,no,69050
dancer,choreograf,6,0.724289082903085,0.1170072273600006,0.8609203131731188,5479,no,54144
stern,achtern,6,0.4535818594206275,0.0852581884373687,0.8417745882543658,6968,no,36458
zhang,zhou,5,0.8146370454739504,0.0827419788473761,0.907795951760793,5838,no,4199
interim,kommissarischer,6,0.6455100964847076,0.1199023459718973,0.8433493639232352,6463,no,93509
monte,santa,2,0.5332985754165936,0.2631278558295599,0.6696143604653494,6405,no,8147
bulk,massengüter,8,0.5146423529086658,0.1308935113203958,0.7972327819822732,6784,no,208183
geological,geologischer,2,0.8245760573500661,0.0605662531493114,0.931574558767684,6183,no,35650
rotation,drehung,2,0.6874310350798806,0.0761929428778942,0.9002219088488242,6689,yes,112783
doctrine,dogmatischen,5,0.6600153379094127,0.0570946681820694,0.9203822737138244,5658,no,162760
solve,lösung,3,0.6325470991766822,0.1348490293662342,0.8242771570632275,5785,no,353462
distant,entfernteren,0,0.6839929673268617,0.0,1.0,6581,no,166675
marshal,marschalls,8,0.6792297232471809,0.0661699395819113,0.91122891130542,6032,no,11641
deliver,übermitteln,9,0.5804701335829291,0.046480738615881,0.9258622315128676,6666,no,709685
caroline,pauline,3,0.7163922559348536,0.1187950844906129,0.8577623501451835,6159,no,2530
arctic,subarktischen,7,0.6828719342175351,0.1520918290560664,0.8178461919595559,6219,no,17087
perceived,empfanden,7,0.6639127792339643,0.102754054878551,0.8659730011700612,5556,no,185271
georgian,bulgarischen,7,0.6238512463616526,0.0974586487604998,0.8648865772956084,5716,no,633
armament,hauptbewaffnung,1,0.7786692366153174,0.0400472124106235,0.9510853697171112,6981,no,5492
southwestern,südöstliche,9,0.7607698312343616,0.049157638525628,0.9393061226331844,5750,no,21009
dominican,venezolanische,7,0.6160465087703999,0.2137370239326662,0.74241833501274,5429,no,1754
repeat,wiederhole,4,0.6047963385897508,0.1444766438413407,0.8071775611439082,5953,yes,257943
separately,eigenständig,8,0.5705937909889617,0.186013360590996,0.7541480275430118,6516,no,145540
gaelic,gälische,1,0.7731437609084095,0.0127553230340941,0.9837697698156024,6012,no,1046
prisoner,kriegsgefangener,6,0.7168151563921166,0.0807371204751365,0.8987688671741142,5529,no,64611
targeted,verfolgt,5,0.5801005974105122,0.1067395615887771,0.8445933013813661,6466,no,347475
franz,leopold,8,0.6109208798753614,0.1276714682540661,0.8271421731115828,5430,no,498
indo,indo,0,0.6809188148527063,0.0,1.0,6639,yes,476
outbreak,ausbrach,1,0.6621013610350353,0.1065685404358791,0.8613598109774413,5713,no,69050
invented,erfindung,2,0.7808083559325321,0.0793935382025872,0.9077035998828944,5398,yes,130359
graves,bestattungen,9,0.6051870744528076,0.0893850825898477,0.871309148108627,6977,no,29787
mammals,säugern,5,0.7441013098699959,0.0817151900855678,0.9010492160304804,5816,no,47222
cia,auslandsgeheimdienst,8,0.6845185895641319,0.1812878056841009,0.7906139216815042,6551,no,1990
housed,einrichteten,6,0.6559443176606943,0.1591994288772026,0.8046977241089572,5581,no,70928
barely,nur,3,0.6075056113478402,0.0832158670882855,0.8795232670675074,6710,no,254289
