en,es,position,score,rel_score,ratio_score,index,correctness,freqs
renowned,célebre,6,0.6398682220195768,0.0659754370437211,0.906529673821431,5541,no,188020
drove,empujó,3,0.5698423717977166,0.0192063996797635,0.967394211464716,6604,no,210245
abilities,habilidades,0,0.8635878015206137,0.0,1.0,5485,yes,284599
brigadier,subteniente,5,0.6615297746450358,0.0991491666688877,0.8696570112778106,6720,no,2151
polo,hockey,9,0.4766715117848341,0.0940544171008173,0.8352021305840098,5831,no,61827
curtis,bullock,9,0.5642729715052439,0.0341842281952096,0.9428794102363212,6010,no,1980
lynn,kelly,9,0.527117753558207,0.0700469492118349,0.8827007877610461,6368,no,2685
garcia,sánchez,7,0.5284498247958247,0.0957046679186983,0.8466650980873867,7011,no,1943
pump,bombeo,0,0.5706553053204095,0.0,1.0,7052,no,255719
midnight,viernes,8,0.5604196284178222,0.1737276540059287,0.7633613061504833,5942,no,115301
freight,mercancías,2,0.7072362356333899,0.0143766308155044,0.980077086365917,6154,yes,79405
scorer,anotando,8,0.6665308768371441,0.0623920069450305,0.9144052020684328,6891,no,24786
forgotten,desvanecido,4,0.5085947504998278,0.2045595863520577,0.7131622486444438,6841,no,215806
jets,jets,0,0.743731864845427,0.0,1.0,6380,yes,46885
theatrical,fílmica,7,0.5966688510572506,0.121539205181379,0.8307743778064823,5959,no,53405
opposing,oponen,4,0.5857086605715482,0.0795148875612831,0.8804689223878682,5523,no,103954
zoo,cautividad,7,0.5066326703651409,0.3061423965703659,0.6233368750783074,6000,no,53581
palmer,mcginley,5,0.563183403052323,0.1134260412027504,0.8323611321629879,5566,no,1913
introduce,introducirse,3,0.6453585309440781,0.1289928713740237,0.8334181729536874,6651,no,298951
distant,lejanos,4,0.5685920410543501,0.1447504195329321,0.79708144750873,6581,yes,166675
emotional,emoción,3,0.7344275193271457,0.1393009011662156,0.8405672770864456,5487,no,516084
fled,huyeron,1,0.8082837928551718,0.0278451841038738,0.9666975013769464,5493,yes,79060
pack,jackalope,2,0.5019133680769163,0.1095789866711829,0.8208007249472099,5783,no,429780
voltage,impedancias,7,0.6477262394629986,0.1405742052592494,0.8216743296284962,6439,no,132096
