en,es,position,score,rel_score,ratio_score,index,correctness,freqs
problematic,contraproducente,1,0.658160773153582,0.0125599178409354,0.9812739967477192,6307,no,94165
ruins,derruida,2,0.6166584495288864,0.2174661532276973,0.7392881680878093,6048,no,75473
phenomenon,explicarse,2,0.5438707992023182,0.2825466588716629,0.6581066189838777,5480,no,191522
karen,maxine,3,0.5665925168821011,0.0659718736209867,0.8957072598277017,6269,no,15155
cannon,proyectiles,2,0.6288809845280326,0.0486587683621518,0.9281831536015592,6058,no,31463
suspension,frenos,8,0.5058120202987937,0.2126636744840992,0.704007141746999,5739,no,159441
patron,patrona,5,0.5524621472594674,0.1350369172301054,0.8035823985733532,6490,yes,47895
pound,peso_explosivo,7,0.4425241178281524,0.0845004637332842,0.839665042789975,6213,no,166639
mascot,bullwinkle,7,0.4739569026221648,0.2446015619903381,0.6595940705781757,6788,no,21981
buddhism,confucionismo,8,0.6965920631040248,0.1493627975437697,0.8234388092180305,6387,no,2144
agenda,ideología,2,0.5731136915769961,0.0053738057606298,0.9907105930804698,6574,no,282725
teeth,mandíbula,3,0.7248719610553666,0.0939336655911692,0.885279653028424,6095,no,571089
slam,slam,0,0.7357102095090827,0.0,1.0,7036,yes,33767
lasting,perduración,2,0.5967320874523071,0.0279420624368015,0.9552693793367922,6675,no,237682
viewing,visualizados,4,0.5565154573315165,0.0478539453598804,0.9208200396201798,7016,no,282840
plates,placas,0,0.6373994564279521,0.0,1.0,6225,yes,164087
swimmers,waterpolistas,2,0.6259052667418659,0.1160459514428287,0.8435935562896518,5594,no,27874
pipe,fuelle,4,0.4937132001430717,0.0565499299328929,0.8972311120952513,6268,no,186886
lithuania,lituana,9,0.625075261399382,0.1956930266478105,0.7615733581600578,5495,no,494
lutheran,evangélica,4,0.6934087777868304,0.0951468738080999,0.8793403184472064,5820,no,753
xbox,wiiware,8,0.7398235422141214,0.1164298622674328,0.8640240591651382,6919,no,43268
difficulties,retrasos,3,0.6246475361702744,0.200846983074704,0.7566949526710309,5657,no,332517
tactical,aerotransportable,3,0.6409039785234,0.1243850211564593,0.8374666025403568,5797,no,67197
demo,remasterizada,7,0.5814685387031909,0.1850922810456308,0.758541949605147,6296,no,128035
refuses,acepta,9,0.7048348130165852,0.1261877068615899,0.8481536855582582,6283,no,76521
propulsion,propulsarse,9,0.6394706220597863,0.1806437156561082,0.7797334989176995,6621,no,19394
presenting,exponiendo,6,0.5763151037994401,0.0728205567429338,0.8878192014869589,6956,no,187621
transformed,transformándose,7,0.6720806663376322,0.1128460452217894,0.8562336539705764,6834,no,159284
surnames,toponímicos,8,0.5574273041931543,0.1803056897070569,0.7555949222850594,7114,no,7029
inline,referencias,6,0.4940864233722644,0.0238928122857252,0.95387303072994,6366,no,22386
malta,valeta,5,0.5425869170375803,0.1919211730811225,0.7387078840069597,5604,no,1713
heir,primogénitos,7,0.6613403450012523,0.1577201121378778,0.8074377651086059,6274,no,34885
keys,teclado,2,0.5098250410720113,0.0653508187457962,0.8863811517289742,5721,no,258752
extending,extienden,3,0.6449842284315959,0.0551466339411512,0.9212338194116182,6233,no,129022
tyler,mitchell,6,0.5626879702168066,0.1034039329297432,0.8447602613974533,5981,no,3957
connor,connor,0,0.6382493673429422,0.0,1.0,6074,yes,1107
impressed,impresionada,2,0.6583566247586609,0.0961509783659816,0.8725645997895958,6447,yes,263477
ritual,propiciatorio,8,0.6095972539228443,0.2234412134022129,0.731775635620168,6898,no,103185
celebrate,conmemorar,2,0.7353237641644822,0.0405490197368931,0.9477375407692512,6591,no,315903
screenwriter,coguionista,2,0.7727639514393205,0.0804814634588244,0.9056760668694224,6552,no,13265
carefully,adecuadamente,4,0.6451273653400302,0.143021268891061,0.8185351560869087,6193,no,542015
enabled,permitió,1,0.656309353753442,0.0021070359483761,0.9967998428026216,6263,no,207899
varied,variada,1,0.6900487071040624,0.0390792796119978,0.9464027162254351,6701,yes,216097
convert,conversión,1,0.6308215259653238,0.0778529428879951,0.8901428705143474,5809,no,245782
logos,emblemas,7,0.4641245312247582,0.1564420233782245,0.7479045201230499,6381,no,64607
innovation,innovation,8,0.6480711054177252,0.2042776418425004,0.7603356108645355,5584,no,371600
rookie,drafteado,4,0.6184046251055468,0.130625368281109,0.8256072928528523,5573,no,63448
developers,desarrollador,1,0.7136064137753082,0.1233263463134664,0.8526448572757684,6216,no,367394
temples,budistas,4,0.6255929221341647,0.2192700288246272,0.7404667483929922,5702,no,72570
rivalry,enfrentamientos,5,0.5258727857289802,0.2854723536842576,0.6481493019225945,6654,no,40461
accuracy,imprecisiones,7,0.5886304257246031,0.1899090923292642,0.756070067189416,5735,no,213289
brussels,maastricht,6,0.607701536299359,0.1521287061251597,0.7997859289731125,5954,no,3606
dear,vuestra,9,0.4856432789223663,0.0762879325313737,0.8642397308132901,6854,no,208756
adr,conscientious,4,0.430291072222718,0.0211861862220628,0.9530736358791502,5833,no,682
geology,geológica,1,0.7382582375528306,0.1330754155254889,0.8472738714322016,6442,no,29529
inline,copia/pega,3,0.5022871404072837,0.0156920952507059,0.969705165438201,6366,no,22386
nacional,primeira,3,0.5439647153840748,0.0408195401109607,0.9301972655258888,6036,no,426
holes,perforados,9,0.5550605489353106,0.1877303319844074,0.747263547780822,6872,no,270893
supplied,suministraban,9,0.6516969076143683,0.0988718803223372,0.8682707275982877,5631,no,255570
robertson,mckenzie,2,0.6258157563964308,0.1098676961135177,0.8506590086555847,6179,no,1268
mcdonald,hardee,7,0.5519714842089533,0.1788456629541065,0.7552798758918522,6329,no,1663
moses,yahvéh,7,0.5436034215202583,0.1314844249881956,0.805233606754689,6812,no,2513
