en,es,position,score,rel_score,ratio_score,index,correctness,freqs
circles,figuras,5,0.5168330370093398,0.3241444541983155,0.6145622711817892,6583,no,160387
cairo,amán,7,0.6061315084858229,0.2484340253559035,0.7092861629475501,6976,no,2236
hybrid,híbridos,3,0.7327679732691834,0.0646496953353992,0.9189261814971682,5891,yes,170137
auxiliary,auxiliados,6,0.5299293801591336,0.2433042050280727,0.6853419074274086,6262,no,31278
wilderness,refuge,7,0.5185653841341307,0.1479892702182532,0.7779787910084617,6796,no,93946
lucas,benson,3,0.492259405665433,0.2226510469710043,0.6885609293444868,5587,no,2685
fringe,pseudociencia,0,0.5238750847570068,0.0,1.0,5847,no,46715
newport,southport,4,0.6387668655378698,0.1441990581530182,0.8158297139251395,5601,no,8318
imposed,impuesto,4,0.690273714554975,0.1254705489753141,0.8461888675351311,6373,no,151356
succeed,renunciar,7,0.6025248791314397,0.0907291598465585,0.8691256671503678,6913,no,293207
witness,testifican,6,0.6560892520958761,0.1077627659459699,0.8589219333055865,5840,no,255389
observation,observando,7,0.5750722890461333,0.2918893851573626,0.663319159493953,5511,no,169813
interpreted,entendida,2,0.6145101493221096,0.0962790953632374,0.8645462124207319,6302,no,94172
demanded,pidieron,7,0.7686751914999779,0.1195904960363939,0.8653663000671777,6938,no,125249
knee,hombro,3,0.7252780591992118,0.1110048783468151,0.8672639684930727,6665,no,223033
barnes,ward,2,0.6290749080349451,0.1176501033510282,0.8424452086683671,6704,no,3001
stern,scharnhorst,8,0.4184118687830508,0.1168614321791702,0.7816789442531561,6968,no,36458
consistently,siempre,9,0.5792243082168368,0.1652810238730399,0.7779988715338211,6443,no,287966
lit,iluminaban,5,0.5093335937137424,0.0594819699402281,0.8954283712665552,6897,no,124561
yankees,knicks,6,0.6940386473120088,0.1880503994167333,0.7868124537832947,6455,no,3076
harper,mccoll,5,0.5565009431282357,0.2115123864745041,0.7245980267244706,6098,no,4030
garcia,sánchez,7,0.6129835781874702,0.0631935677151649,0.9065428814060148,7011,no,1943
atomic,atómicos,1,0.7728499413069879,0.0507095243276937,0.9384263960968332,5766,yes,63007
mask,máscara,0,0.8170080223566879,0.0,1.0,6761,yes,153562
crops,cultivo,3,0.7701091361728032,0.1032499389395807,0.8817783636973205,6397,no,169439
tested,test,7,0.606448195226698,0.1399214325426863,0.8125306452235224,5540,no,389598
carlo,giuseppe,1,0.6388576399250419,0.107553577528025,0.8559057326402146,6367,no,1377
outline,detallado,0,0.5774172233257354,0.0,1.0,6863,no,145869
richards,patterson,7,0.6248703706426968,0.1232723892612445,0.8352287880496602,6769,no,1736
priests,presbíteros,2,0.7324213409067983,0.1788513144032864,0.8037345756386957,5558,no,109331
fourteen,seis,9,0.8397777230921047,0.0528158064310768,0.9408288266896908,6226,no,60641
developments,desarrollo,4,0.6360321590535644,0.187993825945634,0.7718593474381552,5670,no,270376
diversity,ecológicas,9,0.5920459468435275,0.2897781211407123,0.6713878293171158,5950,no,267197
forwards,mediocampo,9,0.5310473060361984,0.0929535846648538,0.8510361346432977,7006,no,51320
separation,separaría,8,0.5585529446705586,0.2800021690708492,0.6660897244767197,6139,no,164622
adoption,adoptaran,7,0.6484901801971135,0.2553362645859555,0.7174941427529931,6837,no,212733
screenwriter,cineasta,1,0.8089335193704508,0.0681642726828365,0.922284295661874,6552,no,13265
hypothesis,teoría,1,0.7259590212993441,0.1502599082180342,0.8285132822903091,6668,no,76010
exhibited,exhibió,0,0.7916850225893863,0.0,1.0,5964,yes,71095
proteins,proteicas,9,0.8303614772795119,0.0836732665157522,0.9084572363537043,5592,no,160732
magnitude,intensidades,9,0.5800289368994833,0.2860363608109296,0.6697288742926034,6194,no,103281
anthology,poesía,5,0.6377461592441184,0.2022546192017469,0.7592209145615911,6181,no,27412
swimmers,triatletas,3,0.686292472975609,0.1299571916941764,0.8407874485966855,5594,no,27874
