en,es,position,score,rel_score,ratio_score,index,correctness,freqs
casting,montaje,3,0.4751265187606109,0.091482964711349,0.8385431811857834,7087,no,110749
reynolds,johnson,7,0.5397268765650006,0.1515349981522344,0.7807849619737516,6511,no,1702
frontier,frontier,0,0.6081137949579841,0.0,1.0,5886,no,43612
lou,jerry,9,0.5582304772470947,0.101428053951676,0.8462415793102002,7028,no,1949
assignment,asignaciones,4,0.526889139536228,0.0681355279749611,0.8854912549088901,6584,no,157031
emerging,emerger,3,0.6098040594624801,0.1497348537073408,0.8028608526685683,6003,no,283499
instances,situaciones,7,0.5846948798476239,0.1537573490998794,0.7917842981948531,6110,no,282587
kumar,kumar,0,0.7019160314165358,0.0,1.0,6331,yes,2562
padding,}}+}>,6,0.5413109162834137,0.0336765121832139,0.9414308721965936,6540,no,40423
implies,supone,6,0.6944576904816474,0.0600149830059911,0.9204543979988502,6396,no,173901
freight,mercancías,2,0.755848366991059,0.0104648862016146,0.986343853302791,6154,yes,79405
cleaned,limpiarlo,2,0.6387167904437319,0.0483849198631285,0.9295811389531838,6535,no,148462
climb,escaladores,3,0.6290014111057616,0.0302631879221721,0.954095536197766,6948,no,194236
serie,udinese,0,0.6101044587606531,0.0,1.0,5875,no,2847
infinite,finito,7,0.6694798587926685,0.1482192716026278,0.8187361755772262,6727,no,103329
loves,encantan,7,0.6417981023584389,0.0299128210113238,0.955467716884429,6425,no,383184
giovanni,domenico,4,0.6855188227490108,0.0682538060858582,0.9094504052351166,5625,no,687
challenged,impugnado,5,0.6737665583276858,0.0809944415624354,0.8926886238501637,5514,no,156397
playwright,dramaturgo,0,0.8769360754966378,0.0,1.0,6597,yes,20874
touchdowns,reboteadores,7,0.6682446542462939,0.1449132366975632,0.8217895462720554,6908,no,34359
verified,verificados,2,0.684648518580401,0.0382513372635905,0.9470862568938656,6180,no,90033
forwards,delantero,0,0.5798244847294172,0.0,1.0,7006,no,51320
commanders,comandante,1,0.7440906223361671,0.1071689131416994,0.8741054770311164,6555,no,31867
dust,nubes,2,0.5993029976316981,0.1216517027487602,0.8312630423457079,6513,no,297720
naples,roma,9,0.602977461290386,0.2257771511408564,0.7275705646107786,6698,no,1879
prototype,prototipos,1,0.8400156976941128,0.0462190448729171,0.9478478526591712,5939,yes,86621
lynn,lynn,0,0.5895193048290353,0.0,1.0,6368,yes,2685
variants,tipos,5,0.581985058271417,0.2771251101193405,0.6774277382393954,6349,no,59912
malcolm,leslie,7,0.5815057744815637,0.0995502729508925,0.8538295440937766,6383,no,1247
nigerian,angoleña,9,0.5896811418312428,0.1554300916233159,0.7914001498773606,6051,no,2582
bee,avispa,6,0.4455007464835349,0.1035863722706398,0.8113480197720405,7131,no,59238
findings,corroboración,6,0.6343639763663702,0.119134500079247,0.8418915182931422,5952,no,335564
exhibitions,exposigu,8,0.6428278041662779,0.2138314866876191,0.7503891115515982,5603,no,73184
wealthy,adinerada,6,0.8135021765472923,0.0301875408565971,0.9642196174329504,5504,no,159841
joins,unirse,2,0.6357560205755264,0.019023728728123,0.97094636975509,6627,no,88974
penn,moreland,8,0.4961123698086471,0.1567572852926897,0.7598949743370165,5924,no,3642
chambers,recámaras,4,0.4441015006426955,0.043683805524378,0.910444605501471,6295,no,54131
dancer,bailarina,1,0.8299050297835224,0.0010172914251594,0.9987757081508176,5479,yes,54144
tan,blanco,2,0.4764627295560096,0.0204628082738073,0.9588211779914292,6946,no,72754
circulation,tirada,5,0.5791218424239968,0.1976819704932353,0.7455187948281888,6131,yes,173975
impressed,impresionaron,5,0.6941814994762665,0.1263522633414235,0.846012109352413,6447,no,263477
footage,metraje,1,0.7176549577039739,0.0325727481888753,0.95658285086911,5911,yes,145412
flew,aterrizaron,6,0.7404157236372767,0.0805639173882951,0.9018685563412336,5741,no,115830
permit,prohíbe,3,0.6909466821951842,0.0221682243332727,0.9689135311429812,6676,no,353092
darkness,penumbras,9,0.6216785669149436,0.2177988761969234,0.7405542245547866,6866,no,168890
estates,tierras,4,0.6052802131155911,0.1184613810463995,0.8363208885575186,6211,no,43551
cardiff,manchester,7,0.6715008148846517,0.1169618676297785,0.8516583343465491,5701,no,1622
cleaned,limpiarla,4,0.6185309511413924,0.0685707591654679,0.9002028984401099,6535,no,148462
napoleon,napoleon,7,0.6235932757588272,0.2035277873702832,0.7539322882187159,6259,no,1387
henderson,bunnell,5,0.6001815926673246,0.1271614240880175,0.8251699388614724,6199,no,7086
chilean,"chile,",7,0.6367682739756075,0.1172887421531025,0.844456400982439,6293,no,679
leon,frank,8,0.4472046330785779,0.1216359906247073,0.7861685935283091,5909,no,2590
chuck,jerry,1,0.6350785655297876,0.0763301071308351,0.8927056837171167,5629,no,22915
frankfurt,meno,4,0.7098227254468836,0.0805821105325295,0.898049572998022,5709,no,1685
investigations,investiga,1,0.7214520467307133,0.0489352013320842,0.9364797360611355,6571,no,124155
chambers,cámaras,2,0.4822443535375378,0.0055409526295356,0.9886405913431968,6295,yes,54131
sensitive,sensibilidad,5,0.5902790924024168,0.1922494686046791,0.7543227452845189,5842,no,371115
beetles,himenópteros,6,0.6161361010620136,0.0688551370038453,0.8994802660567386,6377,no,17842
shots,dispararse,7,0.5576664947834473,0.096170657202191,0.8529134404337069,5961,no,354211
acceptance,reprobación,7,0.5981471415826711,0.217746835625359,0.7331187118570436,6790,no,215467
adrian,claudio,7,0.5189838325940905,0.138096309217186,0.7898333849558804,6267,no,1441
contracts,precontrato,5,0.6838488270234329,0.1813660032714269,0.7903803807782415,6128,no,326030
burma,myanmar,8,0.6445286186956276,0.128599527673176,0.8336633735595101,6660,no,574
delayed,retrasos,6,0.7616254560833976,0.0633156558360327,0.9232482720024546,6288,no,135808
pet,peluche,2,0.5338298387621401,0.1186840348969214,0.8181126261248909,6423,no,535006
