en,es,position,score,rel_score,ratio_score,index,correctness,freqs
sending,enviándoles,3,0.7719118069755002,0.0872912534254795,0.8984043965291025,5765,no,400733
rica,venezuela,4,0.7091843885472744,0.0343265380604305,0.9538318310706656,6681,no,4915
deals,conciernen,3,0.5761917053040151,0.0362227073209554,0.940852621077784,5808,no,573868
scandal,escándalos,1,0.7899485609148597,0.0623526203417988,0.9268420345846942,5827,no,84866
fur,piel,6,0.499248417783497,0.2332939650475013,0.6815283722616722,6894,yes,95417
malta,gibraltar,2,0.6090095281317818,0.1899999485179002,0.7622056382677875,5604,no,1713
discrimination,discriminatoria,3,0.7839903943416904,0.1175917063420415,0.8695718268443178,6063,no,170631
zhang,jiang,8,0.7942197471196865,0.08952254113148,0.8987006253727704,5838,no,4199
synthesis,sintetizan,4,0.7222564327393437,0.130500962303925,0.8469658978479999,6168,no,67281
delay,retrasara,5,0.6667495181930354,0.0740064800734732,0.9000933097448275,6215,no,283570
silva,fernandes,6,0.6746914940182013,0.1271646464390741,0.8414121436214783,6572,no,1156
politically,electoralmente,5,0.6071818775892084,0.2715560916677961,0.6909703447804767,6903,no,109991
spa,termal,8,0.4477338907811776,0.2127951509477165,0.6778413400404949,7100,no,165022
acceptance,exigencia,5,0.6222966057786804,0.2024910046065297,0.7544931542897959,6790,no,215467
trustees,fideicomisarios,1,0.6451349316485548,0.000874600943424,0.9986461485484356,6647,no,48852
outbreak,estallado,9,0.5872429775530713,0.1150124976673816,0.8362241353386718,5713,no,69050
chuck,hank,6,0.6242928923828465,0.1442247931311766,0.8123338007052995,5629,no,22915
sanctuary,santuario,0,0.7363588697675147,0.0,1.0,6481,yes,64770
maharashtra,gujarat,8,0.6992577077113131,0.0718394952232635,0.9068347091004056,6713,no,742
fed,alimentados,2,0.6646627602627481,0.0284262581457918,0.9589861368586337,6101,no,201404
trails,excursiones,7,0.582256717400943,0.1975686457817735,0.746650141032304,6937,no,153999
cuisine,platos,5,0.7300004484418041,0.1071044163739489,0.872053764258648,5708,no,118353
xbox,nintendo,6,0.7717057336722477,0.1154133369997842,0.8699009627734036,6919,no,43268
bradford,northampton,5,0.7024169921915399,0.0962459782737287,0.8794911222468975,5908,no,1445
complaint,denuncie,6,0.7048548444895613,0.0865955121808517,0.89058629963204,5962,no,242782
disappeared,desparecido,8,0.7316677406081952,0.0958314813098085,0.8841914544793319,6499,no,133595
graves,tumbas,0,0.6691484013333047,0.0,1.0,6977,yes,29787
duration,intervalos,9,0.5850443622284194,0.1825993774823062,0.7621300506519914,6198,no,250646
challenged,desafiaron,6,0.6523362857887561,0.0895120223771738,0.879339183776702,5514,no,156397
adrian,alex,1,0.595631715081439,0.1275923668781937,0.8235783762447841,6267,no,1441
interim,interinos,3,0.5945881744144053,0.1497741823954452,0.7987886127969452,6463,no,93509
infinite,infinitamente,5,0.6962551438477573,0.1351727276402912,0.8374209810908002,6727,no,103329
distinguish,diferenciar,4,0.7993533172149826,0.0454762240623927,0.9461711246583152,6640,no,119432
drawings,bocetos,0,0.818197019174042,0.0,1.0,6709,no,122273
dear,¡oh,6,0.5322700842667902,0.0987462424387642,0.84351238112284,6854,no,208756
reveal,revelando,5,0.7480037795856979,0.1179047240423827,0.8638369717488946,6067,no,308012
brussels,lieja,4,0.6355795396281283,0.1778696361789917,0.7813389681014723,5954,no,3606
darkness,obscuridad,2,0.7338838029796266,0.1189899011324154,0.860483562151444,6866,no,168890
egg,huevos,1,0.7301621257369046,0.0633123402687749,0.9202087238074756,6020,no,233657
jam,grooves,6,0.4612649491009393,0.1740421417622337,0.7260503711271854,6416,no,79059
theatrical,teatrales,1,0.7196318768212838,0.0280357495677566,0.9625023893261784,5959,yes,53405
mechanics,electromagnetismo,6,0.6107870096524753,0.2080584751508761,0.7459124108123499,5907,no,100360
pond,charca,1,0.6459129082429844,0.1019617315486342,0.8636646757041475,6458,no,114161
surnames,apellidos,0,0.7939492859586416,0.0,1.0,7114,yes,7029
modes,controlables,3,0.5548759586978179,0.2025770771301273,0.732554934037993,6358,no,127220
dinner,cenas,8,0.6746745566330705,0.1187155330602758,0.8503692765986519,6185,yes,619310
monk,abad,2,0.5861034681021802,0.2179475137421971,0.7289381909064312,6400,no,37008
shrine,templo,1,0.7149033132272208,0.0727374376675391,0.9076515053532852,6587,no,28783
civilians,asesinados,8,0.6884517863394324,0.059753264366104,0.9201378494975964,6285,no,102687
decorated,adornadas,9,0.7212171893846495,0.0843684746385674,0.8952706355060758,5900,no,124112
performers,instrumentistas,8,0.6688593911149043,0.0630658578163493,0.9138356575231732,5947,no,107213
girlfriend,exnovia,2,0.806543682781956,0.0672329958636722,0.9230547146578862,5970,no,208460
wishes,consiente,8,0.6532682458123678,0.1086712378918844,0.8573755000022215,6046,no,260230
julius,karl,8,0.5052864940757643,0.1832722172044399,0.7338321130761809,6696,no,862
goalkeeper,guardametas,4,0.7589870409212934,0.1027868045576529,0.8807264747045933,5609,no,19782
deliver,entregar,0,0.7164987388691222,0.0,1.0,6666,yes,709685
precise,preciso,5,0.7603683143839606,0.0967950883586297,0.8870751037096043,7031,yes,245627
franco,gianfranco,3,0.5200122820088191,0.2361902122562604,0.6876627437128418,5978,no,1134
forgotten,olvidadas,3,0.7300891536225813,0.0704878639094126,0.9119536754543472,6841,yes,215806
bee,hormigas,4,0.462532489866832,0.1166649651470149,0.7985747966654553,7131,no,59238
fraud,fraudulentos,2,0.7426720665582092,0.1216851940818963,0.8592188674486502,6477,no,275541
fortune,multimillonarias,2,0.5693303818921149,0.2182735922895667,0.7228637748859096,5563,no,154289
wireless,inalámbrico,1,0.8242191145426065,0.0067465470348481,0.9918810760217928,6409,yes,367025
notre,notre,0,0.7885154795392535,0.0,1.0,6005,yes,1690
attraction,diversiones,7,0.5758023098394802,0.3119623003226999,0.6485979540615958,6546,no,180538
lucky,afortunada,8,0.4494932325792111,0.1399687997822558,0.7625482353434685,6465,yes,377315
civilians,combatientes,6,0.699233220134865,0.0489718305706714,0.9345475808743976,6285,no,102687
varieties,subvariedades,2,0.6583953172682022,0.1709360479682238,0.7938869128391239,6536,no,245288
leon,david,1,0.4814752804860264,0.1668921547849898,0.7425963339518598,5909,no,2590
separation,disgregación,6,0.5595832853360636,0.2802839658812042,0.6662758721988832,6139,no,164622
ahmed,mahmoud,9,0.7287712871244075,0.1178756809221309,0.8607735155609137,6038,no,1089
graves,entierros,5,0.5832300360749267,0.0859183652583779,0.8716004325988344,6977,no,29787
rhine,rhin,8,0.625191978517788,0.0793230491527616,0.8874075838878269,6740,yes,291
jorge,josé,0,0.6641772974007405,0.0,1.0,6865,no,529
