en,fi,position,score,rel_score,ratio_score,index,correctness,freqs
bedford,chelmsford,1,0.5629389742039574,0.0148674638660095,0.9742691273643972,7588,no,1136
ignore,ymmärrän,3,0.6054335484686226,0.0146074517046269,0.9764411519552006,6191,no,268802
analog,analogisten,3,0.6037515602950246,0.024239305162419,0.9614018188867086,7423,no,72030
jesse,rickin,7,0.5195786456862854,0.026551425819567,0.9513825969217252,6053,no,2748
reds,soxin,2,0.4817472864044838,0.0108575329138343,0.977958938914038,7351,no,26089
lesbian,seksuaalista,2,0.6140602598853204,0.0357611542376476,0.9449677196527714,7475,no,79308
ping,jian,2,0.482408930809776,0.0563749883988653,0.8953662379499593,6346,no,29179
lynn,wynton,2,0.5400705900518585,0.0191395876300627,0.9657738925471608,6368,no,2685
broader,kokonaisvaltainen,9,0.5724188630582003,0.0700920088379359,0.8909092251916532,7300,no,164786
carey,gouldingin,8,0.5276651721689278,0.0281919918324695,0.9492819492879672,7613,no,1780
particle,sidosenergia,7,0.6244358379801911,0.0377560710824229,0.9429831887618958,6721,no,65205
equality,oikeudenmukaisuus,9,0.6127268288547676,0.0613630214842382,0.9089690766692629,7074,no,124148
pastor,saarnaaja,2,0.6375705307661947,0.021085632808465,0.9679868891015472,6672,no,103447
technically,yleensähän,7,0.56059362180117,0.0540953592439259,0.911995560499632,6143,no,114018
holes,reiät,0,0.5630468959288599,0.0,1.0,6872,yes,270893
colombian,venezuelalainen,5,0.6546059516153312,0.0279335851070577,0.959074040983476,7260,no,700
nominee,ehdokkaana,0,0.6671451992576969,0.0,1.0,6227,yes,51365
collecting,kerääminen,0,0.6524407822258798,0.0,1.0,6846,yes,194650
permit,edellyttää,3,0.5669982068902772,0.0298464652038623,0.9499929100495434,6676,no,353092
archaeology,arkeologin,6,0.6824585508745525,0.0926184072772141,0.8805042437359121,6884,no,23743
hypothesis,hypoteesia,6,0.6318992796063575,0.0268266254450185,0.9592749803229216,6668,no,76010
interim,väliaikainen,0,0.5664194902243898,0.0,1.0,6463,yes,93509
bacteria,bakteereille,9,0.658681231913981,0.0687495833280567,0.9054898666821232,6650,no,272230
holdings,omistukset,0,0.6332606010760766,0.0,1.0,6864,no,64579
chaos,sekasorto,4,0.5290042701506719,0.1080860955364001,0.8303441688058893,7179,yes,119668
rounded,pyöreäkärkiset,8,0.5926725387182064,0.0376939101708722,0.9402031782667022,7591,no,95984
consent,suostumuksella,6,0.5379903156417148,0.0334959247288576,0.941388046880818,6862,no,206529
guided,risteilyohjus,1,0.4049253561128213,0.0064131473595601,0.9844090759668194,7065,no,162109
diet,ruokavalionsa,7,0.567496264345743,0.0438436069095081,0.9282827622227796,5845,no,1259119
politically,ideologisesti,3,0.5885119608505858,0.1107603561422468,0.841606262037423,6903,no,109991
guild,guildin,2,0.470248778898109,0.0382906791324633,0.9247046054582428,6118,no,38482
batman,teräsmies,6,0.584117096544085,0.0552314400554465,0.9136129405266132,5963,no,12095
