en,fi,position,score,rel_score,ratio_score,index,correctness,freqs
ferdinand,arkkiherttua,5,0.5616880665123865,0.0682278471396649,0.8916873734081401,6031,no,594
geological,geologisen,2,0.635871711152563,0.0226251284685262,0.9656412497263538,6183,no,35650
handled,toimineet,3,0.4127959375081312,0.0108794862265402,0.9743211769740188,5948,no,209643
slavery,orjuus,5,0.5306256524770478,0.0443886792432126,0.9228042210523416,5903,yes,92619
diary,päiväkirjasta,7,0.5951393490845309,0.0344402096118809,0.9452964932927748,7057,no,75370
casey,vesa,1,0.5683636837472641,0.0150294264526752,0.9742379088989852,7047,no,2485
thriller,trillerielokuva,1,0.6918199927977484,0.0075336692787217,0.9892276687929918,6187,no,45823
wwe,ecw,2,0.6555112286016839,0.1059807495335067,0.8608248641134186,6806,no,11229
strait,salmen,0,0.6178596501128956,0.0,1.0,7363,yes,8895
burma,myanmarin,5,0.5332524142650521,0.0414806423890392,0.9278262457522,6660,no,574
missionaries,lähetyssaarnaaja,5,0.6568887353547384,0.0747027326837531,0.8978900985764054,6962,no,45502
researcher,tutkimusjohtaja,7,0.6948382578130433,0.1126889507116123,0.860451821905179,7069,no,108541
winston,koivistoa,2,0.448704297994664,0.0266831341632482,0.9438707623335216,7332,no,2808
alias,kaksoisagentti,4,0.4193432404794655,0.1194920363572988,0.7782401385099031,6929,no,24360
insufficient,tarvitakaan,9,0.5977289901784328,0.0932274124400739,0.8650748265928625,7172,no,91949
caroline,maria,8,0.5438605980833456,0.046990836200114,0.920469286400056,6159,no,2530
dragons,lohikäärmetanssi,2,0.4617007937786036,0.0086744661682811,0.981558413235295,6482,no,31852
fraud,talousrikoksista,2,0.584771805719614,0.0346997886803547,0.9439848590410904,6477,no,275541
afghan,pakistanin,7,0.5243110778397215,0.0829961705928065,0.8633374279542666,7540,no,3899
motors,daimlerchrysler,0,0.6218699349496015,0.0,1.0,6076,no,69198
catholicism,kristinusko,3,0.6603686024365554,0.0225014074753018,0.9670487689476857,7496,no,736
tin,rautaoksidia,8,0.4350732751625408,0.0313541722457927,0.9327780292090234,7010,no,86913
randy,jarkka,1,0.5910708845962758,0.0136178722591345,0.9774795345460824,6732,no,5351
itunes,spotifyssa,3,0.6657259059441285,0.0530053040729867,0.9262515620106097,7526,no,22104
stored,varastoitu,1,0.6419184970216496,0.027088535453156,0.9595093412501964,5883,yes,340200
mask,naamionsa,4,0.4623311009117162,0.0529071716525423,0.8973151365692774,6761,no,153562
philosophers,filosofioita,1,0.7140020507995171,0.0279380993870832,0.96234453765569,7075,no,39041
wireless,mobiililaitteiden,9,0.615818201363235,0.0635815974169971,0.9064150482070366,6409,no,367025
pollution,ympäristömyrkkyjen,1,0.6411407434729076,0.0003582132243753,0.9994415996773875,7529,no,197117
complicated,monimutkaistaa,0,0.6212813647856942,0.0,1.0,5901,no,388795
crowned,kuninkaaksi,8,0.4714009050122328,0.1494504979619212,0.7592813719257346,7294,no,33215
artifacts,esineistön,8,0.6232595611034855,0.029182677023007,0.9552716312377232,7710,no,65704
dinner,häitään,5,0.5654617094208436,0.0419372571329255,0.9309559952482844,6185,no,619310
alias,taiteilijanimeltään,9,0.4075966076063374,0.1312386692304269,0.7564400942698772,6929,no,24360
permanently,palaamatta,5,0.4860795497049304,0.182860372174635,0.7266415619793778,5995,no,140804
luther,luther,1,0.5783113396928559,0.0432255878860924,0.930453709235801,7497,yes,1680
protecting,estämään,1,0.6276728446175155,0.013507448823399,0.9789334623013584,6888,no,240101
deutsche,schweizerische,7,0.6334880363757753,0.1012527255431814,0.8621925843902617,7462,no,2193
garcia,velásquez,9,0.5585938727508085,0.0264874587698075,0.954728586706113,7011,no,1943
wong,cheng,7,0.5596213014004674,0.0553516635408259,0.9099933384126732,7627,no,1322
announcement,lehdistötilaisuudessa,5,0.5871883818241628,0.0414081173584829,0.934126077042546,6279,no,257805
astronomy,tähtitieteeseen,4,0.7289678541430826,0.0454729926928966,0.9412828069714052,7274,no,37075
deutsche,deutschlands,9,0.6171928318798868,0.1175479300390699,0.8400144157892309,7462,no,2193
belfast,lauritsalan,7,0.5371642915901507,0.1163260534314594,0.8219926976463399,6218,no,1350
