en,fi,position,score,rel_score,ratio_score,index,correctness,freqs
attract,houkuttelevaa,0,0.6795489833812098,0.0,1.0,7048,no,346464
resignation,virasta,9,0.5928040135625294,0.0669225872608239,0.8985601199386185,5971,no,56169
bomber,syöksypommittajaa,7,0.6754046047427189,0.0587663729392266,0.9199554671518422,6071,no,28362
bedford,durhamin,5,0.5962703834497006,0.0536149906305635,0.9175008505054588,7588,no,1136
extraordinary,poikkeuksellinen,1,0.5088466683238559,0.0085107387706253,0.9835495952045564,6401,yes,264752
brilliant,taitavaa,4,0.5849728570108499,0.1381559916843049,0.8089469228981812,7596,no,309313
variables,muuttujaa,4,0.727264305619808,0.0497574886415905,0.9359638442459806,7276,no,170150
helsinki,tukholmassa,1,0.6604059847807698,0.0125736907609496,0.981316388565779,7587,no,797
desired,halutuksi,9,0.5986717171584485,0.1063569689631174,0.8491451893281139,6304,no,383727
julia,janette,6,0.5955639478043231,0.0577848134836164,0.9115559454498608,5861,no,2553
herman,jacobsin,8,0.4946733901612659,0.03707334243684,0.9302800747722506,7532,no,1108
everyday,jokapäiväisen,3,0.6678505672888053,0.0325548624256353,0.9535199742256308,7250,no,515693
algeria,algerian,1,0.7897585614554872,0.0070673388318946,0.9911306361535868,6135,yes,578
gerald,brian,6,0.5722473158924994,0.0271370090920806,0.9547251939016276,6494,no,986
secular,uskonnolliset,6,0.6229029322732809,0.0644832044850858,0.9061907113966814,7098,no,99134
penny,jane,6,0.4686070189728105,0.1153050644788535,0.8025300935763244,7655,no,117246
willie,charlie,8,0.591916481775973,0.0839974051929081,0.8757276528677457,6589,no,1672
suite,ohjelmistoa,3,0.5174023518835937,0.0323134866989134,0.9412178357781418,5880,no,186778
consent,suostumuksen,3,0.6360400438696177,0.0619460740568913,0.9112502778122392,6862,yes,206529
aberdeen,skotlannissa,8,0.6290015459531129,0.0708430140289351,0.8987732161113714,7347,no,1138
chip,laitteessa,5,0.4991628479004626,0.0355107132456589,0.9335843104537684,6882,no,176186
performers,esiintyjät,0,0.7220015031582645,0.0,1.0,5947,yes,107213
philippe,françoise,7,0.6576866871876025,0.078679076227757,0.8931521804288763,7261,no,1823
decorated,koristeltua,6,0.6548669365636325,0.0619236980916823,0.9136097835298034,5900,no,124112
consistently,useamminkin,3,0.5307823344729184,0.0246498219575467,0.95562046296354,6443,no,287966
acceptance,hyväksyvän,5,0.603969125029551,0.0454291230419406,0.9300442784118208,6790,no,215467
dale,holton,7,0.5322623563590926,0.0447735471984814,0.9224076926194,6167,no,3913
electron,molekyylien,0,0.7027969512960863,0.0,1.0,6748,no,47449
bengali,bengali,2,0.6563405418072097,0.0150886616170959,0.9775275464037856,7263,yes,924
louisville,oklahoma,2,0.674076257104075,0.0028301175780038,0.9958190413270476,6431,no,8400
sebastian,sebastian,0,0.5831836516459973,0.0,1.0,6699,yes,1725
excess,alhaiset,8,0.5822275209421922,0.0476449590573638,0.924357769913368,7189,no,447522
wong,wong,0,0.6852723105167422,0.0,1.0,7627,yes,1322
heath,beasley,1,0.4751490119554209,0.0144625964097878,0.9704610835145886,6767,no,15116
chang,jing,2,0.7003753148565384,0.0740986152433882,0.9043239386588162,7180,no,3806
environments,ympäristöjä,4,0.6323394269542529,0.0431090908644733,0.9361770886644498,7226,yes,232945
respected,arvostettuna,6,0.5819897904764719,0.1001548095208715,0.853176570596232,6389,no,187855
montenegro,montenegrossa,2,0.8230065724222326,0.0095092093382387,0.988577742852958,7267,no,356
occasional,satunnaiset,5,0.5399463454557829,0.0602138294338564,0.8996704014142076,6096,no,167904
brandon,justin,4,0.6333113540457468,0.0292333314499053,0.9558771927541222,7135,no,2936
revolt,kapina,0,0.8018765640914305,0.0,1.0,6820,yes,34363
terror,terroriin,2,0.6813435394164109,0.0587819674121283,0.9205783791130088,6578,no,140627
bacteria,bakteereilla,9,0.7162167839465929,0.0793873722499584,0.9002174993284651,6650,no,272230
lit,sytytetty,0,0.4459715109415793,0.0,1.0,6897,no,124561
norton,norton,0,0.5033438988706657,0.0,1.0,6851,yes,2774
sudden,äkillisestä,8,0.5794312855714712,0.1059053206283684,0.845469628106386,7275,no,259275
prizes,rahapalkinto,7,0.6579647726065343,0.0546715674887006,0.9232826556650277,7385,no,140726
strait,salmen,0,0.6685997658406169,0.0,1.0,7363,yes,8895
verify,tarkistaa,0,0.7502158175344044,0.0,1.0,5967,yes,182733
stolen,varastettu,0,0.7395993172505735,0.0,1.0,5933,yes,182823
duchy,herttuakunnan,1,0.7396055574390317,0.0167034841474572,0.9779144724854554,5944,no,1402
highlights,teemat,7,0.4819739951362626,0.1157674701600548,0.8063251808996292,6957,no,227178
toy,leluista,9,0.5099444204325432,0.1301157822112785,0.7967132127980704,6472,no,214959
resignation,eroamisen,6,0.5975067001296203,0.062219900693733,0.9056883554246846,5971,no,56169
fights,taistella,6,0.6290169107925518,0.0417360155896724,0.9377773633955204,6827,no,104969
enable,mahdollistavaa,9,0.7016964779728125,0.0498353167344202,0.93368834547601,6418,no,600062
princes,hallitsijat,1,0.6600230402490386,0.0143813123662672,0.9786755344764646,7546,no,22299
diary,päiväkirjansa,6,0.7090807786173876,0.0416088086150169,0.9445725512612774,7057,no,75370
discusses,kuvailee,9,0.5623186169419653,0.0802891937932739,0.8750572394982079,7113,no,126888
sponsor,sponsoroima,2,0.6726433060441332,0.0092567227947292,0.986425102796239,7675,no,169292
mineral,mineraalit,4,0.6727288415562735,0.0114088794748248,0.9833237093583586,6741,no,165233
witness,todistajia,9,0.5665394713926988,0.1071210929824113,0.8409865462708549,5840,no,255389
interactions,vuorovaikutusta,2,0.7344325389250597,0.0264680304497051,0.9652148631306006,6476,no,166569
servants,palvelijoina,2,0.6151864734666643,0.0377928486456572,0.9421224419122474,7629,no,93146
rica,ecuadorin,1,0.7271350745061146,0.000516371730807,0.9992903584078924,6681,no,4915
enzyme,entsyymistä,2,0.7360986415693103,0.0029377612109995,0.9960248761766708,6153,no,63225
haiti,haitin,0,0.7541082673412407,0.0,1.0,7679,yes,1918
skull,pääkallo,8,0.6178327337813978,0.1051508076942229,0.8545598873805502,6961,no,71525
monarch,monarkia,5,0.6052655044552142,0.0675877251217575,0.8995505674183202,6316,no,21965
dissolved,hajotettiin,0,0.601802966299272,0.0,1.0,6061,no,54554
glory,ikuisuuteen,4,0.5151072520637918,0.0349376493033108,0.9364821867878868,6236,no,200255
supporter,tukijana,6,0.6083450269454842,0.1376598536237273,0.8154705723658389,7110,no,71546
fourteen,kaksitoista,6,0.7452913779922775,0.0291418479753321,0.9623700959641536,6226,no,60641
girlfriend,tyttöystäväänsä,7,0.79208802400986,0.0396116755027505,0.9523726225632116,5970,no,208460
fees,maksut,0,0.770214500044087,0.0,1.0,6969,yes,777365
freeman,russell,3,0.6411126209957054,0.0393005806485712,0.9422401262150734,7607,no,2997
exterior,sisustan,9,0.6394915800772301,0.048808236860478,0.9290886970192304,6998,no,169273
greene,carroll,3,0.5976027976843825,0.0203864753284016,0.9670116032451264,7264,no,1968
requesting,pyytäminen,9,0.657567433907126,0.0666664702731906,0.9079489790682428,7489,no,101792
sanctions,loukkaukset,9,0.6198690611819105,0.0256382499451807,0.960282014621314,6559,no,98592
archaeology,arkeologista,9,0.7175877189433602,0.1138521519510873,0.8630662830390762,6884,no,23743
findings,tutkimustulokset,0,0.7499191704838006,0.0,1.0,5952,no,335564
seized,takavarikoitu,6,0.6551923877327197,0.0762164338105264,0.8957950306783113,7186,yes,90797
johnston,thompson,0,0.6597987973455345,0.0,1.0,6849,no,1985
tenor,tenori,5,0.6509390842977911,0.0257835111670949,0.961899438056472,6826,yes,22287
sponsor,sponsor,4,0.6462577791100783,0.0356422497287841,0.9477309748916192,7675,no,169292
portions,kokonaisuudessaan,7,0.5148591145733477,0.1300711753311184,0.7983174656746453,6006,no,142431
derivative,pätee,8,0.4720441825305087,0.0265210520962561,0.946805251842098,6905,no,42934
doug,dave,4,0.658632035905605,0.0388188513502405,0.9443418137971332,5881,no,3130
hung,ripustettiin,5,0.4693669394578118,0.0272455346016989,0.9451372327018228,7706,no,143918
duck,kissa,2,0.4740352909709813,0.0090975226582622,0.9811697272434828,5993,no,78432
molecules,molekyylit,0,0.8456236928995359,0.0,1.0,7512,yes,96188
nottingham,manchesteriin,7,0.6979297897512216,0.0548271212705312,0.9271649048082312,6904,no,1490
raja,rama,9,0.5390806281999518,0.0352803524483017,0.9385746009269598,7146,no,1622
intelligent,älykäs,0,0.7501883103847651,0.0,1.0,6531,yes,246932
casino,hotellin,7,0.5706594243197438,0.1188199301297748,0.827667167460524,6756,no,453078
richardson,taylor,6,0.647412418588731,0.0428132121060074,0.9379721496825404,6092,no,6934
anton,antonín,7,0.4920322959543768,0.1199963090140067,0.8039367636742966,6811,no,663
horizontal,vaakasuoran,5,0.7048214129094361,0.059716671851735,0.9218918284883224,6150,no,115365
everyday,jokapäiväinen,2,0.6691912016103579,0.0312142281040826,0.9554340575046528,7250,yes,515693
births,syntymäajat,9,0.4950735337736078,0.0528100614204016,0.9036108000245904,6421,no,34762
nicolas,georges,9,0.5766166948357618,0.1281216469451915,0.8181996929223211,7324,no,1070
halifax,halifax,0,0.6350049271647533,0.0,1.0,6398,yes,2858
jorge,joaquín,6,0.6995315018114237,0.0503354032507958,0.932874216863032,6865,no,529
castro,calderónin,4,0.6530143923153002,0.0226889728660636,0.9664216962128436,7516,no,953
shuttle,avaruusaluksella,4,0.6304890082791992,0.0391896595741538,0.9414799045342508,7686,no,83579
hayes,harrison,0,0.6485446591513553,0.0,1.0,6918,no,1230
generations,sukupolvea,6,0.6035186841504104,0.123910977979368,0.8296591623490033,5992,no,242446
recruited,värvätty,1,0.7021309009862455,0.014581235637266,0.979655380602372,6610,no,61210
chest,rintaa,4,0.6143695216675154,0.0351530605273522,0.9458786168626148,7289,no,334504
blade,miekan,5,0.5490420460569204,0.0470947963374132,0.9210000238397262,6498,no,130603
dinner,kiitospäivän,9,0.6119121839844628,0.0792147667354948,0.8853831895095747,6185,no,619310
sometime,aikakin,9,0.4833520377697182,0.0837462120724079,0.8523250387464218,7093,no,158295
discusses,käsittelee,0,0.6426078107352392,0.0,1.0,7113,no,126888
supporter,kannattaja,0,0.7460048805692115,0.0,1.0,7110,yes,71546
pos,ostaessa,6,0.3336832670381777,0.0169543712047536,0.9516470299945176,7569,no,10338
dust,pölyn,4,0.6131415601441095,0.0488373024741055,0.9262252841715406,6513,yes,297720
demon,lohikäärmeestä,8,0.5983362306756426,0.0480986765950539,0.9255939367536158,7160,no,56523
header,tietolaatikon,9,0.5029136991163556,0.024195971754253,0.9540968927504416,5913,no,102354
webster,bryant,6,0.530338882242801,0.0533938768958676,0.9085302716697734,7187,no,2169
magical,taikavoimia,0,0.7114879313073215,0.0,1.0,7504,no,159964
bones,hampaita,5,0.6020406254141518,0.1050464962568352,0.8514376898725159,6125,no,205565
precise,täsmällistä,1,0.7303925453938693,0.0058560809042782,0.9920460552385372,7031,no,245627
broader,laajempien,9,0.6254915483582283,0.1083396048312533,0.852364396959202,7300,no,164786
discrimination,syrjinnän,2,0.7169450340076972,0.041323010881008,0.9455034256559324,6063,yes,170631
cumberland,cumberland,6,0.5951682836537148,0.0274105940394008,0.955972495981606,7636,yes,648
lasting,pitkäkestoinen,7,0.5364041502185186,0.0861722465549125,0.8615876750202716,6675,no,237682
estimates,arviot,1,0.7182488860595393,0.0035194101574634,0.99512390586299,6896,yes,243130
buddhism,buddhalainen,9,0.7608151286374121,0.0644628243107874,0.921889559656232,6387,no,2144
dragons,hirviöitä,8,0.5295049280221769,0.0819701825145029,0.8659468208893093,6482,no,31852
casey,glennin,8,0.5970280368604319,0.0718182568809552,0.8926236751956584,7047,no,2485
critically,ristiriitaisesti,1,0.4334971086395529,0.0056700722208367,0.9870890347276674,7430,no,87153
strongest,voimakkaimmista,4,0.6263131571525944,0.0544086312003069,0.9200721467547616,7617,no,114403
dylan,ronnie,7,0.5512656435695338,0.0746780493112769,0.8806952603554761,6942,no,8805
tribal,intiaaniheimot,4,0.54267374157978,0.0435242882547695,0.9257515616914408,5980,no,99559
subjective,subjektiivisesti,6,0.6547655083790983,0.0473835198860385,0.9325164345764128,7642,no,76744
salem,bostonissa,4,0.4343304301418645,0.0606329225244035,0.8775001781489757,6556,no,8137
beatles,hendrixin,7,0.5387773212388371,0.1381564409233078,0.7959084793140877,7125,no,5529
handful,muutamia,3,0.5522687957201264,0.0122425516790691,0.978313010472734,7711,no,220137
economist,pääekonomisti,6,0.6861726424242942,0.116933043868965,0.8543989342066914,7026,no,57898
algeria,tunisia,4,0.7655070800204917,0.0313188202668901,0.9606955292798656,6135,no,578
believing,uskoessaan,5,0.611708824601434,0.0352985845070082,0.945443307124336,6739,no,132318
hypothesis,hypoteesit,5,0.6932122897905555,0.0416578459526326,0.9433126427018248,6668,no,76010
savage,wolverinen,0,0.5295411987129616,0.0,1.0,7404,no,31781
diving,sukellus,4,0.5953784869068683,0.0336543449060519,0.9464982697181996,6525,yes,138266
vista,käyttöjärjestelmä,7,0.4661426685773063,0.1762519890087163,0.7256328536868093,7515,no,33410
councils,toimielimiä,7,0.6151455411131305,0.041040670270441,0.9374557563714933,6925,no,63502
incomplete,epätäydellisesti,4,0.530186353003449,0.0281935371211529,0.9495083228823632,6246,no,78064
strait,saaristo,8,0.5865222797341677,0.0820774861064491,0.8772397324978797,7363,no,8895
rainfall,sademäärästä,5,0.6924167462778122,0.0390688168527262,0.9465897635962582,7281,no,54676
threatening,uhkaan,7,0.6550126703494523,0.0261119244792901,0.9616635125533008,7652,no,136409
nottingham,birminghamin,6,0.7028222621925475,0.0499346488292052,0.9336643103529576,6904,no,1490
francesco,vincenzo,3,0.7449682127174069,0.0718233198284357,0.9120665225255568,7446,no,417
verified,todennettu,4,0.5927759608432089,0.0306697352680386,0.95080608389898,6180,no,90033
chains,ketjuja,1,0.6295398446711507,0.0544610007265782,0.9203787523173154,7624,no,126905
humanity,maailmamme,7,0.6562815359402999,0.1214777335695984,0.8438106258172312,6576,no,207744
continuously,jatkuvana,1,0.5599494202951056,0.1281472256968986,0.8137656585839721,7685,no,172764
