en,fi,position,score,rel_score,ratio_score,index,correctness,freqs
brussels,strasbourgissa,8,0.6532034781015708,0.1636238330093848,0.7996836898280956,5954,no,3606
rotation,pyörivän,3,0.5904829200683775,0.0199251292395952,0.9673576892339728,6689,no,112783
alberto,alberto,0,0.8037986736991031,0.0,1.0,7503,yes,514
geological,geologinen,3,0.7284470287765739,0.0743778437064733,0.907354833842615,6183,yes,35650
edges,reunoissa,7,0.6305368524609913,0.0930483193162605,0.8714065421106991,7392,no,164035
stronger,vahvempi,0,0.7074571656245829,0.0,1.0,5850,yes,349797
scouts,vapaaehtoisjoukkojen,7,0.4667480096065822,0.0277870559936833,0.94381175789839,6570,no,25786
pond,järvellä,5,0.5903983503473313,0.0582136786598863,0.910248845139382,6458,no,114161
hawk,hawkeye,4,0.5088225884599279,0.0772362586757208,0.8682107452976582,7634,no,18041
cameras,kameralla,9,0.6922502711004095,0.058358148608928,0.922252206241536,7013,no,310539
flooding,tulvia,1,0.7792025236036603,0.004695647057442,0.9940098762400708,7271,yes,88829
crashed,törmättyään,3,0.6803133141758724,0.13211622933612,0.8373813084578333,6775,no,68819
barrel,piippua,4,0.5815170405180983,0.0462784332520034,0.9262842196454724,7410,no,117841
prevention,ehkäiseminen,1,0.7035509090682018,0.0155885022968805,0.9783233931411291,6655,yes,259928
olive,valkoinen,1,0.4984548469981479,0.01464546956071,0.9714569079611356,7508,no,135911
mineral,mineraalit,7,0.6318905648504014,0.036299995216072,0.9456741872970176,6741,no,165233
ecclesiastical,hiippakuntansa,5,0.7073035484669956,0.0194343143431237,0.9732581507890948,7697,no,18994
dragons,dragons,1,0.5595640923926863,0.0185347036556878,0.9679385188442132,6482,no,31852
roberto,mariano,7,0.7049936251676299,0.1137011068565492,0.8611190442432318,6835,no,670
technically,käytännössähän,7,0.6027631967337773,0.0625178468094637,0.906027914944791,6143,no,114018
yuan,zhangin,5,0.7629358792498324,0.0568601632735433,0.93064108592361,7693,no,260630
stretch,kulkevalla,2,0.6053668862248538,0.0231967919785331,0.9630955577248176,6426,no,309489
posters,valokuvia,7,0.5608251981183837,0.0252900686949189,0.9568513735661236,7352,no,136915
lat,latinankielisessä,9,0.309739950997243,0.1224053814496963,0.7167495000892419,6116,no,7774
iso,standardina,8,0.5992077979008461,0.0936028051721488,0.864894092617854,6351,no,9651
conventions,sääntöjä,0,0.5542043489044173,0.0,1.0,6714,no,67831
commitment,tavoitteen,9,0.5792377274300952,0.0292589310132366,0.9519160366663518,6253,no,605347
newfoundland,newfoundlandiin,5,0.614759789418645,0.054503328005419,0.9185621819185292,6102,no,1983
ethnicity,etnisen,2,0.7321410043462466,0.0323315738519113,0.9577073465105628,6764,no,40109
unified,yhtenäisten,5,0.4989826331774166,0.0382043845749691,0.9288806629489708,6568,no,78099
bug,firefoxissa,5,0.4766624583719334,0.0465972294608418,0.9109481763178868,7661,no,164169
adoption,muuttamisen,7,0.5342470615119883,0.0277363257490843,0.9506456482917364,6837,no,212733
playwright,näytelmäkirjailija,0,0.8614210138686847,0.0,1.0,6597,yes,20874
regulatory,päätöksenteossa,4,0.5935726889170132,0.0234813854220206,0.9619459843172204,7666,no,242403
plantation,maatilan,1,0.5813774670713008,0.0067884560258105,0.9884582636306698,7393,no,37245
carefully,huolellisemmin,3,0.6208045470284843,0.1047798243719132,0.8555925010213694,6193,no,542015
nurse,lastenhoitajana,8,0.6527044217440878,0.1205616558693654,0.8440877475946478,6485,no,203370
bend,yhtymäkohdassa,3,0.4184398790312621,0.029719528829824,0.9336853621534684,7237,no,104791
papua,papua,0,0.762075498734753,0.0,1.0,7315,yes,513
cnn,cnn,0,0.6789047320009555,0.0,1.0,6751,yes,5277
shoulder,käsivarsi,7,0.6416148102097772,0.0525019583488663,0.9243614896987888,6625,no,341486
timothy,michael,6,0.5750966406759792,0.0607135992215046,0.9045098750984352,7279,no,2424
crazy,hulluja,7,0.5255198430772943,0.0720477428394825,0.8794316416461105,5839,no,425394
joshua,nathan,5,0.5742022674379641,0.0521419307467648,0.9167519538013084,7045,no,3272
crop,maataloudella,7,0.5469994437611744,0.0637815230755408,0.8955738201766984,6843,no,180772
screenplay,käsikirjoittamansa,9,0.7854393829593398,0.0390750245056015,0.9526084394016328,6075,no,28645
saxon,anglosaksien,0,0.5586382239937272,0.0,1.0,6514,no,1671
disasters,luonnonkatastrofien,7,0.607946459523195,0.0360403623901232,0.9440355591702244,7473,no,91157
hanging,makaamaan,9,0.5100677801359104,0.0954912916292198,0.8423088744242994,7198,no,269631
designers,pelisuunnittelija,9,0.6440787117710067,0.1314911418982893,0.8304586733532873,6272,no,331385
committees,komiteaa,3,0.7202904015226687,0.0534001740444676,0.930979934704098,6503,no,108685
estimates,arvioitu,3,0.6809812029098666,0.0410521835744707,0.9431436491124622,6896,no,243130
cannon,tykistä,7,0.5699803737026883,0.0675497271383516,0.8940446465990564,6058,no,31463
objection,perustelun,0,0.7247377368982593,0.0,1.0,7582,no,55542
diversity,monimuoto,5,0.6466988851524983,0.0916633214645396,0.8758558866595916,5950,no,267197
catholicism,katolisuuden,3,0.7574067313569477,0.0332091300759276,0.9579958717046976,7496,no,736
monica,linda,6,0.552786332562293,0.1686666653923507,0.7662125379331303,7448,no,3551
