en,fr,position,score,rel_score,ratio_score,index,correctness,freqs
honored,honorant,4,0.6988340064509716,0.0168238919446924,0.9764917120562664,6656,no,141792
minimal,limités,6,0.6162126032025206,0.0348040307569725,0.946538953167304,6077,no,282593
migration,migrants,8,0.682814954421409,0.2092741349503045,0.765411170875665,6192,no,119076
tributary,défluent,4,0.7491047076888906,0.104205058925459,0.8778813239898681,5934,no,9551
georges,jacques,6,0.5873914576482606,0.0758828911522682,0.8855935084938902,6855,no,1221
directions,perpendiculaires,4,0.5899667757463918,0.2081920595883107,0.7391596128845622,6538,no,278196
belgrade,niš,4,0.7112688825760468,0.1780301129678517,0.7998084852676934,6231,no,218
arch,arches,0,0.6214989110697313,0.0,1.0,5720,no,62120
counted,décomptés,8,0.6669977582801692,0.0657158849089297,0.910311640134194,7197,no,108524
strictly,strict,1,0.7106819662764348,0.0719712037481121,0.9080420210323114,6097,no,151931
graduates,élèves,4,0.7012427537417447,0.1450732990529375,0.8285825979858465,7211,no,155458
reassessed,liéscatégorie,6,0.4665937116617631,0.1069166644053162,0.8135750129953865,7088,no,2909
algeria,libye,3,0.7467340508851736,0.1089969344080354,0.8726271032821271,6135,no,578
fusion,électro,2,0.4974896236871687,0.0572747895757633,0.8967583568691926,6203,no,76200
permanently,temporairement,0,0.7842009046609602,0.0,1.0,5995,no,140804
lat,loc,7,0.3606057007318138,0.2818411036940512,0.5613004816080859,6116,no,7774
tyler,brandon,1,0.6770997042746765,0.0903578580305558,0.8822633817573631,5981,no,3957
suburbs,villes,9,0.6099546299538766,0.1594242647983812,0.7927883570945674,5788,no,60746
stretch,longeant,0,0.6333109668418888,0.0,1.0,6426,no,309489
phrases,idiomatiques,9,0.6485748349327989,0.1349945980232432,0.8277183969339239,6774,no,222733
hopefully,pourrai,5,0.7664729327691926,0.0154492042951237,0.9802420169952896,6765,no,274720
redirected,doublon,7,0.6797676025614481,0.0742274588322997,0.9015544495807551,6895,no,19934
triangle,bissectrice,8,0.5345238410816228,0.3093909601017933,0.6333860246698643,6093,no,59398
hosting,animer,1,0.5046099114293134,0.0052645465491081,0.9896748180523078,6186,no,619516
airfield,aerodrome,8,0.605193266897468,0.1886560169676412,0.7623528536183732,6165,no,11374
deceased,défunts,3,0.577188653820587,0.1374796204356605,0.8076315608402583,6242,no,91387
sit,rester,3,0.53808033130182,0.0272965436709873,0.9517197379671742,5644,no,705280
performs,exécutent,3,0.5740396873251952,0.0636144763293253,0.9002367114412954,7218,no,138111
hayes,hayes,0,0.7707445958909678,0.0,1.0,6918,yes,1230
births,mortalité,3,0.5212878959567078,0.1958556121571819,0.7268948126264317,6421,no,34762
cnn,msnbc,4,0.6235075129913928,0.1480821061730987,0.8080817801392299,6751,no,5277
civilization,civiliser,4,0.660423854059216,0.2405330415729401,0.7330249174638148,7299,no,114925
naked,déshabiller,9,0.5018267162689797,0.0865947325805193,0.8528355267303186,6810,no,176179
handball,handballeuse,6,0.6780881942407379,0.1406791119214704,0.8281818156847605,5715,no,4798
laser,photoniques,7,0.6459649932315865,0.2188933539803613,0.7469026521094351,6115,no,285707
latvia,estonie,1,0.8014203442725114,0.0745849130258399,0.9148579162003388,6885,no,314
millions,millions,0,0.7777443986484842,0.0,1.0,5851,yes,528626
bradley,mckeever,4,0.6226204133690294,0.112610699973914,0.8468363240751653,6018,no,2776
ahmed,hassan,6,0.7475206435720945,0.0852424735697134,0.8976389902301618,6038,no,1089
wireless,modems,7,0.6798843534966656,0.0877579400135202,0.8856786021882264,6409,no,367025
locality,localités,2,0.5209013163967936,0.0462448010639665,0.9184605172455118,6899,no,36077
innocent,innocents,9,0.6054800686668355,0.173436508074316,0.7773362215502673,6631,yes,186939
honored,décernant,5,0.685120307431073,0.030537590964591,0.9573293454413776,6656,no,141792
relay,relayeurs,7,0.551784173901693,0.2336648605490079,0.7025079282038712,5855,no,61979
useless,inutilisable,3,0.7000809429181352,0.1092558270815402,0.8650057292200081,7115,yes,150843
easter,célébrations,4,0.5701304635785439,0.2563378712357497,0.6898394524778152,7313,no,14774
furniture,argenterie,5,0.6711766838885543,0.1713608443006968,0.7966133987301682,6683,no,569320
reserved,dévolues,9,0.5598205372352228,0.2306572467472772,0.7082052760734088,6839,no,142397
useless,inutiles,1,0.7823354637604646,0.0270013062392108,0.9666377369222684,7115,yes,150843
martha,elizabeth,2,0.6508181297145175,0.0735022483457771,0.8985224624735623,6707,no,2419
submit,soumettra,4,0.6453856358476712,0.1149276002403839,0.8488417736462058,6303,no,444189
mohammad,hassan,8,0.7170159344250762,0.1291720510303776,0.8473482804641195,7257,no,712
dynamics,modéliser,7,0.6196333666339001,0.0590855729618485,0.912945448380974,7170,no,127569
