en,fr,position,score,rel_score,ratio_score,index,correctness,freqs
allegedly,accusaient,7,0.6793363031506199,0.0420139566631501,0.941756509973398,6214,no,115125
melody,refrains,4,0.6849118773196021,0.1865120209289574,0.7859686642702586,7109,no,57147
investors,épargnants,8,0.6869404068545397,0.2257374011592701,0.7526647419525572,6824,no,520687
iso,standardisée,6,0.5773285215083981,0.2312009585761829,0.714047583581001,6351,no,9651
infinite,infinies,2,0.7751536769967033,0.0540358394638542,0.9348329442290716,6727,yes,103329
twentieth,siècles,9,0.5647843094735927,0.1101742279872912,0.8367688948690775,6162,no,52032
funny,amusante,4,0.6626228191264946,0.0549036796971783,0.9234820180339144,5733,no,501376
taste,goût,0,0.8239788641960454,0.0,1.0,5757,yes,618741
mineral,bauxite,7,0.6925219805767044,0.1251402174020045,0.8469536469811668,6741,no,165233
armies,fantassins,6,0.7178856963408101,0.0906563993356647,0.8878767106617793,6138,no,51252
enrolled,enseigna,9,0.6661038768718526,0.0531694074517861,0.9260789902661498,6247,no,122426
carpenter,parris,9,0.5220719878127054,0.0483076979556906,0.9153060686398532,7229,no,23924
fairy,fées,0,0.7141187263883813,0.0,1.0,7215,yes,71200
philippe,jean,2,0.6481554084235508,0.054957582032198,0.9218367705074326,7261,no,1823
mandatory,dérogation,5,0.524168641042246,0.1588960580744547,0.7673777340859075,6967,no,155901
insert,insérez,2,0.6422571348662982,0.1116436229490349,0.8519120430750623,7316,yes,147613
console,playstation,3,0.7064127026485402,0.1882679251483,0.7895696863226919,7206,no,165116
estimate,calculé,8,0.6572278923594661,0.1980899973862188,0.7684019009059688,6687,no,268772
circular,elliptique,8,0.6576519092764993,0.1472434423958466,0.8170651102781048,5904,no,101655
temporarily,immédiatement,7,0.5759462008398569,0.3332330359901511,0.6334792717528187,5667,no,117242
altered,altérée,4,0.7211622909295967,0.057308839504685,0.9263828326264144,6270,yes,140529
sailors,mouilleurs,6,0.6274818181848514,0.0630558792025033,0.9086858263624492,6506,no,43357
nascar,nascar,0,0.7878351996127454,0.0,1.0,7207,yes,2456
rewrite,relecture,7,0.6600127360100266,0.1402657337782978,0.8247288424298126,7285,no,34763
scandal,corruption,3,0.6334149909844696,0.1893188539526419,0.769890523991859,5827,no,84866
worn,veste,7,0.6749341945850127,0.0607096697774401,0.9174741030021988,5659,no,276912
remarks,reproches,1,0.6436968533123004,0.0611678050729882,0.9132204965232444,6311,no,133993
reconnaissance,awacs,8,0.6562916826808186,0.0562886900001869,0.9210072405048052,5960,no,14671
collecting,amasser,9,0.6045609044346671,0.1853535799141086,0.7653498149652003,6846,no,194650
recruited,recruta,1,0.786401432868902,0.001941768209946,0.99753689990947,6610,no,61210
copenhagen,oslo,2,0.7264535634746727,0.1592559439860483,0.820193931933026,5717,no,922
hurling,kilkenny,1,0.5702003963513556,0.1129619646272812,0.8346484363315009,7191,no,10608
gravity,gravitationnel,2,0.7326066001632079,0.007366045355923,0.9900455166815588,5882,no,116319
triangle,isocèle,2,0.6086006173933436,0.2352915435113991,0.7211829254828704,6093,no,59398
skull,crânienne,4,0.6658324315122028,0.1770044173071212,0.7899897025680885,6961,no,71525
advisor,directeur,2,0.670097505344267,0.038041770794108,0.9462792531413348,6275,no,145984
abdul,abdul,0,0.7760444578221327,0.0,1.0,6190,yes,863
beetles,coléoptères,0,0.7556371389257881,0.0,1.0,6377,yes,17842
consciousness,inconscient,2,0.7428546216206073,0.047321247829589,0.940113018305007,6883,no,246043
henderson,harris,6,0.6715344974989793,0.1047118385695594,0.8651048852611732,6199,no,7086
cyclists,vtt,9,0.6104882292188691,0.1635183046337658,0.7887378239304392,5786,no,51139
clients,client,2,0.6814664196854191,0.139851099669458,0.8297234670224649,5846,no,1475341
slam,masters,4,0.5753144836470029,0.0847612335240614,0.8715886203368776,7036,no,33767
edgar,walter,8,0.5144559609150883,0.2370896109587064,0.6845306261766914,6041,no,1556
ibm,motorola,2,0.7052667772920327,0.183681812089167,0.7933718391779793,6049,no,3448
belfast,belfast,0,0.8195139931860564,0.0,1.0,6218,yes,1350
punishment,châtiments,2,0.7868344875243964,0.0187120822273854,0.9767709491542478,5734,no,174758
glacier,versant,5,0.5463355134921934,0.2594338618282718,0.6780296325793078,5647,no,23482
rainfall,pluies,1,0.8319157612664222,0.0413748769161866,0.9526218705352306,7281,yes,54676
chip,coprocesseur,7,0.5607837587366171,0.1123226000386378,0.8331280063331842,6882,no,176186
entrepreneur,entreprise,6,0.5817241182759156,0.2533594994555717,0.6966058319479129,6804,no,108276
investigations,enquêta,4,0.7035455567760766,0.1349546195847966,0.8390523658915547,6571,no,124155
summaries,reverts,4,0.685574936281834,0.0242879073868239,0.9657850701674972,6376,no,28159
cliff,crag,7,0.4874011392130421,0.1476132695885022,0.7675434328063656,6142,no,55687
bats,chauves,0,0.5637723476414153,0.0,1.0,6910,yes,46784
hayes,wilson,5,0.651164860515329,0.119216077204952,0.8452504840556706,6918,no,1230
hydrogen,hydrogène,0,0.9198886546629728,0.0,1.0,6156,yes,100436
curve,rectiligne,9,0.6144067264601802,0.1576434390902507,0.7958119224314145,6147,no,154360
ecuador,bolivie,0,0.8453891774371463,0.0,1.0,5711,no,943
consequences,répercussions,1,0.7314426321259893,0.1505383533938806,0.8293179151644089,6129,no,373148
spy,espionnant,6,0.6990948760053135,0.1152732413423469,0.858450694609971,6141,no,90489
disruption,blocages,2,0.7132299264838704,0.0593708729963928,0.9231545281388108,6228,no,60849
nathan,nathan,0,0.7160428538752573,0.0,1.0,5902,yes,2726
sad,triste,0,0.608733852687446,0.0,1.0,6829,yes,358106
commitment,exigence,3,0.6608644705256036,0.1365578202542989,0.8287509368207636,6253,no,605347
cdp,recensement,3,0.5351003192278281,0.0253795098091182,0.9547182458774172,6023,no,412
jesse,rick,3,0.6532958594885514,0.0819625361863202,0.8885255351472876,6053,no,2748
upgraded,modernisée,7,0.6266088322400551,0.0452028968764561,0.9327149334890272,7072,no,102777
tuesday,jeudi,3,0.7976410282139358,0.0142759977038511,0.9824169253160892,7117,no,16279
karen,karen,0,0.7585749076607375,0.0,1.0,6269,yes,15155
atp,indoors,6,0.497744652030022,0.3047857507334733,0.6202190600082558,6688,no,498
burton,featherstone,7,0.5946789728430631,0.1186164124754444,0.833706463105073,6312,no,2905
assumption,postulation,5,0.5624490269759035,0.0144300540436799,0.9749859987674088,6224,no,131169
compensation,indemnisations,5,0.7774165869527463,0.0359503614929304,0.9558005626345764,6861,no,347995
flooding,torrentielles,7,0.7359802788720315,0.1375836672509909,0.8425030384305544,7271,no,88829
logical,intuitionniste,3,0.6998808744577837,0.1523856682467149,0.8211995184474222,6450,no,191562
modes,bidirectionnelles,3,0.5988467362139974,0.2103796135132181,0.7400237726018987,6358,no,127220
forbes,businessweek,4,0.4711164834163993,0.2980732504880209,0.6124841019718295,6924,no,1948
doug,greg,5,0.6732746242927379,0.0841920125715579,0.8888505335098457,5881,no,3130
depot,remisage,1,0.6156305041568162,0.0290358051382777,0.9549599463790396,6009,no,32021
cruise,naviguant,6,0.5950884154738095,0.2033643034941662,0.7453020089191746,5857,no,240158
harper,harper,0,0.7831497215199463,0.0,1.0,6098,yes,4030
appreciated,appréciée,9,0.6145235536547764,0.0497078220146141,0.9251648991068508,6697,yes,219010
climb,grimpent,7,0.6634210277724542,0.0725617341216406,0.9014083781868766,6948,no,194236
rulers,suzerains,1,0.7427242698086681,0.0602796542821784,0.9249323042220168,6256,no,52050
coordinates,géodésiques,4,0.5956133720116548,0.1758924292516865,0.7720141197076386,6616,no,57496
marco,roberto,2,0.6319899884742072,0.1411951103961165,0.8173851117896449,6202,no,1293
plains,montagneuses,5,0.6112194664938397,0.1941191989913345,0.7589595442131318,5918,no,41195
