en,ko,position,score,rel_score,ratio_score,index,correctness,freqs
bee,토끼,8,0.391590063246875,0.0206617504273057,0.9498807531174732,7131,no,59238
dwarf,행성상,3,0.5023865338595189,0.0245900427969787,0.9533375032473076,9074,no,33339
shane,맷,2,0.5873129423271768,0.0531778044861455,0.9169733446568517,7965,no,1607
seth,오툴,5,0.4298362860204628,0.0279947345524373,0.9388535654106474,8563,no,1813
penguin,펭귄,4,0.4291040775629371,0.0353271561708954,0.9239345814731712,7995,yes,14292
frost,리저드,5,0.4709854098091338,0.0151297899408458,0.968876122473382,8607,no,37639
expectations,기대와,3,0.547162912508347,0.0640731486743677,0.8951744624648142,8335,no,397250
brady,니콜스,4,0.5516425363272653,0.013988367092621,0.975269443363074,8702,no,2244
benson,그레이슨,0,0.5310168807775028,0.0,1.0,8816,no,1215
ricardo,알바레스,9,0.5842408668371597,0.0357773127903398,0.9422963487750724,8594,no,481
backup,대타,5,0.4687433196737361,0.101487627492896,0.8220236414786526,7824,no,255093
struggles,고민과,2,0.580921527871176,0.0268936276349147,0.9557536079985994,9358,no,127876
mann,버트,9,0.4652226567319097,0.0174035335014254,0.9639399314550018,7270,no,1975
santo,산페드로,1,0.576069295954108,0.0001034359867806,0.9998204774696084,7355,no,890
rené,라퐁텐,7,0.5123228116340439,0.0308701071561905,0.9431691649719172,8217,no,0
breast,수술의,5,0.5452551201549919,0.0232633368134901,0.9590807712074336,7144,no,454167
madagascar,중앙아프리카,5,0.624016511372927,0.039553270768178,0.9403932007865796,7012,no,763
companions,저승으로,4,0.4878565572357365,0.0265817170503808,0.9483286559747754,8931,no,66620
breakdown,스트레스와,2,0.5028634049393271,0.0137604462261368,0.9733646710365882,9120,no,119081
boot,로더,5,0.444263924466959,0.0277931402307514,0.9411233464993278,8158,no,242348
ballad,곡으로는,6,0.6178959741048824,0.0198833440711696,0.9688241002733784,8582,no,19185
lahore,라호르,1,0.5768032271209089,0.0098298610063986,0.983243596030735,9217,yes,1029
weird,이상한,0,0.5873873186952725,0.0,1.0,7388,yes,220928
embedded,최적화되어,3,0.5731985759823353,0.011472001244734,0.9803786923926588,8065,no,146060
prizes,수상자를,3,0.5612270660213591,0.0329594706966966,0.94453009507966,7385,no,140726
andreas,heinrich,5,0.4978663915111673,0.0288428112635789,0.9452395911982692,7777,no,957
baghdad,바그다드의,1,0.6954389675715308,0.0244145285606308,0.966084031414986,9010,no,973
asset,자산관리,1,0.5779572033640288,0.0121734745645862,0.9793715612153638,8129,no,312694
retire,은퇴했으며,8,0.5826307855705039,0.0402545597782671,0.93537404583547,9001,no,93197
genuine,그러한,3,0.5563798586122761,0.0066152755977735,0.988249852981313,7701,no,377106
deciding,결정해,2,0.5927538834557986,0.0307912665272478,0.95061902650019,8050,no,243313
crush,동급생인,7,0.4928689326052609,0.0080199701597992,0.9839885249692564,9340,no,68739
testimony,진술,4,0.6254763918441968,0.0399690642731006,0.9399363780972976,8070,no,174810
diary,일기,4,0.5183351567722315,0.03497043580316,0.936797248622794,7057,yes,75370
uniforms,반바지를,5,0.554270482608757,0.0527783710319458,0.913057457047462,9259,no,65947
coordinator,코치와,3,0.5255808220002676,0.0217303094086206,0.9602962407274954,7255,no,104881
pleasure,즐거움,0,0.5190444458298104,0.0,1.0,7498,yes,511447
scales,납작하고,7,0.4906971546278363,0.0211590126725956,0.9586621906224362,7123,no,100517
taxi,택시를,4,0.6159569974064916,0.1055170820007084,0.8537479238513923,8937,no,111086
tri,애틀란틱,0,0.408325824565632,0.0,1.0,9085,no,10474
