en,ko,position,score,rel_score,ratio_score,index,correctness,freqs
wound,수술로,7,0.5885115711757657,0.0228171095978421,0.9626761997016594,7951,no,148966
corrected,수정하실,6,0.6151430038245299,0.0386279016285882,0.9409152329869808,7707,no,83895
destinations,공항을,9,0.6679034314979005,0.0529898326695603,0.926494204754768,8316,no,165908
wheeler,그랜트,3,0.6872657357166632,0.0287712339099793,0.9598187871151662,8893,no,8357
interference,간섭은,4,0.6248380372960072,0.0451459515036094,0.9326163725427296,8451,no,93186
streak,무패로,2,0.6093055981980366,0.0079609790576614,0.9871028509383172,6915,no,74188
advances,실패하게,7,0.4850167884677142,0.0251911526245625,0.9506257143496588,8250,no,214891
dot,표시되게,7,0.4496526623174582,0.0166795709682607,0.9642324296333998,7193,no,93095
essence,본질의,9,0.6283331917946118,0.0407278017271882,0.9391269224756243,9167,no,220933
handbook,isbn,1,0.526109213236591,0.01834656182256,0.966302934667987,8216,no,38202
exploring,탐구하고,4,0.6488031219810864,0.0361200543966611,0.9472640791808448,9343,no,216220
steering,장치가,7,0.5427946382595847,0.0244141895317984,0.9569573174189422,9274,no,117950
ucla,주립대,0,0.6455267083180345,0.0,1.0,7625,no,1145
cooperative,상호협력,7,0.5670323010781546,0.0689179424256092,0.8916299771411262,7329,no,90412
accepts,받아들인다,0,0.6707192888429488,0.0,1.0,9104,no,87114
randolph,해리슨,0,0.7348510742296732,0.0,1.0,9138,no,533
eps,ep,3,0.6165237620774886,0.0095786321438562,0.984701173111199,8761,no,5607
sandbox,미디어위키를,8,0.7043412216583771,0.0311646135303216,0.9576283259230348,8860,no,12844
magical,봉인하는,9,0.6146531877751692,0.0696838227032722,0.8981732368171143,7504,no,159964
petty,사관,4,0.415985310897803,0.0281317228880315,0.9366569603326734,8353,no,44606
meanings,낱말의,2,0.7168656452535589,0.0839851456652689,0.8951300958710279,9310,no,75139
yuan,梁,4,0.7232287169221356,0.0419330707080666,0.9451971185885558,7693,no,260630
careers,활동,7,0.5425512504193848,0.0957851080909479,0.8499457115141006,7678,no,205995
bugs,버그를,1,0.5307363272445473,0.0210938540417243,0.9617747365819024,8609,no,156857
astronomy,천문학을,4,0.7791117887757448,0.0791981809341854,0.907727763012061,7274,no,37075
fool,멍청한,3,0.569446778529249,0.02068793113976,0.9649437140354558,9298,no,114095
fitzgerald,찰스,9,0.6722304512707966,0.0576985697766886,0.9209531774830816,7967,no,1131
contestant,우승자의,6,0.6416293022591251,0.0305476636602773,0.9545541349836432,7635,no,21197
monsters,괴물과,9,0.6117033846315658,0.0422763357880237,0.935355280189882,7731,no,71569
surveillance,감시하는,8,0.5942620933076052,0.1240150737404117,0.8273437059817866,7650,no,123831
