en,ko,position,score,rel_score,ratio_score,index,correctness,freqs
fruits,과일,0,0.7444465552822976,0.0,1.0,8278,yes,296279
willis,오슨,3,0.7172598384673221,0.0151124612088501,0.97936505624867,8553,no,1338
loyalty,충성심과,7,0.5050120876031968,0.0862134438634648,0.8541784153847451,8541,no,142368
greenwich,맨해튼의,2,0.5880917854620871,0.0603256804109382,0.9069647509730232,9412,no,1195
introducing,도입하고,0,0.5893091169958201,0.0,1.0,7333,no,147981
chocolate,커피,7,0.6670908856866997,0.0356149947574135,0.949317352040793,7586,no,351231
immigrant,이민자들의,9,0.623409318382426,0.1287057554523808,0.8288749156480149,8477,no,69664
capability,향상된,4,0.682188787873343,0.0363185992516478,0.9494527128009472,7579,no,292938
storms,폭풍과,1,0.7200035448512029,0.0007609919764332,0.9989441878206402,9390,no,78855
frog,딱따구리,0,0.5851326295288056,0.0,1.0,7094,no,37503
gateway,게이트웨이,0,0.647340089484902,0.0,1.0,8375,yes,78739
chronic,우울증,2,0.7397496851970301,0.0321482944130224,0.9583516277251262,8380,no,267572
humor,유머로,2,0.6550413181180852,0.053124380166007,0.9249831214718122,7326,no,176017
persecution,자행된,2,0.6568303173403626,0.0527399944394233,0.9256733355893404,9283,no,54494
expenses,비용을,6,0.6619844761300728,0.0651600036137184,0.9103891930298672,9284,no,563322
criminals,범죄자의,9,0.6442846030765228,0.1288186520578976,0.8333745832754258,8236,no,112306
dish,음식인,7,0.6409350220013845,0.0308566446068689,0.954068134303216,7715,no,231498
conservatives,보수주의,0,0.7206390624940515,0.0,1.0,8493,yes,72095
heated,뜨겁게,4,0.5196985619434308,0.0589695972390525,0.8980942768263555,8574,no,140367
cooling,내열,7,0.6977667249133261,0.0543590911196729,0.927726066622226,8767,no,177857
convince,도와주기,6,0.5585482834655553,0.0687132013920278,0.8904552518354784,7040,no,173397
loyal,복종하지,9,0.5159897504705884,0.0972717063124187,0.841386238713455,7322,no,143758
shoes,옷에,6,0.6487977105165594,0.0528394781887306,0.9246911665468676,7408,no,1042624
gill,버치,7,0.5054871942453583,0.0440654021244572,0.9198158603643392,8766,no,4857
ups,텐션,9,0.4824931897599244,0.0440808825555952,0.9162874040460116,8098,no,142965
noah,제이크,1,0.5804529152459774,0.0016624451624023,0.9971441310855704,8667,no,1575
corrected,수정해도,5,0.5840644136256077,0.0335628339759397,0.9456584305399812,7707,no,83895
tehran,쿠웨이트,8,0.6298720099984563,0.0695747482308879,0.900528885991241,7565,no,398
analog,신호와,3,0.642965391601046,0.047760818123686,0.9308541974355952,7423,no,72030
listening,듣기,0,0.6689523640005879,0.0,1.0,7426,yes,421294
columnist,평론가,5,0.6741917208037129,0.0724770228975133,0.9029328286352984,9019,no,44714
rockets,미사일,2,0.6119161132088458,0.0387295188097049,0.9404752496538688,7979,no,38034
matching,패턴,2,0.5755351116778037,0.0262648334517011,0.956356204974314,8328,no,201004
savings,은행업,5,0.654452118329946,0.0187913699233996,0.9720883005164273,8516,no,607782
eng,feng,5,0.3494778913448765,0.0721212898524518,0.8289339897491508,7551,no,3032
petty,경찰,7,0.4086541326240951,0.043016010506569,0.9047623333957568,8353,no,44606
michelle,린다,2,0.6760151413402713,0.0101854440895813,0.9851567540077208,7062,no,7089
monarchs,왕,4,0.5372322349657126,0.0622175967880579,0.896208834347268,7760,no,8033
rex,렉스,0,0.5725166439008058,0.0,1.0,7535,yes,3907
jenkins,윌콕스,6,0.7091897261991081,0.0147746574371427,0.9795920106415535,7751,no,868
romeo,줄리엣,2,0.5051202334394382,0.0273601980421339,0.9486174581739896,9362,no,2826
wheeler,스미스,6,0.6487125814281591,0.0227590609579628,0.9661057004922994,8893,no,8357
leather,장식용,9,0.6356396493134682,0.1581831808371636,0.8007323865866297,7906,no,384955
matthews,윌콕스,9,0.7108184325264955,0.0200859232889893,0.9725190811503932,8552,no,2067
excluded,규정하지,1,0.6150107097280035,0.0300682311608191,0.9533882921067156,8147,no,93759
salisbury,서머싯,3,0.6270452858575425,0.024862348992081,0.9618621601236254,9245,no,772
convent,수녀원,2,0.6947685418020257,0.0191754090705613,0.9731415763840774,8603,yes,13691
astronomical,천문,0,0.7892424606927495,0.0,1.0,7658,yes,31601
pérez,페레스,1,0.7006837057532275,0.0051319740394446,0.9927290166733728,9296,yes,0
belarus,우크라이나,2,0.7803380491572867,0.0102929194166443,0.9869813859742812,7204,no,371
icelandic,노르웨이,9,0.6402713261528165,0.084955192935244,0.8828570237033371,8046,no,1445
frames,프레임과,3,0.6498557250609183,0.0516810756788255,0.9263316256191696,8429,no,183744
paragraphs,단락으로,5,0.661644172292731,0.0626956131763611,0.9134444711803884,7000,no,78042
updates,업데이트,9,0.6603762926317608,0.0782274539718784,0.8940873853787015,7853,yes,367134
toledo,톨레도,3,0.6093680188118964,0.0245665423037708,0.961247510688586,7720,yes,7125
carmen,리베라,4,0.5679211144433544,0.0330238576330148,0.945046786032818,8336,no,2114
multiplayer,멀티플레이,5,0.681278288682291,0.0356825355578755,0.9502308433718232,8967,no,50937
memoirs,자서전을,7,0.5673971356422103,0.0968592771875969,0.8541839035095417,8784,no,17065
planted,심어진,0,0.529227573354824,0.0,1.0,8297,no,136766
