en,nl,position,score,rel_score,ratio_score,index,correctness,freqs
blow,blazen,0,0.6171437917418501,0.0,1.0,6873,yes,252984
twitter,bloggen,7,0.5900600177878907,0.1763394002551724,0.7699118813197426,5679,no,145790
hypothesis,veronderstelde,7,0.6461316556018929,0.1392515041045282,0.8226960912217918,6668,no,76010
extends,begrenzing,6,0.5469255816555032,0.1357898252667506,0.8011033237423129,6347,no,127925
brad,shane,8,0.5444625409446711,0.1551250759349969,0.7782621187223229,6249,no,8647
glacier,ijskap,6,0.6182364964581258,0.1858551607786044,0.7688632146522976,5647,no,23482
oslo,ålesund,9,0.6023872682047376,0.189569525920228,0.7606314797391395,5892,no,818
albany,connecticut,5,0.5694274246585638,0.1070341650076092,0.8417734773966553,6189,no,3064
bills,biljetten,0,0.4991778138021304,0.0,1.0,5646,yes,483289
seeds,peulvruchten,7,0.6373464811857523,0.139599402990741,0.8203228746893919,5743,no,242701
denis,villepin,8,0.4729748562193583,0.2308392593050812,0.6720167239995267,5642,no,439
considerably,groter,2,0.6368079659887369,0.0766983880553098,0.8925049684272678,6728,no,266110
anton,rudolfs,9,0.4739947566848739,0.1989924021668247,0.7043147115817774,6811,no,663
productive,constructief,4,0.5211697692677087,0.1314600740377925,0.7985687056969979,7064,no,264497
arrive,arriveren,0,0.7681492904022791,0.0,1.0,5814,no,373596
euro,gbp,2,0.4979306704998492,0.1511088875602306,0.7671807739856699,5694,no,98179
neighboring,naburige,0,0.7011265481632603,0.0,1.0,6353,yes,71739
consumption,alcoholconsumptie,4,0.6775886844699129,0.0847113320848352,0.8888740256524036,5695,no,423879
gathering,bijeenkomst,2,0.6083193725792226,0.037075264929656,0.9425541168535878,6244,no,256458
evaluation,beoordeling,6,0.5852287228011839,0.1286680833995601,0.8197665512970801,5887,yes,359796
planets,planetenstelsel,9,0.662708528738734,0.152764133927258,0.8126679888595745,5958,no,87925
pushed,schoven,3,0.5857344937452837,0.0459290422718203,0.9272887547674168,5991,no,278522
gerald,geraldo,2,0.5111254254457909,0.1564173512517492,0.7656819057715292,6494,no,986
plateau,bergketen,8,0.6121987475718728,0.1268260426069152,0.8283872959441145,6991,no,35516
spelled,verbasteringen,8,0.5000442919333821,0.2251255242056761,0.6895547509074672,6947,no,41779
cabin,kajuiten,5,0.5719621180090062,0.0791388007063857,0.8784538641682077,7298,no,127549
marion,burdette,1,0.5922315863766459,0.0599492949259722,0.9080787299280624,6441,no,1539
foods,vleesproducten,5,0.6727429110414027,0.056844000685018,0.9220874171789784,6072,no,805974
diana,diane,8,0.5020475038946388,0.1956507179199841,0.7195768717725525,6547,no,2983
itv,ytv,9,0.5840511381917902,0.1502783411937712,0.795352977903714,7156,no,1084
fork,vork,0,0.5391103844469851,0.0,1.0,5660,yes,85598
enhanced,beschikbaarheid,7,0.5100820404314934,0.0171157968168469,0.967534394856054,6860,no,263743
nephew,achterneef,7,0.7146363233675997,0.1154130858101953,0.8609563665318216,5841,no,46102
naked,naakte,1,0.6895914098266425,0.0068180126310505,0.9902097639532372,6810,yes,176179
vandal,vandaal,0,0.7237683151706862,0.0,1.0,7210,yes,1865
mcdonald,mcdonagh,3,0.5883955847101177,0.1705870501252793,0.7752424860652114,6329,no,1663
reflected,weerspiegelden,1,0.7182744316960189,0.0113846710303697,0.9843972740313516,6207,no,180001
johnston,johnston,0,0.6884669348777981,0.0,1.0,6849,yes,1985
pound,munteenheden,7,0.4557460371944037,0.1895356858644162,0.7062745168637927,6213,no,166639
geneva,parijs,5,0.5150051441936077,0.2581229552607246,0.6661317116233315,6496,no,2905
troy,bainbridge,8,0.4740098372242259,0.1798246908504187,0.7249691120168418,6830,no,7403
appreciated,complimenteren,6,0.552234463989917,0.0638300217334191,0.8963906811500832,6697,no,219010
rivalry,rivaliserend,2,0.5756747081047431,0.1512124146757789,0.7919726324255763,6654,no,40461
joke,grappen,9,0.6029160162968401,0.1200185480321183,0.8339842166164488,5926,no,178208
motors,benzinemotoren,2,0.6698940273184918,0.069088746415908,0.906508312681265,6076,no,69198
holders,werknemersopties,9,0.4232678281803876,0.1507645019136836,0.737358866374344,7132,no,138931
summaries,bewerkingssamenvatting,2,0.6312476722140334,0.0613081907475803,0.9114754577552708,6376,no,28159
algorithm,algorithms,5,0.6408167895339518,0.122395970132064,0.8396306028929275,6024,no,99003
rica,paraguay,6,0.6756045970446767,0.0881675151153107,0.8845630604841431,6681,no,4915
affiliate,opererend,5,0.4472338659826835,0.1313365319048309,0.7729981824435384,6240,no,349891
albania,bulgarije,6,0.6469303695903224,0.1293800045829469,0.8333398484842741,5692,no,522
carlo,giacomo,2,0.5768172242015427,0.1920656763244875,0.7502016546432674,6367,no,1377
aux,eaux,4,0.5846024382286992,0.1327974746242028,0.8148905899694023,6758,no,7780
evangelical,gereformeerde,4,0.7310903518609446,0.0953164925057978,0.8846615403108903,7138,no,36492
crashed,gecrasht,5,0.7201546010193116,0.0758060613253132,0.9047615480116632,6775,yes,68819
paralympics,paralympisch,1,0.7794753961570291,0.0397306807875339,0.9515009935769524,6404,no,210
desk,desk,0,0.5353981391478456,0.0,1.0,5633,yes,296645
garcia,nunez,7,0.5745663715753504,0.0882183300274691,0.8668974558191676,7011,no,1943
harper,pritchett,5,0.5344105451726333,0.1961413757251515,0.7315161727531825,6098,no,4030
northeastern,zuidoostelijker,8,0.7025739388804293,0.0225990235417246,0.9688363677180662,5763,no,22339
drag,uitrekken,4,0.4626184627686348,0.1002356215246841,0.8219154407477861,7246,no,165761
maker,fabrikant,0,0.5731058864435201,0.0,1.0,6365,no,197567
swift,swifts,5,0.3934332516379729,0.1576165678045232,0.7139703848120559,7116,no,68512
counsel,raadadviseur,3,0.5902428351040966,0.0397876558547317,0.9368480471569244,6931,no,178674
darwin,strawson,8,0.4556256901015018,0.2544420081918478,0.641665141502141,7311,no,2059
batman,batmans,1,0.6561485764135243,0.0875628870957391,0.8822622866634777,5963,no,12095
milton,yardley,2,0.5361086172865738,0.1142429630081529,0.8243366104278854,6182,no,2018
customer,consumenten,9,0.6052137030117447,0.1831064862919283,0.7677257429450498,5748,no,1439964
imo,beginnetje,5,0.5428020777829796,0.0946677162298279,0.8514945851255096,7140,no,8686
busy,vermoeiend,1,0.550835717656178,0.0648709288652151,0.8946398756100464,6550,no,607913
sad,droevige,3,0.5438976057489968,0.0922551321277957,0.8549795880220461,6829,no,358106
healthcare,verslavingszorg,3,0.6572149336900686,0.1078486054848979,0.8590331391282868,6515,no,403091
variables,variabele,6,0.664127584572233,0.1385628901012833,0.8273769348544444,7276,no,170150
