en,nl,position,score,rel_score,ratio_score,index,correctness,freqs
publicity,advertenties,8,0.5243558643774762,0.1916771502210045,0.7323068262034139,7101,no,118875
informal,gesprekspartners,9,0.4815467218289543,0.2543282016279434,0.6543866443590802,7319,no,136439
delegates,vergadering,8,0.6133990541040268,0.1182515747046286,0.838376992995718,6771,no,98685
bones,botten,1,0.709702788558805,0.0159033245627238,0.9780827031703078,6125,yes,205565
brad,matt,2,0.575424666111834,0.0497101021689128,0.9204809831556384,6249,no,8647
circulation,bloedcirculatie,1,0.5594164267839778,0.0746552251256111,0.8822605853758368,6131,no,173975
motto,virtute,8,0.4859949828093049,0.2594652839769476,0.6519394855268058,6914,no,50679
adrian,adrianna,3,0.5018802244540934,0.0887755328713137,0.8497000464817189,6267,no,1441
referendum,volksraadpleging,1,0.6861688049491487,0.1007438296747761,0.8719758391947502,6669,no,55261
adequate,afdoende,8,0.6268184576486309,0.0776298678140636,0.8898004793139724,6926,no,350679
murders,seriemoordenaar,9,0.6634246017837511,0.17800529042165,0.7884490531289596,6999,no,46043
storyline,personage,5,0.5713079590432595,0.2134407355008716,0.728013901794559,6950,no,46565
tough,lastige,0,0.5782798763017175,0.0,1.0,6934,no,638893
header,uitklapsjabloon,0,0.4984541430479642,0.0,1.0,5913,no,102354
optical,infraroodcamera,2,0.681669300104583,0.1309860695473603,0.8388171979919838,5885,no,124269
annie,annie,1,0.6113583836778582,0.0025653615880671,0.9958213677059258,6737,yes,3876
beetle,boomsapkevers,8,0.5482363744472998,0.0199965012211864,0.9648093201266084,6319,no,16514
infection,virusinfectie,2,0.7882837844690683,0.051274655134369,0.938926639629055,6747,no,402091
voltage,gelijkspanning,6,0.6801355369860999,0.0446624691868542,0.9383794259828624,6439,no,132096
survivors,omkwamen,5,0.6226216609858557,0.2097266199547632,0.7480302119231198,5699,no,100705
indo,dravidische,2,0.5150872854146137,0.1902065699926385,0.73031585553399,6639,no,476
lifestyle,leefgewoonten,3,0.5460422139973656,0.1725680978064546,0.7598585840310548,7130,no,514124
shots,kogels,9,0.5198559622010948,0.0917043075838044,0.8500486180764177,5961,no,354211
recommend,wenselijk,3,0.6004528211046852,0.0361878533100034,0.9431581192275004,5682,no,771284
tongue,gehemelte,0,0.5304642444146712,0.0,1.0,7304,no,212737
edmonton,ontario,2,0.6127765615946263,0.0406212124520191,0.9378308067986788,5669,no,4586
motto,luidt,7,0.5025154250984132,0.2429448416878393,0.6741008843634325,6914,no,50679
