en,nl,position,score,rel_score,ratio_score,index,correctness,freqs
upgraded,vernieuwd,5,0.5676417402666276,0.1126933342421072,0.8343561305824453,7072,no,102777
ecuador,ecuador,0,0.8377571550840304,0.0,1.0,5711,yes,943
joy,troost,9,0.5033455560990696,0.1456037350476631,0.7756315677757002,5860,no,370645
twentieth,zeventiende,5,0.6379230176772437,0.1783993731082609,0.781459659661428,6162,no,52032
jail,jeugdgevangenis,8,0.6960095942480666,0.1419005428292655,0.8306494496841619,5801,no,188390
convert,omzette,2,0.5591849358200405,0.0844617574365549,0.8687762116679072,5809,no,245782
innocent,onschuldig,0,0.7086973798327432,0.0,1.0,6631,yes,186939
excessive,beperken,6,0.656540424136951,0.0516530935341571,0.9270635889127902,6738,no,283241
stored,getransporteerd,4,0.6209439445239504,0.2729523620269808,0.6946487416642784,5883,no,340200
configuration,verschuifbare,8,0.6369041062577536,0.1837298192927656,0.7761123278330089,6248,no,215656
outline,gedetailleerdheid,7,0.5346187727661653,0.0363968772068702,0.936259405134362,6863,no,145869
kingston,yarborough,1,0.6436153481545239,0.0894318237455702,0.8779999061809917,6083,no,2478
grid,projectievlak,7,0.4824979583328322,0.1827250599654239,0.7253175928384694,5688,no,166663
copied,gekopiëerd,4,0.7302200409037114,0.1160946883874254,0.8628232684965025,5940,no,82587
conferences,bijeenkomsten,2,0.7059719833006564,0.1236325779152265,0.8509740860946708,5837,no,169878
array,variërend,5,0.5169254561533032,0.041973515163271,0.9248996378282895,6500,no,355921
griffin,collins,7,0.5883790224866792,0.0466779986174358,0.9264979410253884,7151,no,4052
raiders,strikers,5,0.5210697045279863,0.1399362607391564,0.7882980364895772,6615,no,8322
physically,dusdanig,9,0.5249310119731465,0.2347953987576173,0.6909474312841476,7142,no,258495
michelle,claire,3,0.687360159016252,0.0942273126804312,0.8794411168389368,7062,no,7089
berry,dillard,2,0.4790244577047268,0.1323230848884029,0.7835550555627767,7232,no,76122
relay,estafetteteam,7,0.6006354115511487,0.0389519322952923,0.9390983379048158,5855,no,61979
scouts,scoutinggroep,6,0.5442499103125413,0.1794402062578298,0.752048283997283,6570,no,25786
crop,gewassen,0,0.6874830663590423,0.0,1.0,6843,no,180772
proportion,percentage,0,0.7509402016162446,0.0,1.0,7154,no,186713
priority,toereikende,7,0.5357136993071716,0.1951358021107103,0.7330013884771929,6677,no,344855
duchy,markgraafschap,1,0.7748004146776959,0.0893262452360827,0.8966282960822021,5944,no,1402
boulevard,boulevard,0,0.7731638668883658,0.0,1.0,5762,yes,9240
skill,vakkennis,9,0.6560307489426922,0.2055350247220948,0.7614401233142959,6250,no,429058
suffolk,lincolnshire,9,0.6704310590641294,0.0986881843319971,0.871686757054434,7005,no,1212
warrior,krijger,0,0.7558145482785747,0.0,1.0,5815,yes,67574
rulers,dynastieën,9,0.7074191826335946,0.1729499664594626,0.8035483562348442,6256,no,52050
explosion,ontplofte,6,0.7670847445695164,0.1139031535165271,0.8707097410032725,5990,no,116122
activated,gereactiveerd,6,0.6226634915837048,0.1328571804794086,0.8241514952640366,6700,no,95196
layers,diktes,9,0.6266652922208551,0.0700817925588237,0.8994157362266043,7181,no,219864
farms,kwekerijen,4,0.7044111605900972,0.0489986966318179,0.9349640887199256,5836,no,144871
trap,verstoppen,6,0.5429327180088687,0.0543892497136317,0.9089448360303742,7077,no,132686
settings,afspelen,4,0.5371471058949377,0.0979318414189996,0.845795799351873,6760,no,394666
spelled,verbasterd,1,0.6515340954678477,0.164383581821358,0.798529206564682,6947,no,41779
notre,panthéon,6,0.509409770137005,0.2282112700184762,0.6906117672966973,6005,no,1690
patrolling,oorlogspatrouilles,9,0.5324602386923339,0.1486947181979594,0.7817020683857283,6501,no,12092
graph,kwadraten,9,0.6589594544859145,0.0302200896962436,0.9561506287420276,5888,no,97838
suburban,grootstedelijk,7,0.60272395851745,0.1198056325899141,0.8341858464145426,6459,no,61497
thesis,doctoraal,5,0.7383119462195296,0.0768202118848824,0.90575735342901,6026,no,119092
shorts,kortfilms,1,0.5262327754316131,0.0526447064263339,0.9090572563690557,6606,no,110397
missionaries,missionaries,5,0.7058138356332873,0.1628668754412725,0.8125123841649414,6962,no,45502
ghana,nigeria,1,0.7774080829485501,0.0556535031653566,0.933194010991467,5775,no,3253
prototype,tweezitter,9,0.6614974751353131,0.2235020705353063,0.7474551578826576,5939,no,86621
