en,nl,position,score,rel_score,ratio_score,index,correctness,freqs
optional,optionele,1,0.7441823646303498,0.0104950088206918,0.9860933834908824,5632,yes,166075
lecture,lezingen,0,0.6690286113032191,0.0,1.0,6480,yes,143071
honest,oprechte,9,0.646596875474386,0.066130250420475,0.9072151907541816,6685,no,443985
desk,redactielokaal,8,0.4666413596771309,0.090700184844032,0.8372628314977728,5633,no,296645
suburbs,buursteden,9,0.6560092420746719,0.1436775755030994,0.8203326948188358,5788,no,60746
presbyterian,presbyterian,3,0.6825545720055199,0.0347431313280212,0.951563860909414,6209,yes,835
inline,bronverwijzing,5,0.553002636115964,0.0321451615954414,0.9450648849381889,6366,no,22386
luxembourg,luxemburg,0,0.7318159419736662,0.0,1.0,5986,yes,651
suffolk,gloucestershire,2,0.6642698393992712,0.0497030712662863,0.9303852141673642,7005,no,1212
belarus,polen,5,0.7059515726119476,0.106378273200915,0.8690454699538128,7204,no,371
reconnaissance,verkenningsvlucht,0,0.7667968780406259,0.0,1.0,5960,no,14671
destroyer,slagkruiser,8,0.704182250427405,0.040442319920885,0.9456876370571968,6237,no,11629
jumping,schieten,2,0.5903231270385488,0.1344764588858801,0.8144639407949369,6958,no,152327
hayes,reynolds,1,0.6106906277956559,0.0471004484116008,0.9283960361956012,6918,no,1230
hey,you,6,0.5540206668268818,0.1132359661898546,0.8302962299859005,6294,no,138190
innocent,ongenadig,8,0.5827673891800188,0.0945775535356342,0.860370178366656,6631,no,186939
summaries,samenvatting,3,0.6717012285916657,0.0673088569736617,0.9089202457606896,6376,no,28159
export,exporteur,6,0.7544192013197458,0.1022150410961354,0.880678315160659,6445,no,205304
lebanese,libanese,0,0.7899532575062718,0.0,1.0,7063,yes,1405
macdonald,robertson,5,0.5849681446337727,0.1365223323128849,0.8107773606511809,6684,no,664
dimensions,dimensionale,2,0.6535779331714978,0.0741792022095361,0.8980714875839756,5817,no,200430
windsor,leamington,3,0.5948637438953522,0.0864046548509834,0.8731709044335763,6223,no,3303
compromise,acceptabel,7,0.6410557755113444,0.1338132015664784,0.8273086089068719,5796,no,162141
saxon,angelsaksische,3,0.6336494620210229,0.0365921025961011,0.9454046055514262,6514,no,1671
quartet,quartet,2,0.7240290503509744,0.0495966767427842,0.9358906057466552,5724,no,26041
recalled,overkwam,8,0.6164417787996084,0.0352473217437032,0.9459139001798286,6586,no,87805
advertisement,reclamecampagne,8,0.681111968975287,0.0617798968081561,0.916838641458264,6935,no,112230
ammunition,antitankwapens,7,0.6840288151153624,0.177932181577828,0.793572815637316,7014,no,49304
circus,clown,6,0.5586454134257803,0.1690883272604975,0.7676508346293778,6658,no,44038
memories,gevoelens,8,0.5488066888134016,0.2866465771810204,0.6568969338580164,6178,no,305843
speculation,geruchten,6,0.6685603765569255,0.1452372122485034,0.8215315279298177,6659,no,106703
tuesday,zondag,2,0.7231664258586845,0.0342929680447662,0.9547263281427631,7117,no,16279
millennium,beschaving,5,0.4717407440059884,0.2880604337305482,0.620873931008259,5870,no,39282
flooding,overstromingsgevaar,3,0.7661123446883104,0.0836288918754056,0.9015831075662586,7271,no,88829
logical,redeneren,3,0.6725224237238323,0.1616900589057528,0.8061764091612761,6450,no,191562
nonetheless,desondanks,4,0.7700677234800934,0.0228431652281591,0.9711907535216556,7049,no,256667
thursday,maandagmorgen,7,0.7273584770310897,0.0680051377498129,0.9144980528578162,6723,no,15636
missionaries,missionaris,3,0.7550339985294566,0.117466477686149,0.8653680073669993,6962,no,45502
hammer,hamer,0,0.593435910768443,0.0,1.0,5675,yes,76574
rican,puerto,9,0.6401970323722747,0.1218191324107943,0.8401357634644485,6878,no,1039
browser,gebruikersomgeving,9,0.693586888961697,0.1469532389296253,0.8251680865037467,6336,no,329222
planes,transportvliegtuigen,3,0.6877403844215797,0.0949505563438198,0.8786870380140506,7249,no,109896
exterior,wandbekleding,8,0.6241758505379664,0.0531884065008256,0.9214773942555702,6998,no,169273
favourite,populairste,9,0.4993580030828395,0.2143399802476466,0.6996769148100647,6327,no,285285
budapest,bratislava,2,0.642156801085837,0.1812788245218537,0.7798506417692688,6271,no,1009
beast,beast,1,0.6802123661644746,0.0251198444016089,0.964385797181376,7145,yes,93519
