en,cs,position,score,rel_score,ratio_score,index,correctness,freqs
teeth,stoličky,6,0.5905546898107226,0.0729043497830647,0.8901147690629078,6095,no,571089
seemingly,jakoby,4,0.5545541350913351,0.0949750778992045,0.8537785891693406,6979,no,184595
upcoming,chystanou,5,0.5361567146085626,0.0707414155123722,0.8834377435002546,5665,no,359089
boulevard,křižovatce,8,0.5925068639550303,0.0512325448773668,0.9204141548980332,5762,no,9240
metre,metrové,7,0.5440283488543576,0.0751745111691979,0.8785946964677486,5895,no,34581
hammer,kladiv,4,0.4545905601712381,0.027648311316128,0.942666771695835,5675,no,76574
disabled,handicapovaných,8,0.4502470812617143,0.0520685594486689,0.8963429460905643,6626,no,210179
measurement,měřené,4,0.6469939169923611,0.0559448311692867,0.9204129359555212,6541,no,179748
stored,skladovány,5,0.6055266271682698,0.0285028990414222,0.955044839612098,5883,no,340200
carved,reliéfním,7,0.6262843841844987,0.0527790721036309,0.9222766714731936,7296,no,81696
cent,milionu,7,0.4704874470427344,0.0496487566009056,0.9045466240321134,6679,no,533892
wizard,kouzelníka,9,0.4767893892195033,0.0475848752038311,0.9092539843537872,6068,no,52393
civilization,civilizační,4,0.6084043243072035,0.119795619148364,0.8354907601614314,7299,no,114925
breeding,chovu,2,0.6207428671168315,0.0133397039580941,0.9789621974067508,5712,yes,124230
destroyer,torpédoborců,3,0.6983106298861097,0.0235361839562191,0.9673944893779636,6237,no,11629
practiced,praktikovali,3,0.599835336027303,0.0414976796204886,0.935294646294526,7396,no,113173
beast,nestvůry,2,0.5447101821498816,0.0204809918229071,0.963762718234002,7145,no,93519
coached,trenérkou,7,0.6163169675510682,0.0513174381242063,0.923135420092226,6315,no,36035
bullet,nábojnicí,8,0.5244301809927199,0.0338558713726639,0.9393574830873508,7022,no,106362
substance,isopropylalkohol,5,0.5434197123008043,0.0487499375397928,0.9176757242575408,5984,no,330867
browser,javascriptu,6,0.6258952649902203,0.0736286272078533,0.8947446570030734,6336,no,329222
inscription,nápisem,5,0.570537013672229,0.0867505887639101,0.8680173056020196,7059,no,26613
amazing,úžasná,4,0.5314383770871002,0.0384486250291414,0.9325328970719374,6422,yes,1110594
connor,shanks,9,0.541180662566557,0.0253516142797529,0.9552512446053796,6074,no,1107
guides,lezeckých,9,0.4425275298370165,0.0966865799469945,0.8206898183993672,7401,no,237867
submit,projednat,4,0.526439417980346,0.0721720087465491,0.879434294896151,6303,no,444189
healthy,nezdravé,5,0.5878643727450015,0.0816314157569558,0.8780703072985541,6657,no,1284843
garcía,gómez,6,0.6275220955284773,0.0213960671011885,0.9670280964020432,7343,no,0
cello,klavíry,2,0.7216364590127403,0.0370254413338485,0.9511963875911869,7280,no,18903
jamie,shana,9,0.5508609614000904,0.032500391947649,0.9442877184764832,5899,no,3726
comedian,komik,0,0.7039464506960951,0.0,1.0,5865,yes,35999
derek,janick,0,0.5710861918154551,0.0,1.0,6573,no,2146
recommend,doporučoval,6,0.632332186685653,0.0780764254051886,0.8900964542428649,5682,no,771284
climbing,slaňování,9,0.5636780878038206,0.0549040896048749,0.9112420441292476,7409,no,172651
latvia,lotyšsko,1,0.6842974347456752,0.0125816487143841,0.9819457219867824,6885,yes,314
foundations,základů,0,0.6214836239109989,0.0,1.0,6902,no,114814
velocity,trajektorii,3,0.6085950136348082,0.022063252274729,0.9650155187565655,6613,no,86178
icon,ikonka,7,0.5272951617065308,0.1244713048343862,0.8090246871782377,6724,no,180199
kazakhstan,uzbekistánu,8,0.6422819134919004,0.0710264128692879,0.9004267716435946,6953,no,727
adrian,brydan,7,0.4745512151851565,0.0206085698382916,0.9583799604458676,6267,no,1441
stationed,převelena,0,0.65550646193879,0.0,1.0,6994,no,41580
motto,slogan,6,0.4379697716380158,0.0892783145748069,0.8306711453120953,6914,no,50679
disbanded,rozpuštěno,8,0.5268283956475384,0.0850203010713472,0.8610435855673483,6103,no,11417
squadrons,bombardovacích,7,0.641919510598006,0.0519848285546389,0.9250835805146864,6789,no,6859
carved,tesané,8,0.6255649276850102,0.0534985286031195,0.921217188014282,7296,no,81696
highlights,mapuje,6,0.4472730281273643,0.0215215276306321,0.954091771403288,6957,no,227178
southampton,manchester,5,0.6490475269977953,0.0711493366907277,0.9012084885702876,7235,no,1535
trap,zneškodnit,9,0.4645067763244065,0.0569129541208324,0.8908500181375288,7077,no,132686
bag,zabalený,4,0.5207367057514201,0.0294612272442574,0.9464534025348856,6943,no,708102
celebrate,oslavovat,9,0.6032062076706532,0.1080201021685208,0.8481213353975237,6591,no,315903
illustration,ilustraci,0,0.6810842650497573,0.0,1.0,6341,no,112826
demanded,žádali,8,0.6182014541975844,0.1068097714651975,0.8526784583679301,6938,no,125249
everybody,teď,4,0.5581423144850831,0.0635564984825027,0.8977696319233338,6339,no,424749
elimination,eliminace,0,0.5200289707559674,0.0,1.0,6766,yes,108822
creatures,příšeru,4,0.6305191273786136,0.0647920247417063,0.9068157837766216,6983,no,191788
protecting,chránit,3,0.6491690125332783,0.0105877320408922,0.9839520669883778,6888,no,240101
cia,cia,0,0.6450667682083213,0.0,1.0,6551,yes,1990
savage,brooker,6,0.4792866880159823,0.0166345631286711,0.9664572488267515,7404,no,31781
ignored,neodůvodněné,0,0.6044027819083035,0.0,1.0,5719,no,206412
bavaria,württemberské,7,0.6230652675639399,0.0588419376218305,0.9137097581982576,6330,no,417
manages,chce,3,0.5934034289544406,0.0630479250956895,0.9039564398691532,6197,no,145730
particles,mezony,8,0.6168108974962786,0.0902125785687636,0.8724051157808166,6282,no,154105
vfd,nemažou,9,0.5751116639484191,0.0958432302356164,0.8571539889396385,6875,no,84
claire,claire,3,0.5802864707937814,0.0029164496226654,0.994999254083668,6939,yes,3036
posters,plakáty,0,0.7023985996138749,0.0,1.0,7352,yes,136915
commitment,angažovanost,2,0.5532778564641931,0.014743115793156,0.9740447685680232,6253,no,605347
provision,poskytování,1,0.625630402816926,0.0076520239878049,0.9879168856359812,6575,yes,292202
heinrich,weizsäcker,7,0.6220086172869814,0.0411293598285292,0.9379776739564336,6600,no,140
lynn,elaine,1,0.5538836744715758,0.0045635613009413,0.9918281244697568,6368,no,2685
firing,střelbu,2,0.6087027253489821,0.0415786515965885,0.9360605223051486,5879,no,105682
infection,meningitidy,7,0.6977955816513699,0.0722348583567471,0.9061922040952228,6747,no,402091
plains,hornatá,5,0.5414562016711397,0.0713868449993102,0.8835152892944581,5918,no,41195
honored,udělována,2,0.5607893036994096,0.0759470176048449,0.8807245400273706,6656,no,141792
karen,roxanne,4,0.5109152757972659,0.0528798449443908,0.9062073384480008,6269,no,15155
euro,eura,1,0.5962892534520743,0.0505811491472624,0.9218063634632055,5694,yes,98179
northeastern,jihovýchodní,4,0.7045245133359597,0.050383269239802,0.9332590411667326,5763,no,22339
thunder,nighthawks,1,0.4738869420770655,0.0708228386249166,0.8699806004334174,6391,no,37707
cliff,skalnatým,6,0.469089378646376,0.0537657870942532,0.8971688708132136,6142,no,55687
graph,grupě,4,0.5863719402793114,0.0360317253291284,0.9421087514098988,5888,no,97838
aids,alzheimerovu,7,0.5096873045720429,0.1261937468629026,0.8015450427746973,6204,no,142028
trick,skórování,5,0.4935504053713404,0.0432319643925911,0.9194609085026324,6146,no,219033
tune,skladby,9,0.5440724524480827,0.0655540414433736,0.8924685162140518,6782,no,197728
answered,otázal,7,0.5912333396630456,0.06958361349025,0.8947006229815837,7163,no,279588
informal,formálnější,5,0.4991319813837814,0.1535818424464762,0.7647026356126079,7319,no,136439
proportion,pětiny,9,0.5453102471735578,0.1100427953331748,0.8320862371947494,7154,no,186713
plymouth,falmouth,4,0.573739378873122,0.0258372585694343,0.9569074961298676,6161,no,2021
forwards,útočníka,2,0.5002573629672595,0.0123262572919025,0.9759526898544468,7006,no,51320
highland,aberdeenshire,4,0.4800738216350205,0.0603472596923433,0.8883328911889956,6787,no,7166
adoption,legalizaci,5,0.547581679478057,0.0396822919761422,0.9324285263441584,6837,no,212733
canvas,namalované,6,0.5729522565734666,0.0209405646983993,0.9647401619478182,7288,no,116161
tubes,trubičky,3,0.5893313066064404,0.0238894014463965,0.9610427352946826,7382,no,102654
consist,sestávají,1,0.6186541460259889,0.021338192267297,0.9666586754394574,5834,yes,201673
mechanics,elektrodynamiky,7,0.5768676787803213,0.0546247995305195,0.9134988912668704,5907,no,100360
reflected,odrážející,1,0.640095948006379,0.0360532317822552,0.9466785838688356,6207,no,180001
modes,charakteristikami,6,0.4817254682954873,0.0493864199485483,0.9070131528935836,6358,no,127220
graves,hroby,0,0.6334369099572901,0.0,1.0,6977,yes,29787
cheese,sýr,0,0.6521840152937306,0.0,1.0,7312,yes,287661
swan,labuti,9,0.4423516889058732,0.081741119337215,0.8440331215167118,7228,no,15290
kilometres,kilometr,3,0.6062742537803583,0.0445427368381611,0.9315587369717732,7051,no,58331
farms,usedlosti,2,0.5771442105406714,0.0476107968860075,0.9237928526861864,5836,no,144871
hosting,internetového,4,0.4566281728309377,0.020617080224291,0.956799821282025,6186,no,619516
everyday,všedních,8,0.5499407666012117,0.0954582003585116,0.852094277733065,7250,no,515693
lasting,trvajícího,8,0.5005262589020039,0.0954309018884702,0.8398695272628468,6675,no,237682
dimensional,prostoročas,8,0.6390542327838477,0.0469718828502657,0.9315304741615436,5876,no,44327
mohammad,muhammada,7,0.6206408665407943,0.0388192244375165,0.941134838986347,7257,no,712
ace,eso,1,0.4320926212273244,0.0190664880187337,0.9577388827400688,5922,yes,40444
logos,kartičky,6,0.4229612180591977,0.1507319588864841,0.7372603249545782,6381,no,64607
ernst,ernst,0,0.6890258663374262,0.0,1.0,6630,yes,665
orlando,philadelphia,9,0.485128922806424,0.0513124120144338,0.9043466476505406,5853,no,19460
escort,eskorty,1,0.5787933687305803,0.0080524579486621,0.9862784097925203,7272,no,66007
pace,tempo,0,0.5389362369900326,0.0,1.0,6390,yes,360907
arbitrary,zobecňování,6,0.5669180060919976,0.051475114273277,0.916759885292916,7277,no,70229
tissue,mezenchymální,3,0.7083447042091888,0.0548801976284254,0.9280943303916178,6281,no,345666
fake,falešného,6,0.5036584854965629,0.0692026377156498,0.8791982298822988,6817,no,254311
satisfy,splněny,6,0.5413407449694472,0.071644642178723,0.88312177797249,6437,no,216025
carlo,gaetano,2,0.581689366426983,0.0576763956488436,0.9097912352053604,6367,no,1377
mann,welten,2,0.4780565962432094,0.0215937454725307,0.9567822861916188,7270,no,1975
deeply,zklamán,5,0.4906598555423547,0.1763860982309135,0.7355712942516882,6238,no,306771
armies,protiofenzívu,9,0.6118600435279248,0.0911266086472948,0.870372206406301,6138,no,51252
innocent,nevinným,2,0.5607998134206195,0.0216705029176521,0.9627955239781404,6631,no,186939
bend,ohyb,5,0.4104033260679186,0.0115813057131228,0.9725551481241334,7237,no,104791
arch,visutým,2,0.5011344000288713,0.0230359646878401,0.956052523686092,5720,no,62120
exhibited,vystavovaných,9,0.6154424653953956,0.0940958267348108,0.8673844276222044,5964,no,71095
guides,začátečníky,7,0.4589724708913689,0.0802416388926421,0.8511877982481135,7401,no,237867
linda,shana,8,0.533212786758468,0.0212044506054807,0.9617536231263296,5832,no,4546
myth,gnosticismus,9,0.5389793170512338,0.0991737127404368,0.8445925849904485,6966,no,112435
bend,nebraska,8,0.4063812216952522,0.0156034100857892,0.963023747997805,7237,no,104791
albania,albánií,2,0.6233804104613762,0.1087658629469683,0.851442441357199,5692,no,522
myspace,soundcloud,4,0.5722619061050747,0.107909532869696,0.8413495088350825,6066,no,40138
geological,geologického,5,0.6811968014459635,0.0451853263980338,0.937794000339532,6183,no,35650
compounds,sulfidy,9,0.6639561881612766,0.0834419884667975,0.8883567138961318,6107,no,144323
maple,javorové,5,0.4916538559920879,0.0308355073712392,0.9409834734763836,7346,no,49738
highland,highlands,0,0.5404210813273639,0.0,1.0,6787,no,7166
requiring,vyžadována,7,0.6380123410230116,0.0263830616996394,0.9602901200226202,5759,no,225178
panels,interiéru,9,0.5645987648048313,0.0756251265374384,0.8818770627586459,7310,no,276890
larvae,rostlinky,8,0.5982155227957128,0.0509679836396239,0.9214890964813804,7175,no,26769
armies,armády,1,0.6639014590093921,0.0390851931658274,0.94440123003063,6138,yes,51252
zagreb,záhřeb,1,0.666752512160929,0.0082389217378006,0.9877940351180268,7378,yes,599
underwent,prodělaly,2,0.6455387430104715,0.0395182415879711,0.9423139352252056,7353,no,42540
alias,vlajka,2,0.4107720473097289,0.05076298555403,0.8900127142265821,6929,no,24360
ignored,nepřijatelné,7,0.579235367214437,0.0251674146938665,0.9583598629139256,5719,no,206412
suffolk,herefordshire,7,0.5844820125617379,0.0223669365783623,0.9631424976346156,7005,no,1212
wrestler,wrestlerů,8,0.5135707593949493,0.0758692294345668,0.871285913965178,6122,no,16374
nationally,celostátně,8,0.4578670842333815,0.0113611640025878,0.9757875531890944,6649,no,119931
breed,plemeno,3,0.6614552122962257,0.0355362060479632,0.9490148585582516,6261,yes,173187
burn,spálení,6,0.4782782301194496,0.0326878133708393,0.9360274253303476,6025,no,352436
achievements,počiny,6,0.5385938392700966,0.0429776625266371,0.9261008106589472,5638,no,156769
rifles,puška,9,0.5963753518497521,0.0656637475901084,0.900815907027749,7032,no,36408
handling,převážení,1,0.5342873264895472,0.0021705715978773,0.9959538826707262,5685,no,350785
garrison,obléhání,8,0.569539778297941,0.039292691656343,0.9354622271389476,5634,no,14305
toll,mezistaniční,0,0.4311345152566765,0.0,1.0,6399,no,122745
southampton,northamptonu,9,0.6421295503537444,0.0780673133347786,0.891602814076483,7235,no,1535
pounds,uncí,8,0.5468910653171362,0.0817520946077815,0.8699546900064169,6678,no,515892
cream,krémový,7,0.5761721754103899,0.0369223983281444,0.9397769937792816,6322,no,438190
drawings,akvarelu,5,0.6684072094347977,0.028033892715649,0.9597469295980852,6709,no,122273
stability,stabilizaci,6,0.6163248334303102,0.1114264049858877,0.846889432674296,6370,no,288878
timothy,mcfarlane,7,0.503497575873557,0.0611311107242199,0.891732191127994,7279,no,2424
submit,předložit,0,0.5986114267268952,0.0,1.0,6303,yes,444189
compensation,odškodného,5,0.6189450679341446,0.0362597738805822,0.9446588737345816,6861,no,347995
pace,pomalý,1,0.5092194814911148,0.0297167554989177,0.9448603499648004,6390,no,360907
lithuanian,běloruským,7,0.5907698997115973,0.066232506990147,0.8991898563619505,6145,no,294
submarines,ponorek,0,0.7821154207077741,0.0,1.0,7089,yes,17118
dale,neil,3,0.5119095170601988,0.0036752728003771,0.992871642312468,6167,no,3913
homer,marge,8,0.4615821985392646,0.1059613402932179,0.8132983056926426,7174,no,15738
curtis,blake,2,0.578294203590598,0.003182573265155,0.9945267405478094,6010,no,1980
bike,bicyklu,5,0.5596140267585521,0.03495561807368,0.9412085390206164,7002,no,539581
bradley,jenkinson,6,0.5729831985872491,0.0282067501914418,0.9530818001053688,6018,no,2776
erik,norström,2,0.5508285539835296,0.0116546677495655,0.97927997262984,6986,no,1205
malcolm,davies,9,0.5329171051210768,0.030667160735476,0.9455854916587014,6383,no,1247
cowboys,texans,6,0.516395482591301,0.0493642560593611,0.9127469618515184,7196,no,16194
astronomy,astronomický,7,0.6690263509416956,0.1352763047896485,0.8318092028844003,7274,no,37075
prepare,připravující,5,0.6054803681661001,0.0892534154723869,0.8715286091242814,6047,no,566980
appreciated,vážím,8,0.5183368532455894,0.0528172094550346,0.9075254595838892,6697,no,219010
counted,počítány,2,0.5438439525077932,0.0225986027463775,0.9601043344346945,7197,no,108524
baroque,baroka,1,0.7266489083018544,0.000712135478658,0.9990209326100878,6350,no,12336
consequence,neboť,6,0.5498017337563206,0.0920160330746928,0.8566321503858897,6680,no,216076
inhabited,osídleno,3,0.6753983970909319,0.026759076582401,0.9618902061350838,7046,no,36704
convert,konverzí,6,0.520587658929779,0.1095160106296012,0.8261936631694531,5809,no,245782
wording,myslím,7,0.6040498424211064,0.0558140120985174,0.9154158669000748,6002,no,55463
bats,hlodavcům,1,0.4702859092822779,0.0046847601139746,0.9901367380854704,6910,no,46784
cliff,srázu,1,0.5027486685112046,0.0201064972294247,0.9615448052407712,6142,no,55687
judaism,židovstvo,8,0.6378188602598882,0.1059962330322092,0.8574965283870835,6034,no,1051
romans,římany,2,0.6798770049207904,0.0417334097609547,0.9421662868053802,7221,yes,2089
strictly,přísně,2,0.521736212560515,0.0917827297723705,0.8503995175383342,6097,yes,151931
ion,ion,1,0.5414988771176769,0.0012589026573637,0.9976805442422484,6832,no,47695
galleries,výstavního,9,0.5988426888731488,0.1030927749694545,0.8531306932334006,6923,no,100622
certification,certifikátu,7,0.6287048225194902,0.0766950501658653,0.8912743634700439,7085,no,282150
accidents,nehoda,4,0.6241428472047925,0.0893659336687937,0.8747514591770288,6149,no,226715
armament,výzbroj,0,0.6863670217851952,0.0,1.0,6981,yes,5492
monroe,madison,3,0.5427903928335709,0.0105219965590901,0.980983623788653,6229,no,3856
outline,náčrt,5,0.4686260439349251,0.0183203605289249,0.9623770493816532,6863,no,145869
madagascar,mosambik,9,0.5587092585986392,0.1022333067694933,0.845321950610714,7012,no,763
arrangements,aranžérské,7,0.4906105268049189,0.0625422351640992,0.8869349672204977,5923,no,266099
toy,autíčka,3,0.519574118964045,0.0380036383861421,0.931841545174346,6472,no,214959
alphabet,abecedě,3,0.6437697015644911,0.0109449182548158,0.983282917589596,7377,no,42784
wireless,bezdrátového,6,0.6958444581891168,0.0501863525667649,0.932728847330158,6409,no,367025
sudden,náhlá,2,0.5775925082417719,0.0626984607968641,0.9020781740979376,7275,yes,259275
striking,trhavý,3,0.4292507273583746,0.0155708628397299,0.964995262858542,6428,no,180227
careful,posuďte,9,0.547291286459216,0.0780036699391827,0.8752529999786474,6484,no,458615
claire,jeannette,8,0.5628254518536051,0.0203774685628417,0.9650593852508648,6939,no,3036
separation,separační,3,0.5012511550246989,0.0464213695826237,0.915238819738296,6139,no,164622
lectures,přednáškách,7,0.6470155842556775,0.0774972255899628,0.8930353962872322,6239,no,109440
leipzig,göttingen,1,0.62598916556649,0.0116291070523998,0.9817616471299738,7354,no,190
carlo,corradini,3,0.5786338186070817,0.0607319434687448,0.9050122057340596,6367,no,1377
moments,momentů,3,0.5511546976220916,0.091014990126345,0.8582695635394125,6461,no,401837
sin,hospodina,7,0.3910871031328091,0.066145603139488,0.8553349263250295,6039,no,308951
gif,logo,3,0.4565387211609534,0.1061078952519241,0.8114128972668331,7194,no,21484
silence,výkřik,7,0.4932251482516238,0.0229671988528662,0.9555065103508458,6989,no,192256
edmonton,vancouver,5,0.6154489427838509,0.0659476747672046,0.9032169032417257,5669,no,4586
careful,důkladnější,8,0.5513237402532231,0.0739712161451756,0.8817018826263395,6484,no,458615
macdonald,mccaffrey,9,0.5539382540297266,0.0151892284646457,0.9733113776230338,6684,no,664
rulers,panovníků,5,0.6320056510166314,0.0517391109372847,0.9243297882247294,6256,no,52050
edmonton,edmonton,8,0.608342560194286,0.0730540573567695,0.8927877604979515,5669,no,4586
