en,cs,position,score,rel_score,ratio_score,index,correctness,freqs
clothes,oblečeného,9,0.6596504579651079,0.1237656342813815,0.8420180086849165,6858,no,638022
measurement,měření,0,0.7702109313110717,0.0,1.0,6541,yes,179748
spy,agentku,6,0.5760491520685531,0.0385671145581627,0.9372500913946908,6141,no,90489
consumption,spotřebují,9,0.6119501893192437,0.1584547005411224,0.7943228260533991,5695,no,423879
hugo,carlos,4,0.5078458042350036,0.0983861665353524,0.8377087133653964,6133,no,2163
currency,platidlo,6,0.6963649831956938,0.1090717807553108,0.864580578343273,5672,no,346161
armstrong,whittle,2,0.6324243142329138,0.0707133889158618,0.8994316638132264,5749,no,1876
shelter,útulek,9,0.5702058322614914,0.1283950360742229,0.8162111702207011,6762,yes,188545
disruption,zablokovaného,6,0.6622246451317023,0.065337078151343,0.910197202435944,6228,no,60849
mansion,rezidence,3,0.6206134007799234,0.0617024182937823,0.9095691224372492,5700,no,48397
copied,zkopírováním,9,0.6444901130551055,0.0826167655824481,0.8863760363025932,5940,no,82587
tuesday,úterý,4,0.7195851467204725,0.0502442395291561,0.934733279312796,7117,yes,16279
iso,standardizovaná,5,0.5561335583752256,0.1823549623526689,0.7530700109286331,6351,no,9651
neat,nevypadají,0,0.468708553275967,0.0,1.0,5732,no,132934
wording,přeformulování,9,0.6684194024873602,0.0926828740221815,0.8782254673481855,6002,no,55463
refugees,uprchlíky,1,0.7857482070506981,0.0688103580103532,0.9194784759948696,6266,yes,90529
configuration,konfigurací,2,0.7771057517231459,0.0226188691537403,0.9717166777622288,6248,no,215656
liked,líbily,8,0.6359484602889239,0.0882590258465841,0.8781301939896409,7205,no,405357
chef,kuchařské,8,0.4564746943092534,0.2052082163768874,0.6898692514756138,7380,no,116759
sudan,libye,7,0.7135492722702812,0.1183447017731995,0.8577406430798187,6195,no,1345
substantially,značně,2,0.6502139358114398,0.1159070953699596,0.8487091586674957,7330,no,185498
bailey,howell,2,0.5852997822221984,0.0115878474344062,0.9805862161340606,5945,no,9459
copyvio,neozdrojovaná,6,0.7024876534525122,0.0196047276089309,0.9728501115326644,6326,no,13
pocket,kapesník,1,0.4934689284602921,0.0485546515120853,0.9104196693535734,6828,no,311292
stretch,kilometru,9,0.5399335714360349,0.0586775533866945,0.9019771752419884,6426,no,309489
collector,sběratelské,8,0.5288575495016348,0.1810244097667321,0.7449936466151312,6852,no,96798
belfast,glasgowě,4,0.6641594623426396,0.0583160557669145,0.9192830008696964,6218,no,1350
beetle,čeledi,3,0.5172621590091625,0.0344876977806339,0.9374939615185564,6319,no,16514
chronicle,kronikář,6,0.5491942764781331,0.0779454138139793,0.8757128355603302,5770,no,19214
freight,vlaků,5,0.7441372450680489,0.0583313628922553,0.9273100999669998,6154,no,79405
louisville,cleveland,7,0.6753835415853333,0.0314909648565941,0.9554504164889114,6431,no,8400
ruth,ruth,0,0.7062344487199913,0.0,1.0,5684,yes,2530
heir,dědičku,5,0.6954748327380367,0.1335133316418713,0.8389442245635187,6274,no,34885
responses,odpověd,5,0.6754742840684431,0.0459719046688,0.9362781238760643,5824,no,277454
fed,odebírala,1,0.4800748964526957,0.0005354601737572,0.998885874666714,6101,no,201404
franco,benito,5,0.5463779892568413,0.1141250171376601,0.8272149921608439,5978,no,1134
geometry,geometrie,1,0.7824380139844935,0.0115199637828492,0.985490461579284,6345,yes,55491
contracts,smlouvy,6,0.6356708829966,0.0871683019250051,0.8794084441694194,6128,yes,326030
attraction,atraktivita,8,0.5609451727878552,0.1346939239462554,0.8063738444566773,6546,no,180538
mere,přece,8,0.4688292922981247,0.1485984411957928,0.7593265849026578,6004,no,234159
chip,mikroprocesory,9,0.5838881794744092,0.0756183794345681,0.8853409743799003,6882,no,176186
crowned,korunováno,4,0.6520997973504672,0.0332279588104358,0.9515152297397472,7294,no,33215
secured,zajistili,3,0.6791774404508104,0.0731168897337475,0.9028081339974874,5689,no,275422
provider,poskytovanou,9,0.6625015931489329,0.1362635629519266,0.829407227003877,7291,no,657989
vandal,vandalismy,3,0.7200921566919836,0.0577209865038916,0.9257906773512108,7210,no,1865
sometime,kdy,1,0.5779382484465047,0.0585464051789136,0.9080159987433584,7093,no,158295
provision,povinnost,8,0.6296277685195921,0.0375812157426929,0.943673996260339,6575,no,292202
developers,programátorů,4,0.6835548973611925,0.0828258452409309,0.8919259832133711,6216,no,367394
prohibited,zákazu,8,0.7431957881171454,0.0756359154435077,0.9076294736578856,7090,no,108953
portions,částem,5,0.556499748459499,0.1171568041318308,0.8260882289630108,6006,no,142431
deals,zaobírají,4,0.5989872562507956,0.0745748662172605,0.8892828683061862,5808,no,573868
theatrical,divadelními,7,0.6658265597888584,0.0610665870559425,0.9159895958284762,5959,no,53405
ethiopia,etiopských,6,0.650166390066474,0.1300438452357013,0.8333220466079436,6601,no,1566
