en,cs,position,score,rel_score,ratio_score,index,correctness,freqs
planets,exoplanety,6,0.7055457591131421,0.0760070326884084,0.902748690189942,5958,no,87925
bruno,gabriele,9,0.5099311975562584,0.106372786267007,0.8274020790728637,6941,no,2193
posters,reklamních,8,0.5751920312926706,0.207009241881604,0.7353504155758612,7352,no,136915
julia,anne,5,0.5741804845360812,0.0693177399373804,0.8922798271990583,5861,no,2553
consumption,konzumace,5,0.6644873045329669,0.0789517250479214,0.8938020175071649,5695,yes,423879
connor,patrick,4,0.590574908153332,0.0191562360029386,0.9685824872379668,6074,no,1107
sudan,somálska,7,0.706721846921249,0.0823184444524526,0.8956726984003085,6195,no,1345
rape,vraždu,6,0.638825789986364,0.1433758793890167,0.8167021562310035,6169,no,116601
plymouth,plymouth,3,0.6704193459067274,0.0469377346372763,0.9345685211586936,6161,yes,2021
marking,konec,8,0.4455604981047107,0.0427118464907424,0.9125245429860862,7081,no,82411
mixture,smícháním,3,0.6674482980664173,0.1220971836567396,0.845357631088881,6335,no,274176
observatory,hvězdárna,7,0.6924663537800315,0.0732020756805621,0.9043945487838224,6306,no,13249
glen,hill,5,0.4758533998242754,0.0957997166934954,0.832416348436863,5794,no,4463
cliff,skálu,9,0.4582864904439,0.0935406157803993,0.8304892696909707,6142,no,55687
bassist,baskytaristou,5,0.8052783633590833,0.0335029049534877,0.9600576381243138,7258,no,21674
pocket,krabičce,9,0.4552147489705473,0.1029600529004835,0.815541560537387,6828,no,311292
upcoming,nadcházejícím,8,0.5944853932770922,0.1010655729258246,0.8546970993692211,5665,no,359089
jackie,tobyho,9,0.6105184662349702,0.0247214067903293,0.9610833515966264,7169,no,3044
particle,částicí,3,0.7199225239922922,0.0511197209510234,0.9337004926950772,6721,no,65205
witness,vyšetřovatel,9,0.5699445383592645,0.1081458643238458,0.8405140909000812,5840,no,255389
honest,poctivý,5,0.6450424982704006,0.0373873063981142,0.9452144291730123,6685,no,443985
accomplished,schopný,2,0.5252644055117679,0.0121722760638722,0.9773512369342078,6608,no,293551
fees,placení,9,0.6945291219284135,0.0930818786887714,0.8818174471714705,6969,no,777365
questioned,konstatoval,7,0.6625680538038161,0.0547873909174204,0.9236258798611184,7240,no,113976
prey,predátorům,9,0.629094695493774,0.0627504700321085,0.9092998359186178,7054,no,88568
algorithm,algoritmech,4,0.7458194730509426,0.0378274847879979,0.951728920262366,6024,no,99003
proven,dokázáno,0,0.6860640415049566,0.0,1.0,5976,no,487133
holdings,vlastnila,9,0.571525224089127,0.0420529785945039,0.9314627240495584,6864,no,64579
yeah,taky,8,0.6472701083867336,0.0451406699630823,0.934806517497224,5802,no,206356
screenplay,scenáristy,4,0.6985612173057811,0.0578321651801356,0.923542211606786,6075,no,28645
trinidad,trinidadu,3,0.6564792524308805,0.0127332986375079,0.9809727139498812,6580,no,2154
activated,aktivován,0,0.7172902537903372,0.0,1.0,6700,yes,95196
rivals,soupeřem,5,0.6352255728889316,0.101808637905606,0.8618671475292113,6486,no,86609
napoleon,napoleonovou,9,0.7177710289449888,0.0688700767024033,0.9124504475955088,6259,no,1387
erik,lars,6,0.5546297162168319,0.0454067446683007,0.9243266907458926,6986,no,1205
seized,zabavil,0,0.7268113253521633,0.0,1.0,7186,no,90797
eugene,rice,2,0.4604224101687997,0.0917841164599329,0.8337866141853073,5795,no,7147
yankees,packers,7,0.5738197423584018,0.0381458048484749,0.937666744439161,6455,no,3076
allegedly,obvinění,8,0.6229233673567898,0.0905189737956551,0.8731236309167787,6214,no,115125
maker,výrobek,5,0.5397447156302411,0.0690648724996593,0.8865575151143594,6365,no,197567
castles,hrad,2,0.6459520166192176,0.0605208669677657,0.9143337722171552,7320,no,28192
admission,akreditace,1,0.5569114546984484,0.004243977972723,0.9924370722875816,7083,no,191830
wheels,kotoučové,2,0.6247711777448006,0.0128512824821858,0.9798449971827986,5920,no,219741
mere,podstatné,9,0.4814318958707614,0.0925315805949625,0.8387848976650201,6004,no,234159
tenor,tenor,3,0.6797487447565717,0.0144787212485217,0.9791441250058298,6826,yes,22287
beetles,blanokřídlých,4,0.6050249665178953,0.0123852903676127,0.9799399342179872,6377,no,17842
bats,predátoři,6,0.5026775444213054,0.0297848883660154,0.9440619909838552,6910,no,46784
distributor,distributorů,4,0.6617268496699917,0.0556914302488098,0.9223724404469968,7167,no,74252
permit,povolení,0,0.7493641107323932,0.0,1.0,6676,yes,353092
consistently,málokdy,8,0.5437260516129852,0.0208010963785123,0.9631530627844568,6443,no,287966
exceptions,výjimek,1,0.7193420195632851,0.0262220287962371,0.96482927408593,6706,no,120147
hopkins,hopkins,0,0.6291660956789435,0.0,1.0,6432,yes,1294
apollo,gemini,8,0.5089821366550142,0.189618496169258,0.7285738270767425,6807,no,2219
seoul,jihokorejském,1,0.6300436517292579,0.0087241307881117,0.9863422498333744,6170,no,1115
teen,teenagera,4,0.5796914675390281,0.0173113255688719,0.9710029404071092,6069,no,200462
preparing,připravení,0,0.7136105981307337,0.0,1.0,7153,no,335680
