en,cs,position,score,rel_score,ratio_score,index,correctness,freqs
pull,roztáhnout,9,0.6428000317251985,0.071233951073284,0.9002373097228512,6160,no,544378
bones,lebku,4,0.6545225280547584,0.1260172473338301,0.8385511522829276,6125,no,205565
particle,částicemi,8,0.7057797151653118,0.1086153003367207,0.8666306911643301,6721,no,65205
finite,infinitezimální,8,0.7374404833199529,0.032157240660522,0.9582155200587132,6992,no,45438
automobile,automobilového,5,0.7815009761671687,0.0277424080952747,0.9657180909541082,6210,no,330119
holmes,john,9,0.5401736327476061,0.1218505140140305,0.8159424930192114,5806,no,4121
wore,nosily,7,0.6908889392893074,0.0994070824593575,0.8742153829404298,6932,no,155002
flute,klarinet,3,0.7662338066146543,0.0387379353299079,0.9518766519228002,6644,no,34151
missionary,misijním,6,0.7383313743796466,0.0315708365934269,0.9589937057674832,5673,no,52248
philippe,jean,1,0.7055206144877453,0.0114328293258141,0.9840535959141202,7261,no,1823
santo,domingo,3,0.6229257002262087,0.1227504136057173,0.8353837392283896,7355,no,890
measuring,měřená,6,0.6439717629654662,0.0342979443653466,0.9494331768105656,6879,no,153363
rainbow,blue,6,0.4812674488197186,0.0745946774033199,0.8658036338791879,7159,no,52785
logan,whitmore,9,0.5551409057296866,0.014967217522728,0.9737467036299337,6984,no,2176
excessive,nadměrný,5,0.7069924012981306,0.03242236913113,0.9561513098902426,6738,yes,283241
compromise,kompromisů,2,0.7443477770090952,0.0219772001769983,0.9713213051495496,5796,no,162141
maintaining,udržováním,1,0.7192028387327651,0.0924913905852875,0.8860514375431812,5663,no,352470
logical,logický,2,0.7157285454223408,0.0516901445570819,0.9326441416764714,6450,yes,191562
dollar,dolarech,3,0.6340644785243681,0.0806885530621872,0.8871098834193388,5676,no,441398
prussian,prusko,2,0.7702877308740312,0.058194259232688,0.929757967067948,7161,no,208
armor,brnění,0,0.6906631317503575,0.0,1.0,5906,yes,78590
nights,večerů,0,0.6427777365968602,0.0,1.0,5830,no,312353
humor,humorem,4,0.6216168301293512,0.12220152926107,0.8357105229814206,7326,no,176017
vandal,vandalizaci,9,0.7029500446484137,0.0633078361962071,0.9173805088615532,7210,no,1865
attract,přilákaly,2,0.6386576352436839,0.1332669975483006,0.8273575011250963,7048,no,346464
separation,separaci,1,0.5728174547486904,0.0090915302657015,0.9843763707043006,6139,no,164622
holes,úlomků,7,0.5215180489594814,0.0975287949484051,0.8424532878114191,6872,no,270893
mathematician,matematici,7,0.6919182086642999,0.1832075984866945,0.7906499877050434,7056,no,13466
maya,sumerů,9,0.3949988648192418,0.0471474133143435,0.8933669338722807,7137,no,5492
eliminate,zabránit,5,0.6562140375766391,0.0763631089850398,0.8957610002667337,7308,no,372089
bag,zabalený,7,0.5338745729444314,0.0814268283329019,0.8676635090317296,6943,no,708102
prizes,cenou,6,0.6536844480801678,0.0489129723156359,0.9303826474511092,7385,no,140726
sad,smutno,0,0.489656624888624,0.0,1.0,6829,no,358106
notion,tezi,8,0.66515861224107,0.0647574493240847,0.911280964025883,6438,no,244484
hydrogen,vodíkový,7,0.8033689974636906,0.0651799935119905,0.9249553057004064,6156,no,100436
ferdinand,ferdinand,0,0.7124054864920434,0.0,1.0,6031,yes,594
divorce,manželský,3,0.6717493059155631,0.0541975255973407,0.9253422933406972,6512,no,266134
upgraded,modernizována,2,0.652019802909398,0.0071021348225844,0.9892248544373704,7072,no,102777
rpm,otáček,3,0.6373479055029054,0.0324856775234696,0.951501868006235,7222,no,41601
andré,christophe,3,0.6688817972915652,0.0533590851359193,0.9261200986621292,5874,no,0
goddess,bohyní,2,0.7686362919442669,0.0485189718264081,0.9406245373706308,6434,no,55927
trick,prohraje,5,0.4908139098535902,0.0849388744288013,0.8524733587964013,6146,no,219033
priority,priorita,2,0.6705593866731414,0.022419802757971,0.967647220724801,6677,yes,344855
pond,rybníčku,4,0.6580744586606396,0.057943619162698,0.9190752008121862,6458,no,114161
pounds,kilogramů,0,0.7102530394863411,0.0,1.0,6678,no,515892
edwin,donald,8,0.5123565152306873,0.0758399996846252,0.8710635004433092,6612,no,1085
kenny,chris,1,0.6221750234633368,0.0063318260364261,0.9899256053590096,6362,no,3023
memphis,memphisu,0,0.6602624649732367,0.0,1.0,5996,yes,10784
runway,přistáním,8,0.6080062270975821,0.059800422511988,0.9104524901826748,6808,no,53095
dear,můj,3,0.5680441083415081,0.0741681931956775,0.8845114099836608,6854,no,208756
bread,pečivo,4,0.6707081587349124,0.0899910899413329,0.8816995151527575,7027,yes,314792
penn,minnesota,4,0.4956235196892569,0.0391307460232606,0.9268248080805452,5924,no,3642
silly,úsměvné,8,0.6773724110350843,0.0322249201733574,0.9545870330170514,7119,no,176131
crowned,korunována,2,0.6650187432134466,0.0269102327634046,0.961108388725283,7294,no,33215
larvae,přezimující,7,0.6714019574509474,0.0748216802472926,0.8997328998072436,7175,no,26769
boarding,školku,9,0.5430879963027828,0.0826924271499941,0.8678571204037764,7043,no,75344
creatures,bytostí,0,0.7127429684939874,0.0,1.0,6983,no,191788
sara,kristine,7,0.569592993166259,0.0372598161382702,0.9386015594440916,7129,no,3501
chip,čipy,7,0.5819823272775304,0.0692395344375231,0.893677503001551,6882,no,176186
app,prohlížeč,3,0.6223842912943837,0.0182592997055518,0.9714985056245514,7238,no,450833
evaluation,vyhodnocení,0,0.7262736516248152,0.0,1.0,5887,yes,359796
biographies,biografii,5,0.6830775455831113,0.0746245879500859,0.90151197331053,7411,no,20618
measuring,měření,7,0.6437655463002412,0.0345041610305716,0.9491291433810962,6879,yes,153363
puts,dává,6,0.644110340038744,0.044481660599823,0.9354020079254872,6524,no,339022
elevated,povýšeno,3,0.4755282928068933,0.0275238231662531,0.94528633854763,6014,no,142421
sometime,nejpozději,0,0.6414092987823794,0.0,1.0,7093,no,158295
itv,itv,4,0.6531392928390282,0.0567123841143312,0.92010671249276,7156,yes,1084
fees,poplatků,3,0.7307613994272789,0.0343670611589669,0.955083279567676,6969,yes,777365
lynn,lynn,0,0.5634763466827397,0.0,1.0,6368,yes,2685
inns,tř,2,0.3518881799165694,0.0451304599443735,0.886326596755808,6314,no,12477
saxony,braniborsko,6,0.7595494702575385,0.0448181103649809,0.94428155554169,6734,no,223
descriptions,popisech,1,0.7078483555558879,0.1194434394157296,0.8556211482554018,7317,no,142569
tribal,kmenů,4,0.5625135532444534,0.0165004199822903,0.9715025530552632,5980,no,99559
vampire,upíří,7,0.5518317234536998,0.0645540323096165,0.8952700776972458,6595,yes,67060
imdb,čsfd,1,0.6381433257762574,0.0844782237790885,0.8830947903074978,5956,no,7969
neat,docela,1,0.4696851442570315,0.0030454322887845,0.993557784412768,5732,no,132934
nato,severoatlantická,8,0.5546178336497564,0.0954426255467113,0.8531788479110284,6094,no,1466
parishes,farností,0,0.7725730886355517,0.0,1.0,6124,yes,23313
rebel,povstalecká,5,0.6517093559385942,0.0258537541970239,0.9618430315784914,5777,no,52615
kilometers,kilometrech,5,0.6742040233800719,0.1376134487514835,0.8304872049745892,6385,no,86652
crucial,důležitých,5,0.6886100331899785,0.0495837625114284,0.9328309682360366,7371,no,544044
carved,vyřezávané,1,0.7048201781947283,0.0123156975707166,0.982826549351514,7296,no,81696
dissolved,rozpuštěný,6,0.6526704696558006,0.1376028090404739,0.8258794612574029,6061,no,54554
burma,barmě,1,0.7324263925256551,0.0035777076203986,0.9951390112912568,6660,yes,574
climbing,horolezectví,0,0.6925023701665725,0.0,1.0,7409,no,172651
jam,bluesového,9,0.4443440348137131,0.037603844893882,0.9219752872101088,6416,no,79059
jeremy,brian,5,0.6029722555061809,0.0435402289476878,0.9326536919322328,6015,no,4991
fluid,kapalině,4,0.7187802728556909,0.043304090268714,0.9431767762676888,6099,no,225545
hub,centrála,6,0.5443684059388634,0.0657588678758623,0.8922210648530505,6794,no,116291
clarify,vyjasnit,2,0.7443025976985691,0.0666537534819522,0.9178084574035048,6569,yes,113296
minimal,minimální,0,0.7091387870992234,0.0,1.0,6077,yes,282593
automobile,automobilové,2,0.7950767919176746,0.0141665923447689,0.9824940276061934,6210,yes,330119
rings,prsteny,2,0.4902108097318061,0.0317756645387472,0.9391255020867122,5849,yes,321050
secured,získal,9,0.6295956730759027,0.1202757796162562,0.8396048026839176,5689,no,275422
diana,amanda,8,0.5311554240009009,0.1001798799233556,0.8413206432451074,6547,no,2983
refuge,uprchlé,2,0.5678046781377556,0.1734141093165676,0.7660419403127257,6712,no,63945
licence,licencích,6,0.5875245744343528,0.1732894797617157,0.7722314949283817,6265,no,102241
stability,nestabilita,8,0.7097021230844934,0.1172773923690111,0.8581858556620985,6370,no,288878
rivals,rivalů,1,0.6938547386208489,0.0295873774664761,0.9591019422168882,6486,no,86609
phrases,slovní,7,0.6394394193553345,0.0656021245382791,0.9069528241187188,6774,no,222733
fringe,pseudovědy,3,0.4797698742995044,0.0170948043016423,0.9655946477222522,5847,no,46715
malaysian,malajsijském,4,0.6685718938518644,0.061582702039018,0.9156579957373558,6054,no,3459
maría,garcía,7,0.6739256976526034,0.1476499344318219,0.8202844282793317,6406,no,0
bradley,harrison,5,0.5929364021315292,0.0279713032452796,0.9549509484210624,6018,no,2776
permit,umožněno,6,0.6430942002084651,0.0801306903596162,0.8892036330543395,6676,no,353092
reasonably,rozumně,3,0.6235466152018865,0.1251839837640103,0.8328050383717359,7217,yes,212854
deceased,zemřelé,0,0.6865431050670815,0.0,1.0,6242,no,91387
supposedly,nejspíš,6,0.5711777480866465,0.1401671935829337,0.8029546772991022,7091,no,116826
suspension,nápravu,7,0.4947246919368467,0.0553030413008976,0.8994540857506299,5739,no,159441
espn,eurosport,5,0.5462794304638687,0.11812987608077,0.8222031586295466,5965,no,3767
forget,chtít,1,0.6043281080554007,0.0128131184945194,0.9792379475826786,6395,no,726877
murders,vraždu,2,0.7820326750771529,0.0495901473612443,0.9403694246679748,6999,no,46043
brandon,wayne,6,0.5808198511912277,0.0465864719742621,0.925747525560124,7135,no,2936
fairy,pohádky,2,0.6547631967416334,0.0156981249582226,0.9765860841630322,7215,no,71200
shots,výstřelů,0,0.6046875189884329,0.0,1.0,5961,no,354211
aftermath,katastrofě,6,0.5809327506258308,0.0264633463881813,0.95643148430114,6876,no,60640
bang,big,7,0.4034109717583372,0.1249215949246511,0.7635549977376145,7150,no,78568
sending,odeslal,0,0.6557618257234452,0.0,1.0,5765,no,400733
algebra,algebra,4,0.7627813150251138,0.0152359826049771,0.9804169102005992,7173,yes,22084
rachel,jessicu,6,0.5994355896225881,0.0719190032508364,0.8928747877585521,5910,no,6256
staged,odehrávaly,9,0.5886147095165314,0.0722591065271125,0.8906612657773378,7360,no,56716
prestigious,nejprestižnějším,3,0.7572925496474181,0.0757085639693424,0.9091134900881132,6079,no,139260
diplomat,novinář,7,0.6421998781763494,0.1886440713821964,0.7729488534129314,6717,no,20902
approached,oslovil,2,0.6183144363643606,0.0113943933066426,0.9819052984970916,5925,yes,166727
orlando,atlanta,6,0.5530447659398703,0.054630343693903,0.9100994218327833,5853,no,19460
quarters,ubikace,1,0.519304472053906,0.0134695663140753,0.9747180505353904,6708,no,133036
springfield,illinois,6,0.5576509598077741,0.0635812171093324,0.8976530523179641,6308,no,9676
macedonia,makedonii,1,0.8069101352311523,0.0351368701801864,0.9582720798786972,6007,no,554
legally,oprávněna,5,0.6060136018428885,0.0897374024875531,0.8710208078335263,6814,no,179044
leicester,kladno,7,0.6413586103711159,0.0556912870602752,0.9201043034860258,6987,no,1493
churchill,churchilla,1,0.6102174595085661,0.0596529456627004,0.9109485279507924,6945,no,2825
crater,kráterem,3,0.7400758328478168,0.0616194001344172,0.923138622260234,7182,no,27332
marion,anne,9,0.5362525545200774,0.0763483288754611,0.8753701946163123,6441,no,1539
sudan,súdánem,5,0.7316117125134758,0.1030315822929266,0.8765561492747329,6195,no,1345
armoured,obrněnými,8,0.6875133776181168,0.1061124056596061,0.8662941553872464,7102,no,9377
exhibit,vystaveny,5,0.6167988777261155,0.0309662056364756,0.9521953151970958,5792,no,215828
viola,smyčcových,9,0.6705675034893411,0.0518876597806708,0.928178712785698,6618,no,9546
collapsed,zhroutily,3,0.6773549098270566,0.0159365629224388,0.9770131848597002,6352,no,75699
prehistoric,prehistorické,3,0.7443551537486996,0.0270826363095268,0.9648932983857548,7375,no,24750
tobacco,nápojů,7,0.5756023154922202,0.1701478372027903,0.7718433759779922,6534,no,212721
graves,hrobech,3,0.6220569616196696,0.0894020006302579,0.8743399052173975,6977,no,29787
strictly,zásadě,7,0.5496911845255948,0.1711834898461279,0.7625336331931446,6097,no,151931
zones,zónou,8,0.5694818782141394,0.1823345485142981,0.7574746413725822,6996,no,131092
elevated,povýšeny,9,0.4618644866457158,0.0411876293274307,0.9181245282156226,6014,no,142421
dirty,kouřící,9,0.4609726455832064,0.1863302580559083,0.7121436393868064,6917,no,231623
casino,casina,5,0.5856135174544354,0.1179507126169375,0.8323526018300105,6756,no,453078
rebel,povstalecký,6,0.6465304506954098,0.0310326594402083,0.9541996029949196,5777,no,52615
suspension,zavěšením,1,0.5498082386937718,0.0002194945439725,0.9996009391332316,5739,no,159441
kills,zahyne,9,0.6664908475056766,0.1105959956531781,0.8576787181164902,5756,no,89966
flags,vlaje,5,0.6460433937526073,0.1108022471741352,0.8535999400902143,6602,no,88421
broader,užší,2,0.6437445005217961,0.1192919959906874,0.8436614807601988,7300,no,164786
