en,fi,position,score,rel_score,ratio_score,index,correctness,freqs
fitness,liikunnan,1,0.4884242318419225,0.0101763077343189,0.9795902592825756,7592,no,485398
encountered,käyttäytyivät,2,0.5159545310745287,0.0291791969439177,0.946473323068848,6290,no,154785
sits,kohoaa,4,0.5034430209529409,0.0548531428386034,0.901749024270415,7428,no,179351
tin,timantti,8,0.416887522292794,0.026132644806576,0.941012516478252,7010,no,86913
researcher,erikoistutkija,3,0.7336389685278326,0.0886299282136924,0.8922129627365041,7069,no,108541
marco,roberto,1,0.6161668660633701,0.039118716645053,0.940302796708318,6202,no,1293
arcade,pelikonsoli,8,0.5988417106851731,0.0209712112603104,0.966165256454342,6479,no,45634
contestant,juontajan,1,0.5496819690568173,0.0480445084848333,0.9196212476943764,7635,no,21197
div,team_code_ii,5,0.4337998332870831,0.020006912732689,0.9559131438477616,6628,no,22178
scouts,vapaaehtoisjoukkoja,5,0.4214613812212299,0.0687755477179019,0.8597095737631769,6570,no,25786
investors,osakkeita,6,0.5985620321148624,0.0507631272763974,0.9218217151419364,6824,no,520687
executives,toimitusjohtajat,0,0.6344967134316319,0.0,1.0,6519,no,186995
promised,lupaamaan,2,0.7017182177921331,0.0837541506739905,0.8933709777244663,6320,no,254327
clothes,alusvaatteita,1,0.6566838354380935,0.0259766384679763,0.9619479383076884,6858,no,638022
holdings,holdingyhtiö,2,0.5801500335194146,0.0250743130908973,0.958570217422132,6864,no,64579
monte,monferrato,9,0.5039683290899277,0.1980735206868746,0.7178608073723134,6405,no,8147
bow,torpedoa,9,0.4187057407974209,0.0367288658646184,0.9193542490461786,5873,no,133731
clarify,miettiä,5,0.6286102880543822,0.068995987212842,0.9010960915074732,6569,no,113296
maría,santamaría,6,0.6823903097520916,0.1032864062795554,0.8685382878580876,6406,no,0
drake,roderick,5,0.5155396272937547,0.0095472937329761,0.9818176889374662,7336,no,11569
documentation,hakemistoja,6,0.546206641284182,0.0605375575208013,0.9002255684685021,6105,no,254949
kyle,ryan,0,0.5982502223209671,0.0,1.0,6342,no,2976
chef,apulaiskeittiöpäällikkö,5,0.4773470860977028,0.0853204192514088,0.8483644098152228,7380,no,116759
snake,valkohai,3,0.4575014241821262,0.0198465020866632,0.9584234035710716,5864,no,81717
geology,geologiasta,4,0.5948958079374491,0.0787090669649234,0.8831524683126277,6442,no,29529
licensing,lisensseillä,3,0.5611113146134878,0.0439038417260304,0.9274334844904402,6844,no,130623
plates,läpikuultavat,2,0.4410774874309451,0.007990746182019,0.9822059420286096,6225,no,164087
fountain,suihkulähteen,4,0.5156085894651308,0.0666113119896683,0.8855908019921238,7338,no,70373
terminology,määritelmät,6,0.5640617800311412,0.0461854231347492,0.9243168622565664,6614,no,74937
carroll,thompson,8,0.5735389074042012,0.0400786371772934,0.9346846622440884,6527,no,1311
reconnaissance,tiedustelulennolla,3,0.6845885887932175,0.0106089511420555,0.9847396595462014,5960,no,14671
bomber,syöksypommittajaa,3,0.658077287149989,0.0198362624407155,0.970739244771414,6071,no,28362
enzyme,isomeraasin,6,0.6041559681630047,0.0161066704399034,0.9740324994002824,6153,no,63225
bet,just,2,0.4067240465886064,0.0069612170670049,0.983172673337477,6970,no,398333
lover,rakastunut,2,0.6535739089066315,0.0351715033156174,0.9489339563044986,6027,no,173040
cleaning,siivoaa,1,0.5268631196942066,0.0057293188230467,0.989242583242456,7468,no,545170
loyal,uskollisuudesta,4,0.6047835513364287,0.052755252289886,0.919768609853986,7322,no,143758
freight,matkustajaliikenne,0,0.7385347434631397,0.0,1.0,6154,no,79405
leipzig,münster,7,0.6257358817262891,0.0350338858615338,0.9469801925269266,7354,no,190
cherry,soundgarden,1,0.4480362978381588,8.408696988704278e-05,0.9998123562936708,6532,no,75810
bradford,chesterfield,1,0.6295716973122456,0.0013572678570074,0.9978487786550688,5908,no,1445
careers,ammattiuransa,3,0.5215860279771858,0.0634209367984653,0.8915894329176283,7678,no,205995
dong,chang,8,0.6152397266329316,0.0656481212462519,0.9035845309169028,7645,no,9415
commands,komennot,4,0.5546894060355064,0.0386755035509044,0.934820035822708,6491,no,151670
misleading,aiheellista,1,0.6021685114927962,0.0007831487803053,0.9987011416803286,7366,no,91104
unused,commonsissa,1,0.4116267657886824,0.0127924063211631,0.9698590281452876,6718,no,59608
triangle,leikkauspisteessä,5,0.4505935155088087,0.0516986489881796,0.8970745461658708,6093,no,59398
physicist,geofyysikko,4,0.7758565916845606,0.0867111787306871,0.8994731988549217,7470,no,22297
par,poèmes,5,0.4592827943348285,0.0460127947592906,0.9089388552910562,7464,no,115405
nurse,lääkäri,7,0.564722917126143,0.0844319174182244,0.8699356256393191,6485,no,203370
