en,fr,position,score,rel_score,ratio_score,index,correctness,freqs
ion,protons,4,0.5460904981672532,0.2530890144776521,0.6833139357638843,6832,no,47695
approached,sollicité,4,0.574743175841788,0.1435406498243603,0.8001616565829833,5925,no,166727
arch,arches,3,0.5237009082485762,0.029928612791793,0.9459410821598678,5720,no,62120
criterion,acceptabilité,4,0.5777205522436353,0.1317470138567872,0.8143015690189579,5921,no,40529
julie,jessica,4,0.6144852832989258,0.0785925761245103,0.8866035394783919,6453,no,2984
gif,image,4,0.5704360163988437,0.1752119617614769,0.765020536642822,7194,no,21484
anton,franz,2,0.5590563228312129,0.1265721100164505,0.8153925596539942,6811,no,663
twentieth,décennie,2,0.5249819253023296,0.0347151863878778,0.9379750481773208,6162,no,52032
indo,austronésien,6,0.5483351439126666,0.2419837433050967,0.6938150571638548,6639,no,476
philippe,philippon,3,0.5445906918743398,0.0518869973092454,0.9130110006624648,7261,no,1823
explorer,explorer,3,0.5816537900235542,0.1839891678925787,0.759693253898206,6201,yes,38234
eating,mangeant,0,0.7148164445973663,0.0,1.0,5652,no,879297
proceedings,plénières,4,0.4949521825906597,0.0415897546581628,0.922485547222238,5722,no,172239
collector,collectionneurs,1,0.5336999341751358,0.1433133802706966,0.7883152705969965,6852,no,96798
nobility,noblesses,1,0.6912848604736384,0.0761779255162068,0.900740561097102,6563,no,21336
mature,maturation,8,0.5420824184497728,0.1262083099994394,0.8111475969563285,7141,no,232502
destroyer,uss,9,0.6542257424281308,0.1200738260437519,0.8449258776151414,6237,no,11629
recall,souviens,7,0.5001279688198196,0.0789738356143858,0.8636270254907167,5813,no,275207
randy,dave,5,0.6004452367793569,0.114406808576661,0.8399573599601536,6732,no,5351
environments,anoxiques,6,0.5921448532775835,0.2212012160966199,0.7280355503939248,7226,no,232945
classics,cyclassics,2,0.4924245792454702,0.1113223221144811,0.8156142551394872,6695,no,65564
invitation,convié,3,0.5765660706970446,0.2203681321381232,0.7234801425837377,7080,no,154220
revolt,soulèvements,7,0.7046270936585775,0.1187284738225735,0.8557992700701673,6820,no,34363
technically,mais,6,0.579355447842635,0.1800763129478817,0.7628801924738642,6143,no,114018
preston,brighton,1,0.6198902424727044,0.0076485624216382,0.9878118096251816,6241,no,1102
burton,hollister,7,0.5494173921526911,0.0994152552676732,0.8467782784005561,6312,no,2905
witch,magicienne,7,0.5873791514843201,0.1754952618277566,0.7699552393350948,6545,no,52971
sailors,navires,4,0.6120070633036534,0.0184036020852409,0.9708069626742626,6506,no,43357
consequence,conséquences,8,0.582779306010652,0.1629125800581069,0.7815282919102527,6680,no,216076
imo,amha,0,0.6568200704710678,0.0,1.0,7140,no,8686
transformed,redevenue,8,0.5536374255799975,0.1701147902827163,0.7649543772657894,6834,no,159284
scales,aplaties,1,0.532989607433215,0.0008288229735031,0.9984473691309764,7123,no,100517
mhz,khz,2,0.627384748735008,0.0981166457260337,0.8647602244804473,7097,no,3402
castles,château,2,0.6611273556719641,0.1244981499650553,0.8415299031513662,7320,no,28192
advertisement,promotionnel,2,0.6598433471215164,0.0779539813631078,0.8943422829637795,6935,no,112230
richardson,nichols,9,0.6065389564878789,0.0834303643394787,0.8790810521264402,6092,no,6934
wheels,moyeux,6,0.6296545113339665,0.155446315583503,0.8020046467231098,5920,no,219741
productive,productif,0,0.6662169018382307,0.0,1.0,7064,yes,264497
chelsea,wolverhampton,7,0.5840664018663486,0.2224692367552689,0.7241668859971613,6081,no,4241
noting,estimant,3,0.6425206610463439,0.0452878218601453,0.9341563487720136,5812,no,110201
instructor,instructrice,2,0.6000429929464853,0.1167185663709362,0.8371584457150738,6562,no,181012
affiliate,affiliation,3,0.530039029521003,0.0393470073913642,0.9308957283098602,6240,no,349891
amazing,passionnante,6,0.5568199613195476,0.1311405881971253,0.8093777495101161,6422,no,1110594
armies,militairement,8,0.6473208578514928,0.0768654908156281,0.8938595142574829,6138,no,51252
sprint,sprint,0,0.7760549587356633,0.0,1.0,5635,yes,47235
jail,incarcérées,9,0.6106722473489876,0.1637086019524694,0.7885942012897847,5801,no,188390
exhibited,exposera,8,0.5894901501283547,0.0931759987454893,0.8635116170631918,5964,no,71095
sketch,sketch,0,0.5455857122971342,0.0,1.0,7268,no,66752
hugo,oscar,1,0.4642126281193224,0.1369181526640295,0.7722323377192443,6133,no,2163
murders,meurtrier,6,0.653166270180902,0.1566256879620733,0.806585276147655,6999,no,46043
