en,ko,position,score,rel_score,ratio_score,index,correctness,freqs
saturn,행성도,9,0.5004392770776245,0.0548064395470039,0.9012933591272428,9170,no,1971
crest,등쪽에,0,0.458788743653685,0.0,1.0,8095,no,26580
storms,허리케인,5,0.6342632319291739,0.0333961942973061,0.9499801950134116,9390,no,78855
neighbourhood,교외,3,0.4671143365274505,0.0102275165694186,0.9785740208970464,7820,no,55671
rabbit,고양이와,5,0.4543672571255763,0.022448940800909,0.9529190893712672,8486,no,68447
pga,lpga,1,0.5412722520927771,0.0151563217846515,0.972761424383662,8346,no,1454
carmen,페레라,2,0.5252578469433912,0.0056792184092346,0.9893034056579516,8336,no,2114
turin,토리노에서,4,0.6586451800892987,0.1122571828155127,0.8543821004873818,9339,no,432
investigator,수사하고,8,0.43007689017471,0.0216538935667008,0.9520646049681296,8007,no,55828
browns,카디널스,9,0.5695978694303949,0.0280715231790064,0.9530316868721564,7573,no,16316
anthem,노래다,9,0.5507607283051233,0.0392265075349637,0.9335129556165588,8005,no,24220
seymour,dudley,3,0.4962693567131995,0.0218840577812045,0.9577652927317708,9222,no,816
explicit,암시적으로,4,0.5583336630529716,0.0273534610168166,0.9532968032031428,7241,no,100101
locals,관광객들을,0,0.6342759190506271,0.0,1.0,8655,no,119039
vague,지엽적,4,0.5518091310688231,0.0221108361937185,0.9614740077798968,7095,no,84240
zagreb,자그레브,0,0.6955325232528493,0.0,1.0,7378,yes,599
dolphins,다저스는,4,0.4252763150831815,0.018703259780155,0.9578736031135844,8736,no,45258
delegation,대표단은,9,0.6281793689917863,0.0488251683669893,0.927880589164922,8060,no,75894
lily,멜린다,5,0.4840317717453005,0.0136973305095067,0.9724803503603562,8311,no,22609
fever,폐렴에,0,0.4505378440359633,0.0,1.0,7108,no,131504
finger,엄지손가락을,7,0.5087670242332648,0.0253233836357221,0.9525859606114964,7402,no,268337
yuan,만주족의,4,0.5582450535958263,0.012986232665971,0.9772662440270832,7693,no,260630
patricia,젠킨스,7,0.5625024638799841,0.0338276183215592,0.9432736678373264,7341,no,1959
cairo,다마스쿠스에,6,0.6182939493279225,0.1319967902768258,0.824072478428347,6976,no,2236
motorsport,포뮬러,6,0.5495247724776038,0.0390645262301974,0.9336302472437736,8793,no,7689
teenage,육남매,5,0.5452602816098191,0.0237691811450604,0.9582285580961218,7208,no,110938
cubs,다저스에서,4,0.5620429044640706,0.0477219809990029,0.9217370790993294,7632,no,13046
gloucester,요크셔,1,0.5823060525328425,0.0798406622492875,0.879421493051494,8759,no,595
logan,톰킨스,0,0.5396301027718506,0.0,1.0,6984,no,2176
commit,체포할,4,0.5546721723284809,0.0372911160287169,0.9370043434075004,8333,no,219974
portsmouth,체스터필드,9,0.5618162443249827,0.0265575395033523,0.954862809606247,7038,no,982
uci,fiba,6,0.4734602063877104,0.0433646549573383,0.9160941003409148,7611,no,553
lifestyle,고품격,4,0.4928976915847965,0.0617969184893717,0.8885928989266565,7130,no,514124
linguistics,언어학의,7,0.686295053814318,0.0594085186384044,0.9203322595827164,8510,no,14529
pos,datavalue,9,0.4172157350855757,0.0254800673681406,0.9424433951555152,7569,no,10338
ancestors,후손을,7,0.5782438835999267,0.0471329870111295,0.9246326667548868,8266,no,89169
specifications,규격은,4,0.6249503899677713,0.0409361879010712,0.938523782785821,8092,no,174198
ups,바이럴,6,0.4332401572641038,0.013179649699278,0.9704770050663116,8098,no,142965
interact,상호작용한다,3,0.5301847604102687,0.0618792350613937,0.8954855631575803,8467,no,217144
catalan,카스티야라만차,9,0.5599203454539332,0.1062760779313436,0.8404733586060072,8825,no,670
dodge,포드,0,0.5578933959533106,0.0,1.0,9195,no,28399
emirates,쿠웨이트,4,0.6914419133094012,0.0346009251067946,0.9523431355892528,7745,no,4601
fitzgerald,더피,1,0.5195402387129611,0.0107606175097579,0.9797084666496584,7967,no,1131
fischer,fritz,2,0.4976104226561226,0.015079752363379,0.9705870073230768,8403,no,1818
passive,환경에서의,8,0.4537571490891575,0.0543622966049038,0.8930127609451196,9116,no,115642
amusement,놀이동산,3,0.5122149010098418,0.0418495960235645,0.9244680064367284,9322,no,68271
beats,어쿠스틱,3,0.5064083666818333,0.0189786734502994,0.9638767765464364,8348,no,192814
workshops,전시회에,9,0.5081822428422925,0.0385878057089719,0.929425897027068,7202,no,244888
convent,수녀원,2,0.6415421065432791,0.0124147669450276,0.9810159240642194,8603,yes,13691
meanings,형태소를,2,0.6602438137890179,0.0051015841408983,0.9923324274027132,9310,no,75139
algerian,레바논의,6,0.6566325451735959,0.0519533384597806,0.9266802519500072,9341,no,283
telescope,망원경에,1,0.7478564290780172,0.0469597033545308,0.9409175261568864,7937,no,50907
mandatory,의무,0,0.4917035703889267,0.0,1.0,6967,no,155901
humanities,인문사회과학,2,0.6830730424159767,0.0125816856100217,0.9819138933394104,7831,no,31622
barn,오두막에,2,0.4325205882545612,0.0298974556739349,0.9353453956512172,8268,no,70175
valleys,구릉지대에,7,0.5891179190123478,0.0167913752483702,0.972287311966624,8815,no,43490
suffer,심각하지,7,0.5725675841992965,0.0143886001679895,0.9754860745125296,7958,no,437157
rectangular,직사각형의,2,0.6597816411433206,0.0097862470926528,0.9853842347212388,9038,no,46474
neighborhoods,도시화된,5,0.5303364696227543,0.0201361555409161,0.9634202417696444,7003,no,110790
capturing,섬멸하는,2,0.5554787359933008,0.0197236157027634,0.9657101268021494,9352,no,84154
ancestors,후손과,5,0.5825965091331315,0.0427803614779247,0.931592670774466,8266,no,89169
compliance,요구사항을,8,0.5775124864595218,0.0282222586781941,0.9534082221554292,8207,no,296937
genuine,말하면서도,8,0.5352913386007396,0.020954232076091,0.9623291704586622,7701,no,377106
sketch,코미디하우스,1,0.4580464830549998,0.0043131110549147,0.9906715225338454,7268,no,66752
accepts,대한다,5,0.5063024093855646,0.0420784772965735,0.9232677901099718,9104,no,87114
heating,냉각재,0,0.6866960381032986,0.0,1.0,8243,no,299728
freshman,미식축구를,8,0.5188448375176229,0.0242885011731702,0.9552807764816702,8076,no,79551
eng,eng,0,0.4576744481532491,0.0,1.0,7551,yes,3032
bronx,맨해튼에,3,0.5158222351724351,0.077281148708608,0.869700374658277,9330,no,1592
strongest,강력했던,2,0.4848983681098253,0.055531303888182,0.8972460122648728,7617,no,114403
oriental,마드라사,1,0.4714449435942347,0.0005986407775264,0.9987318103722918,7251,no,19605
catalina,산타아나,6,0.4623440264003013,0.0431223364142121,0.9146880196456588,7471,no,781
decoration,장식용,4,0.535920902925208,0.033130819085038,0.9417788967090736,8154,no,83772
frances,kelley,3,0.588421989289646,0.0217226249327131,0.9643975798091752,7293,no,997
shiva,힌두교에서,1,0.5106742242532175,0.0118281621682202,0.9773624724487288,9118,no,1857
soprano,연주자인,6,0.5678418203446254,0.0420677167717435,0.9310263010959982,7199,no,14198
trends,경향과,4,0.5587868672543337,0.0552600472139528,0.9100067992983836,8458,no,380885
scouting,평화유지군,2,0.4312910063657975,0.0064219645534918,0.9853283658923692,9279,no,27975
falcon,mq,8,0.474320138927449,0.0487606807485242,0.906781745928422,8295,no,5971
participant,참가자로,8,0.4819567504751121,0.0333935026604747,0.9352023163716404,8409,no,136418
pollution,오염,1,0.6630234164210942,0.0155185924381512,0.9771295037955854,7529,yes,197117
lou,브루어,3,0.4884532613752866,0.0202672983794881,0.960160253029172,7028,no,1949
traces,흔적이,4,0.4933963638988868,0.0279031229521861,0.9464739105715684,8425,no,77497
locals,주민들이,8,0.5952825575146674,0.0389933615359596,0.9385230301753782,8655,no,119039
reverend,목사인,3,0.5962959045992444,0.0110398333431411,0.9818225198132692,8624,no,4319
montenegro,몬테네그로,1,0.7675644844560144,0.001366881352816,0.9982223623413018,7267,yes,356
gloucester,요크의,2,0.5793004915584967,0.0828462232236333,0.8748823767087741,8759,no,595
paperback,출간되어,7,0.6257977689112526,0.1008700251064114,0.8611882541969936,9172,no,31898
bet,hate,6,0.3966550004973264,0.0275979184899146,0.934949372756715,6970,no,398333
pleasure,즐거움이,9,0.4498158564925154,0.0223596884132886,0.9526453907778109,7498,no,511447
falcons,usl,3,0.4754469192603917,0.0111017324283698,0.977182687918594,9047,no,3991
suspicious,의심받는,3,0.5823414115099683,0.0163431632295856,0.9727015461577652,8664,no,91695
infringement,침해,3,0.5735706543312716,0.0159298985621193,0.9729772966557332,7669,yes,53470
pistol,권총에,8,0.5841066113272433,0.0541370033573662,0.9151781512391342,8809,no,44345
securities,금융에,7,0.6271250742283585,0.0503401655599453,0.9256933601852756,8637,no,164557
scratch,패치는,7,0.4550275143204476,0.0299324727816766,0.9382784691979684,9216,no,163808
disco,댄스곡으로,5,0.6115681286635568,0.0228845006320237,0.9639303242269924,8882,no,30829
explore,탐색하는,7,0.5241465066058447,0.0355665954264355,0.9364556675602274,7017,no,559188
transfers,교환해,3,0.4671724859813068,0.0687920452045342,0.8716481386327387,9039,no,122301
carey,라이프하우스,5,0.530049375859637,0.0184735437486806,0.9663212910740868,7613,no,1780
silk,장식용,1,0.4511853068305216,0.0031797601378274,0.9930017504227522,7547,no,124116
sonic,믹스,1,0.5435414998428373,0.016563772800516,0.9704273935463148,8355,no,35583
quantity,균일한,7,0.5345269770350616,0.0226069281449132,0.9594228103249068,6973,no,384336
diaspora,튀르크어족,7,0.5601466769216724,0.0920150228950349,0.8589076559986639,8509,no,13522
rita,lara,8,0.5076580321594234,0.0191942393917775,0.9635680807918616,8773,no,1234
unemployment,경제도,8,0.5584289568933387,0.0581845332136811,0.9056385658971188,9007,no,222979
humor,풍자를,2,0.557818937792055,0.0091093886001469,0.9839320277783312,7326,no,176017
precedent,지침은,5,0.5631015672694764,0.0245796564889007,0.9581751883585674,6993,no,48777
clip,비디오가,0,0.6018704073900455,0.0,1.0,8963,no,215863
prizes,상금은,3,0.5625795020667594,0.0153993966707162,0.9733564725211348,7385,no,140726
profits,수익,6,0.6526429206828879,0.04678136496012,0.9331144686846096,8817,yes,378127
battlefield,전투를,4,0.5587651965938167,0.0307157474539647,0.9478935701584358,8171,no,46405
vista,비스타에,6,0.518221646830282,0.0333158985375164,0.9395945048214271,7515,no,33410
theatres,극장,0,0.6299321116273271,0.0,1.0,7708,yes,34249
satellites,위성의,4,0.6895396020401319,0.0582817659262246,0.922064588653414,9396,no,57249
socialism,사회주의통일당,7,0.7195354996402071,0.031257777679472,0.9583669984485452,9086,no,46660
winchester,엔필드,4,0.4939043022037343,0.0865617039237711,0.8508754982892884,8389,no,1982
prosecution,재판,0,0.7654367336357037,0.0,1.0,8666,no,92762
sonic,바이오니클,4,0.5361076620747671,0.0239976105685861,0.95715517824831,8355,no,35583
individually,개별로,0,0.5976587946053777,0.0,1.0,8459,no,149401
posters,광고를,4,0.5052196127311842,0.0798838872997188,0.8634705017223454,7352,no,136915
harassment,부당한,4,0.6394233798467985,0.0138242480032507,0.9788376606146296,7734,no,77933
vegetation,습지,1,0.6437280251542252,0.0099222694078715,0.984820217338816,7838,no,90680
gamma,고에너지,4,0.549391892221879,0.0639346173352579,0.8957576163120309,8977,no,20921
merchants,상인들은,4,0.6429089820735998,0.0236635203458197,0.964499705193464,7949,no,127951
lonely,이별이,9,0.5506205352969628,0.0306588884385654,0.9472561952364672,9365,no,99650
everywhere,나처럼,8,0.5029182539795021,0.1017795441465039,0.8316852740957141,8364,no,448320
romans,그리스인들은,7,0.608596505508888,0.0287565978210554,0.9548812147131434,7221,no,2089
pga,챔피언십에서,9,0.4988710291925056,0.057557544684923,0.8965589702127663,8346,no,1454
fungi,동물성,5,0.5836018791191782,0.015511553645891,0.9741091539638812,8169,no,34312
ucla,하버드,9,0.5497891788221367,0.0454979092223937,0.9235698033164962,7625,no,1145
drag,drift,3,0.4573534858495209,0.0145485793232232,0.9691703419057984,7246,no,165761
latitude,위도와,1,0.656313727126284,0.0276761304572437,0.9595372209830408,8123,no,32845
carnival,축제일,5,0.5196963626411808,0.0640347473019823,0.8903009515661804,8577,no,33639
ultra,킬로비트,0,0.4631661776692079,0.0,1.0,7522,no,68670
conservatory,음악학,9,0.6440079736447337,0.0559272084636618,0.9200965890938732,8506,no,17962
updates,업데이트된,8,0.5795532821292071,0.0390800644458437,0.9368283900921228,7853,no,367134
diagram,그래프를,7,0.5152486325668193,0.0444161483270187,0.920637942848428,7668,no,85413
kolkata,카불,2,0.4785577584582258,0.0134312714247221,0.9727000591295344,8588,no,2324
minds,생각들을,1,0.5331598657753543,0.042688654855017,0.9258682564500008,8367,no,320232
andreas,울리히,4,0.5203327040099952,0.0307514025868524,0.9441983497278592,7777,no,957
notices,전화번호가,9,0.4875222680413552,0.0165091676079879,0.9672457580215822,8578,no,87207
wow,케이팝,6,0.4991568014703444,0.0264181432541009,0.9497347742329084,8567,no,171968
constantinople,콘스탄티노플로,8,0.7064003840078781,0.0202609783121517,0.9721177162255276,7728,no,647
badminton,핸드볼,4,0.6655438003857187,0.1077007135077253,0.8607158388160683,9122,no,10772
cheese,치즈,1,0.5983528488487759,0.0022953395237691,0.9961785624793302,7312,yes,287661
deadly,끔찍한,7,0.5144943026535301,0.0138399218057657,0.9738046085885697,8831,no,131241
tough,멍청한,4,0.4895749033128742,0.0177445740122018,0.96502288044259,6934,no,638893
deaf,시청각,7,0.438507459005668,0.0643835294047713,0.8719731892427071,9366,no,74939
alexandra,소피아,1,0.5124807235561928,0.0421748024543959,0.9239621702541356,7684,no,1384
apache,자바,5,0.4315729533952902,0.0940977644410362,0.8209948523890679,9400,no,10147
blessed,천주의,6,0.5966108620130041,0.0114886155244114,0.981107341892586,8481,no,181165
homeland,니아살랜드,2,0.4476710772573864,0.0100039808818706,0.9781417389827988,7793,no,57340
smoking,흡연,0,0.5586731574587098,0.0,1.0,7901,yes,492346
pga,챔피언십과,8,0.5005209445333915,0.0559076293440371,0.8995241582321173,8346,no,1454
paraguay,볼리비아,4,0.7314000957483686,0.0571028791122721,0.9275806421372544,7986,no,486
samoa,아메리칸사모아,4,0.5344576786627903,0.036460596395642,0.9361369253910984,8975,no,619
cry,gone,9,0.5140556549921496,0.0970584356641426,0.8411778796330667,7321,no,235647
whale,물고기들이,0,0.4675263095261057,0.0,1.0,8393,no,52666
brave,바보야,2,0.4585514599194572,0.0055858784674922,0.9879650310252882,9300,no,118161
flame,불꽃과,3,0.4774727495724856,0.0503003648236145,0.9046932034778424,8112,no,91315
advances,발전은,6,0.4648828860388769,0.0165267895809217,0.9656700095201785,8250,no,214891
jupiter,행성,1,0.6181153235242811,0.002793164240002,0.9955014880694264,8935,no,2367
productive,생산적인,0,0.5510468002452364,0.0,1.0,7064,no,264497
easter,성탄절,7,0.5247714091686172,0.0623573118856467,0.893792775503,7313,no,14774
knife,권총과,1,0.5184441471810154,0.0072844911633093,0.9861440092245112,7829,no,180756
pier,mtr,6,0.4342791645194562,0.019728604103018,0.9565456684521556,8085,no,32699
imprisonment,선고받았고,2,0.6473452107500546,0.0180041217911109,0.9729403474076572,7004,no,55188
alma,노터데임,3,0.4376536405831736,0.0138604606102487,0.9693022641516326,7683,no,14117
objectives,목표인,5,0.6051418072565415,0.1199305514985151,0.8345950579271358,8036,no,313820
kay,스완슨,9,0.4909302800729672,0.047289976844166,0.9121363861051276,8115,no,5270
wimbledon,리버풀,9,0.516700345828363,0.0446378861172531,0.9204795191616704,8714,no,569
judy,jenny,6,0.515657461661896,0.0207908827426729,0.961243458089614,9090,no,1814
dish,음식이다,3,0.581084465084919,0.0117423629110889,0.9801925919061678,7715,no,231498
macedonian,아르메니아의,7,0.6630835878071428,0.0836534663562611,0.8879746680711043,8039,no,209
toyota,toyota,3,0.6425313489805387,0.1276219639431366,0.8342901837834665,7787,no,18893
tears,재회,8,0.5426278251193879,0.0328574359390105,0.9429048176167342,8264,no,222814
fitness,트라이애슬론,9,0.4477636557081476,0.0275532112931241,0.942031909225198,7592,no,485398
colombian,볼리비아의,7,0.7388851265406007,0.0638545590952581,0.9204542141894004,7260,no,700
bassist,기타리스트,0,0.7550962746028415,0.0,1.0,7258,no,21674
roma,카타니아,8,0.5075403601519941,0.019627976558917,0.9627671557791594,7767,no,2609
greenwich,베드퍼드셔,5,0.5153270638238014,0.0309555137787043,0.9433342466923252,9412,no,1195
prohibited,금지한다,5,0.6198811043924743,0.0366517391768533,0.9441737918584676,7090,no,108953
fischer,한스,6,0.4877344054899082,0.0249557695295934,0.9513238779568104,8403,no,1818
angelo,클리오,7,0.5472254965878223,0.0133265128309805,0.9762260903412016,9033,no,1314
censorship,폭력적,9,0.5484203797021112,0.0549122345332542,0.9089851381516192,7735,no,38726
bates,roberts,8,0.47476350044941,0.0275671188680867,0.945121563751098,8579,no,853
tanzania,나이지리아,0,0.6524201534877612,0.0,1.0,6912,no,1062
greenwich,런던,4,0.5181759191140807,0.028106658488425,0.9485492314036847,9412,no,1195
bombay,스리랑카에서,7,0.4459974961771109,0.0510627112946068,0.8972705709951398,8209,no,1420
gambling,도박과,1,0.5021098164525764,0.0500516032890843,0.9093533131805878,9136,no,245566
pérez,바스케스,8,0.6184134975081008,0.0415788480895018,0.9370010146832028,9296,no,0
steering,모터의,5,0.4981653477931908,0.0504212354519253,0.908088828651873,9274,no,117950
saves,구해내고,2,0.5084802250345299,0.0208197613534122,0.9606654791444624,8306,no,149398
sen,孫文,2,0.4090483508698389,0.0179714068405958,0.9579143435026196,8868,no,7687
slope,해발,4,0.5284112642748601,0.0203748328456661,0.962872906306168,7982,no,81792
anthropology,역사학,9,0.687641469103769,0.0545786052984741,0.9264657381539704,8366,no,27756
everyday,일상생활,2,0.5929998677540969,0.0417309712874376,0.9342540668884896,7250,no,515693
informal,대화나,0,0.4863195731609161,0.0,1.0,7319,no,136439
tide,sea,9,0.4123418177251189,0.0178778646001078,0.9584448007969264,7861,no,89289
bangkok,방콕의,8,0.6148042645835747,0.1561980164821348,0.797409138315088,7770,no,3811
beth,홀트,8,0.4831441286748249,0.0191044520886269,0.9619621581417176,8898,no,3741
tourists,관광객을,8,0.6657797386272448,0.037276743928135,0.9469790196761344,7216,no,197273
carnegie,카네기,0,0.5439722550491242,0.0,1.0,7383,yes,847
cure,치료해,0,0.5761868529272662,0.0,1.0,7980,no,306192
sketches,스케치를,1,0.549182559124074,0.0117194806496006,0.97910601171226,9178,no,42590
cottage,식당에,9,0.4831527709471415,0.042096582953214,0.9198540985522085,8175,no,88363
diploma,학위는,7,0.6358690540454659,0.0528033626176067,0.9233258638795746,7223,no,80053
bike,자전거는,2,0.6300644262170424,0.0861656445866694,0.8796955781401647,7002,no,539581
stark,서스펙트,7,0.427910650692807,0.0219753502055972,0.9511535140864276,8992,no,49221
nash,힐튼,3,0.5084452770983094,0.0165000477315617,0.968568064232386,8187,no,1695
desktop,윈도우용,3,0.6954337649154364,0.0311038459338668,0.9571889390591806,9319,no,257843
pronunciation,발음과,0,0.6266476777392258,0.0,1.0,8881,no,29497
drainage,하천,3,0.5705995907692218,0.0240580137624393,0.959543082306352,8559,no,78542
clarinet,타악기,4,0.6588291706167617,0.0467313900485228,0.9337670036368544,9013,no,12664
cache,메가바이트,3,0.4778913243908664,0.0093199406708537,0.9808708432271716,8713,no,74418
petty,젠트리,1,0.3994144261038562,0.0113445420335446,0.9723815110233944,8353,no,44606
neighborhoods,마을들을,3,0.539792746185016,0.0106798789786544,0.9805987101075572,7003,no,110790
sonic,마리오브라더스,7,0.5290023081024968,0.0311029645408564,0.9444694309088192,8355,no,35583
catalan,카탈루냐,2,0.6194292874171965,0.0467671359680803,0.9297997792746572,8825,yes,670
monkey,원숭이,0,0.5223753839323569,0.0,1.0,7424,yes,58137
notation,변수의,6,0.5753417645920602,0.0384087191711481,0.9374196514915226,8643,no,27694
continuity,일관성과,5,0.476044598669556,0.0227435452266506,0.9544023940725758,9353,no,73014
tunisia,에티오피아,7,0.6433317472344058,0.1104937650940514,0.8534226246167336,7925,no,558
lafayette,인디애나,2,0.5990311144458511,0.01653418436128,0.9731398368405096,9258,no,7487
wagon,기관차,2,0.5560231694300783,0.0134306722536037,0.9764148184269092,8902,no,56556
peters,ritchie,3,0.5311595874644763,0.006296857370623,0.9882839671360624,8779,no,1664
emi,레코딩스,4,0.6119376413264275,0.0637965876581678,0.9055892317989678,8535,no,2530
bonds,마이너스,6,0.4662484832021352,0.0391858832660487,0.9224708768027244,7044,no,217570
icelandic,스웨덴의,7,0.5915376367074091,0.1121746812933329,0.8405958252769782,8046,no,1445
pipes,플러그,3,0.4467175216497029,0.01810515398379,0.9610493314270544,8918,no,112520
courage,영웅적인,3,0.4859348880770758,0.0174198001732349,0.9653925937716262,8081,no,177111
nascar,기아자동차는,6,0.4896248710019285,0.0198495109797836,0.9610392363545844,7207,no,2456
winston,맥패든,9,0.4941226047761512,0.0236671566875981,0.954291956989082,7332,no,2808
icelandic,아이슬란드어,8,0.5889369190336339,0.1147753989671082,0.8369001138232354,8046,yes,1445
reward,선물로,3,0.4955931431004318,0.0868839515510498,0.850837136174366,8368,no,268982
prehistoric,만년전,3,0.5941561258699437,0.0356623671572771,0.9433767544902246,7375,no,24750
precision,정확도가,7,0.5324793496691953,0.0873236311093219,0.8591106628760689,8505,no,118788
chances,기회에서,6,0.5308172333393637,0.0291342576797715,0.9479700328563356,8351,no,437042
trigger,조작할,5,0.4895480148675298,0.0115679948118715,0.9769155353482472,8914,no,229233
jupiter,해왕성이,3,0.5942711592100768,0.0266373285542064,0.9570994291765604,8935,no,2367
gifts,선물은,3,0.6384256616679749,0.0305036000787437,0.9543993635454184,8929,no,483189
