en,ko,position,score,rel_score,ratio_score,index,correctness,freqs
nam,zhou,0,0.4404122407881971,0.0,1.0,8777,no,3446
alexandra,카밀라,2,0.5205487917839677,0.0590120198132742,0.8981780364848343,7684,no,1384
barton,맬리스,5,0.5404064856515175,0.0396188312441831,0.931694651784816,9193,no,1280
eternal,영원으로,8,0.5690933440196682,0.1266359764768072,0.8179809693999395,8669,no,159727
poker,오프라,5,0.4650998488755795,0.1128613669176514,0.8047250164308114,7868,no,326975
symbolic,상징적,3,0.5849035392552797,0.0192368208522266,0.9681583583510238,9203,no,85825
physicist,물리학자,0,0.8018429218720386,0.0,1.0,7470,yes,22297
dodgers,자이언츠,4,0.6584219526947291,0.1540325131158886,0.8104108973513927,7988,no,1605
blame,가책을,7,0.5453625048939619,0.0631661013756679,0.8961986326938919,8598,no,279168
shepherd,제로니모,8,0.4316246120401633,0.0101065486135991,0.9771205893678828,8178,no,32273
coral,산호초,0,0.5597107247986649,0.0,1.0,7941,no,75686
sánchez,ramírez,6,0.526877604153658,0.102951940601882,0.836539994893632,9046,no,0
retire,은퇴하였다,2,0.5714452987124481,0.0050805279985505,0.9911876835986096,9001,no,93197
pos,sepc,4,0.4377804885550687,0.1159493974720604,0.7906029629284274,7569,no,10338
alert,감지해,6,0.482179368373166,0.0587614805405188,0.8913717079075772,8537,no,194366
belarus,우크라이나를,6,0.646112184992218,0.0498240345868952,0.9284071827486896,7204,no,371
dad,아빠와,5,0.5351598103150736,0.0140776932538713,0.9743686598923154,8950,no,311825
flames,불꽃은,7,0.4474812884740132,0.0514161901524744,0.8969403688027686,8344,no,68854
cubs,레드삭스,2,0.5910687945159143,0.1680932909072812,0.7785804979794566,7632,no,13046
interrupted,되돌아온다,6,0.4705067252074144,0.0207797157468719,0.9577034617391252,9018,no,63563
chronicles,이야기에서,8,0.5011417022425635,0.1189592343801286,0.8081614986295194,7747,no,21497
mice,바이러스나,9,0.5261844817351978,0.0176867895716251,0.967479823802557,9125,no,103656
jupiter,목성,3,0.6215612156613671,0.0166947523954056,0.973843170716861,8935,yes,2367
gloria,티나,5,0.4910299433374585,0.042667444825019,0.9200531129224312,8137,no,2310
