en,ko,position,score,rel_score,ratio_score,index,correctness,freqs
mackenzie,慶,2,0.6923775845806439,0.0081100912423964,0.9884222213718928,9242,no,788
wheeler,照,1,0.671780482011129,0.0059997858845759,0.991147889413772,8893,no,8357
monarchs,군주,0,0.6595078507136162,0.0,1.0,7760,no,8033
barber,遊,5,0.486028136685851,0.0191609537250027,0.962071719107355,9315,no,15922
explosive,폭탄과,2,0.6978451051458965,0.0179294753706449,0.974950947045778,8682,no,82060
precisely,가정하는,9,0.6694670029165656,0.0645877742220802,0.912012323557318,7086,no,342738
dirty,나쁜,2,0.5337510683959956,0.046180889965335,0.9203684340903976,6917,no,231623
tendency,극단적으로,2,0.6561912045037503,0.0797087777441261,0.8916853109567308,7970,no,192854
jupiter,목성으로,4,0.6805499244314624,0.0419521556765128,0.9419348997995364,8935,no,2367
prizes,수상자를,1,0.6616404902248489,0.0063308179312887,0.9905223205637914,7385,no,140726
łódź,바르샤바의,2,0.6149068384089953,0.0445859598988436,0.932393560607114,9321,no,0
recreational,관광에,9,0.5663878507978114,0.0774847184730528,0.8796583017027759,7578,no,131671
riots,폭동을,6,0.6711854855865232,0.0623209804415061,0.9150369037931224,8083,no,41089
organs,인체를,0,0.5667234024425811,0.0,1.0,9025,no,155788
winston,小山,6,0.5129471283045212,0.0130294697698696,0.9752280428110855,7332,no,2808
rudolf,하르트만,8,0.7171171142990629,0.0304785724166327,0.9592312088496258,8078,no,248
specialty,전문적으로,8,0.5248725389190378,0.1016946809899386,0.8376954973726328,9054,no,159677
censorship,비난하는,9,0.6028367376147564,0.1314850606690211,0.8209435414060677,7735,no,38726
torture,체포와,7,0.6295935743769587,0.0398311518888381,0.9404994313385684,7786,no,121293
forums,커뮤니티에,3,0.6907632682844302,0.0057395513428906,0.9917594714893448,8289,no,233751
somalia,소말리아에,1,0.7662881116184326,0.0196340943787274,0.9750177635535616,8749,no,681
clips,동영상과,7,0.6805087158696149,0.0460278016659335,0.9366476418527973,8495,no,146201
satisfied,만족할,1,0.6794946670252661,0.0507350646690618,0.9305217762753332,7939,no,309494
leipzig,베를린,2,0.7700054443706792,0.033861894945435,0.957876264789856,7354,no,190
provider,사업자에,9,0.6630405009678023,0.0762375910743082,0.8968756251605984,7291,no,657989
polar,북극에,1,0.5526449855389957,0.0644288931970419,0.8955896604649468,7450,no,57706
radius,반지름의,6,0.7191733792877167,0.043084357108906,0.9434779667667575,8247,no,54763
statues,건축물인,4,0.6408661167453146,0.0854251453314319,0.8823816975476635,8855,no,41770
surveys,조사의,9,0.539794222406883,0.0881465316391425,0.8596260378527976,8312,no,184232
