et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
tegelema,privyrábať,7.0,0.4842020739086209,0.1508908531529914,0.7624113783614015,4358.0,817278.0,no,meaning
pood,pakáreň,6.0,0.5111022597883181,0.0458663738841211,0.9176499876093636,16503.0,513985.0,no,meaning
minister,minister,0.0,0.6882824356240435,0.0,1.0,2924.0,305397.0,yes,1
matused,zázračné,5.0,0.4606468616820273,0.0301435075854141,0.9385817051984808,18043.0,0.0,no,meaning
neli,dvanásť,9.0,0.4847692032147923,0.1720164411325984,0.7380934820773664,516.0,863991.0,no,meaning
eeldama,predpokladať,3.0,0.5158328435690553,0.029818171855215,0.94535303515924,81721.0,262727.0,yes,1
organism,organizmy,7.0,0.6544679654700936,0.0951203439545421,0.8731032184485987,8166.0,187605.0,yes,not_basic_form
ohver,smrteľník,1.0,0.4416109662095083,0.0259657842527245,0.9444673324175004,15518.0,186708.0,no,meaning
olud,politické,0.0,0.5182374123640306,0.0,1.0,32436.0,0.0,no,meaning
soodne,priaznivejší,3.0,0.4609598102425492,0.0488681262203081,0.9041478061022882,20879.0,137496.0,yes,2nd_grade
laupäev,pondelkom,8.0,0.513999893393847,0.0380825354445031,0.931020200145414,34506.0,339416.0,no,meaning
samuti,napríklad,7.0,0.490750860278668,0.1252206180291045,0.7967103633221511,108.0,1933240.0,no,meaning
vahendusel,sprostredkujúci,9.0,0.5023649479424976,0.0365796976729742,0.9321271711843424,3552.0,0.0,no,meaning
mahtuma,pojať,9.0,0.4477396747631776,0.0284504504791406,0.9402540099615396,112332.0,213662.0,no,meaning
õhtu,večer,1.0,0.5068747068432675,0.0223962077252886,0.9576847941029496,10647.0,832578.0,yes,1
jälgima,preverovať,6.0,0.4708970783696842,0.0390563738906852,0.9234118845208952,20574.0,463215.0,no,meaning
samasugune,nepodobný,3.0,0.5003911544824546,0.0738053286028317,0.8714632869113736,8596.0,232692.0,no,antonymum
paiknema,nachádzať,0.0,0.5519586494294515,0.0,1.0,48196.0,116486.0,no,meaning
matused,obetné,6.0,0.4598646307621142,0.0309257385053272,0.9369878863933552,18043.0,0.0,no,meaning
enese,uvedomení,9.0,0.4554601094858722,0.0248643632971747,0.9482342360090292,4048.0,0.0,no,meaning
sõitma,preplávať,8.0,0.4746001352374273,0.0810849676573919,0.8540810843497818,13698.0,1406894.0,no,meaning
kilo,centimetroch,8.0,0.4450173035338802,0.0247997050727363,0.9472141182238436,17521.0,106652.0,no,meaning
tüüp,typov,5.0,0.4847717426928342,0.1516032576541694,0.7617705636275734,2340.0,374774.0,yes,not_basic_form
õhtu,popoludnie,6.0,0.478564762094978,0.0507061524735781,0.9041962233747304,10647.0,832578.0,no,meaning
õnnelik,šťastná,1.0,0.5005570344727861,0.0151752885842295,0.9705752618058188,9829.0,251656.0,yes,not_basic_form
hommik,večerník,9.0,0.5013075630778391,0.1009591562662628,0.8323680306024343,20865.0,659630.0,no,meaning
suhkur,citrusový,7.0,0.5382681348427403,0.0375693937494481,0.9347569550715148,28078.0,157996.0,no,meaning
ettevõte,koncern,6.0,0.5720808760181235,0.0528285721988243,0.9154620363805348,1464.0,1428160.0,no,meaning
