et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
sisemine,zlyhávanie,4.0,0.5462550604012951,0.0263933322219375,0.9539100562196065,7545.0,148597.0,no,meaning
süles,zaspí,1.0,0.533185460909772,0.00521472279089,0.9903144111968036,67682.0,0.0,no,meaning
lugu,skladbám,8.0,0.4926445818422014,0.1120958451161019,0.8146380825242383,902.0,1104562.0,yes,not_basic_form
eel, počas,1.0,0.4728738118021365,0.01558074315925,0.9681019595354542,4673.0,106733.0,no,meaning
ohver,znásilnenie,3.0,0.4780170237108123,0.0184934323137146,0.962753186585861,15518.0,186708.0,no,meaning
põhjendama,argumentovať,5.0,0.6334237787547444,0.0359850029162417,0.946243604951797,96011.0,121083.0,no,meaning
põhi,plytká,4.0,0.377472758301993,0.0123567249669472,0.9683022308540412,5547.0,317683.0,no,meaning
süles,zaspáva,2.0,0.5320695770671022,0.0063306066335598,0.988241819328428,67682.0,0.0,no,meaning
hindamine,hodnotenie,1.0,0.7485732425136127,0.0088767422013408,0.9882807546630537,6466.0,229765.0,yes,1
tüüp,typovej,9.0,0.494464117027525,0.186291453611696,0.7263460460018407,2340.0,374774.0,no,pos_tag
miski,súcna,4.0,0.555978939019683,0.0313954417060566,0.946549521504044,3749.0,3791215.0,no,meaning
maantee,križovatky,3.0,0.7041075190181932,0.0411760542921787,0.9447511581272556,877.0,219004.0,no,meaning
ettevõtlus,podnikanie,5.0,0.6446021954951213,0.0366032415481614,0.9462669562547316,31008.0,139413.0,yes,1
hommik,popoludnie,1.0,0.6061119582354235,0.0512617150228145,0.9220204320493418,20865.0,659630.0,no,meaning
võimalik,potrebné,4.0,0.6411824007542635,0.1807636480376889,0.7800784512519227,209.0,2337813.0,no,meaning
kiire,rýchleho,7.0,0.5832134245273184,0.0989854302682563,0.854902379896375,1916.0,532068.0,yes,not_basic_form
laupäev,piatok,3.0,0.6052162389195173,0.0163149816092202,0.9737503425888387,34506.0,339416.0,no,meaning
peamiselt,predovšetkým,3.0,0.628871378598157,0.0961492097515295,0.8673841663305214,239.0,307417.0,yes,1
selts,spevokol,5.0,0.4233872855397704,0.0652944088990138,0.866386628265256,507.0,185095.0,no,meaning
ripsmed,brušnobrvky,8.0,0.698658153392532,0.0644389131661756,0.9155560727591684,68151.0,0.0,no,meaning
eeldama,nutne,4.0,0.5609915163872703,0.0212682698000603,0.9634728856352486,81721.0,262727.0,no,meaning
prillid,dáždniky,4.0,0.5143887804246755,0.0691962891217722,0.8814289591480632,27376.0,0.0,no,meaning
seoses,súvisiacou,1.0,0.5860303643958829,0.108433125312972,0.8438605817010896,695.0,441101.0,yes,not_basic_form
samuti,takisto,4.0,0.5646116850346024,0.1421056405648579,0.7989215271546946,108.0,1933240.0,yes,1
sundima,presvedčovať,4.0,0.5344711059047628,0.0355053218657724,0.9377073855410974,98623.0,292004.0,no,meaning
laekuma,vyplácanie,9.0,0.5278396921217364,0.0238615617341422,0.956749125423638,305045.0,135172.0,no,meaning
vangi,väzenia,1.0,0.6272449532364908,0.000462726748419,0.9992628308316536,2022.0,0.0,yes,not_basic_form
ettevõtlus,"podnikania,",2.0,0.6589759802022395,0.0222294568410432,0.96736747002853,31008.0,139413.0,yes,1
üheksa,päť,3.0,0.7046005795008952,0.0233177691340696,0.967966504515518,2881.0,166919.0,no,meaning
neli,šesť,2.0,0.6953647259835474,0.0165475859581163,0.976756145833488,516.0,863991.0,no,meaning
ammu,zabudlo,7.0,0.44956471923534,0.1513764629323502,0.7481010331388652,8069.0,270403.0,no,meaning
õnnelik,láskavé,6.0,0.5449759397938483,0.0717350202277559,0.8836812950020494,9829.0,251656.0,no,meaning
kalad,dážďovníky,3.0,0.5947274300442851,0.0076170087835145,0.9873543967661796,7921.0,0.0,no,meaning
koht,najvyššia,4.0,0.4159539078953059,0.1569465285146173,0.7260492076107994,290.0,2726920.0,no,meaning
samasugune,takýto,2.0,0.5499937466836171,0.0751155192877404,0.8798361768465895,8596.0,232692.0,no,meaning
sõbralik,bojazlivý,9.0,0.5168924403127838,0.0837469377826077,0.8605703508015631,27328.0,132673.0,no,meaning
organism,organizmu,7.0,0.6653629847141878,0.1035374609173742,0.8653434765116694,8166.0,187605.0,yes,not_basic_form
organism,vnútrobunkový,2.0,0.6994017371127766,0.0694987085187853,0.9096128648206202,8166.0,187605.0,no,meaning
õnnelik,šťastná,4.0,0.5614725123273854,0.0552384476942188,0.910430572383076,9829.0,251656.0,yes,not_basic_form
te,ti,7.0,0.3681781196645274,0.1057579672307557,0.7768518368719977,2240.0,44.0,no,meaning
selge,jednoznačný,2.0,0.5121026408281985,0.1023206350906927,0.8334688168548485,1830.0,764054.0,yes,near_equivalent
pidu,popoludnie,9.0,0.5048452019046626,0.1042026727145232,0.8289088968914354,13249.0,237563.0,no,meaning
läbirääkimised,podpísania,8.0,0.6372791402519953,0.126586812934215,0.8342813782886898,8527.0,0.0,no,meaning
organism,mikroorganizmus,5.0,0.674130824420766,0.094769621210796,0.8767465648521586,8166.0,187605.0,no,meaning
nõu,žiadosťou,6.0,0.4039336319677954,0.0449191627147254,0.8999245114503579,4848.0,282856.0,no,meaning
ettevõte,firmy,4.0,0.6726094017395835,0.0819479412277653,0.8913960058946621,1464.0,1428160.0,yes,not_basic_form
näitleja,herec/herečka,2.0,0.7349823613611433,0.0547670622300552,0.9306526087970852,164.0,214001.0,yes,1
elama,usadil,9.0,0.6174506431439091,0.0721260379904044,0.8954053407493983,1285.0,1552401.0,no,meaning
laekuma,vyplatenie,7.0,0.5290058541168019,0.0226953997390767,0.9588628817127802,305045.0,135172.0,no,meaning
kell,„diskusia,2.0,0.6471863680730401,0.1290874246187114,0.8337088977703381,138.0,1860327.0,no,meaning
suhkur,smotana,8.0,0.592741375695014,0.0357469313062533,0.94312236057849,28078.0,157996.0,no,meaning
ohver,násilník,8.0,0.4674181754423998,0.0290922805821271,0.9414065097136846,15518.0,186708.0,no,meaning
sõbralik,láskavý,3.0,0.5417180327358693,0.0589213453595223,0.9019022936085876,27328.0,132673.0,no,meaning
linn,mestečko,6.0,0.5779427598054774,0.2099868281519359,0.7334954399969995,114.0,1549647.0,yes,1
laupäev,pondelok,4.0,0.6050232175190718,0.0165080030096657,0.9734397847374066,34506.0,339416.0,no,meaning
tellimus,objednávke,0.0,0.676886197661106,0.0,1.0,41001.0,182512.0,yes,not_basic_form
õpingud,maturitu,5.0,0.6162239224902946,0.0598567429199148,0.9114650869603008,6881.0,3.0,no,meaning
süles,fakľu,7.0,0.4909782939555871,0.047421889745075,0.911920740035556,67682.0,0.0,no,meaning
ettevõte,koncern,7.0,0.6357370713794438,0.118820271587905,0.8425298319665989,1464.0,1428160.0,no,meaning
olud,mocenské,8.0,0.5070181044479982,0.0444694194688133,0.9193645956793736,32436.0,0.0,no,meaning
kilo,ton,5.0,0.5088360413058932,0.0721414130642356,0.8758275170205214,17521.0,106652.0,no,meaning
põhjendama,poukazovať,6.0,0.6276641239738088,0.0417446576971773,0.9376395128952836,96011.0,121083.0,no,meaning
Kalad,-,0.0,0.0,0.0,0.0,0.0,4.0,no,not_language
demokraatia,demokracií,0.0,0.7891562891034405,0.0,1.0,4098.0,110824.0,yes,not_basic_form
dressid,-,0.0,0.0,0.0,0.0,0.0,0.0,no,not_language
eel,počas,0.0,0.4884545549613865,0.0,1.0,4673.0,106733.0,no,meaning
eesotsas,čele,0.0,0.6511116709221375,0.0,1.0,3280.0,0.0,no,meaning
elama,odsťahoval,0.0,0.6895766811343135,0.0,1.0,1285.0,1552401.0,no,meaning
enda,vlastného,0.0,0.5369192339218805,0.0,1.0,388.0,72.0,yes,not_basic_form
esindus,veľvyslanectvo,0.0,0.4986580682136837,0.0,1.0,11379.0,104355.0,no,meaning
ettevõte,firma,0.0,0.7545573429673489,0.0,1.0,1464.0,1428160.0,yes,1
ettevõtlus,podnikateľský,0.0,0.6812054370432827,0.0,1.0,31008.0,139413.0,no,pos_tag
hindamine,zhodnotenie,0.0,0.7574499847149535,0.0,1.0,6466.0,229765.0,yes,near_equivalent
hommik,večerů,0.0,0.657373673258238,0.0,1.0,20865.0,659630.0,no,antonymum
jutumärgid,úvodzovky,0.0,0.6628122806469892,0.0,1.0,54936.0,0.0,yes,1
juur,koreň,0.0,0.582242260997818,0.0,1.0,14600.0,128780.0,yes,1
järgmine,predposledný,0.0,0.5561949267753898,0.0,1.0,1855.0,1661707.0,no,meaning
kalad,rybky,0.0,0.6023444388277996,0.0,1.0,7921.0,0.0,yes,1
kell,utc,0.0,0.7762737926917516,0.0,1.0,138.0,1860327.0,no,shortcut
