et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
laupäev,nedeľou,0,0.5520824288383501,0.0,1.0,34506,339416.0,no,meaning
enese,sebauvedomenie,0,0.5132528684238116,0.0,1.0,4048,0.0,no,meaning
õde,dcérku,0,0.5704498593560264,0.0,1.0,1463,229863.0,no,meaning
hommik,večerů,0,0.6022667193441019,0.0,1.0,20865,659630.0,no,antonymum
lugu,„príbeh,0,0.5087176817440149,0.0,1.0,902,1104562.0,yes,1
selge,neprehľadný,0,0.5172273563843827,0.0,1.0,1830,764054.0,no,meaning
prillid,nožničky,0,0.537784011684476,0.0,1.0,27376,0.0,no,meaning
sõbralik,arogantný,0,0.5921097104196287,0.0,1.0,27328,132673.0,no,meaning
kiire,pomalého,0,0.511068860688431,0.0,1.0,1916,532068.0,no,antonymum
prillid,okuliare,0,0.5915154496390306,0.0,1.0,27376,0.0,yes,1
olemasolu,existenciu,0,0.6800404855370481,0.0,1.0,1319,195567.0,yes,not_basic_form
miski,indivíduum,0,0.5411584964439655,0.0,1.0,3749,3791215.0,no,meaning
sisemine,zužovanie,0,0.5640932684707431,0.0,1.0,7545,148597.0,no,meaning
hetk,okamih,0,0.4913732294827939,0.0,1.0,14109,1585458.0,yes,1
lõplik,definitívna,0,0.4814075373835746,0.0,1.0,5056,122888.0,yes,not_basic_form
õpingud,maturite,0,0.6025333105639925,0.0,1.0,6881,3.0,no,meaning
raadio,rádiu_fm,0,0.5498892179169683,0.0,1.0,1163,148117.0,yes,near_equivalent
madalale,nízkemu,0,0.5585718867880396,0.0,1.0,24269,26.0,yes,not_basic_form
õde,sestra,0,0.6791531206788264,0.0,1.0,1463,229863.0,yes,1
ripsmed,panôžky,0,0.709195572049137,0.0,1.0,68151,0.0,no,meaning
laupäev,nedeľou,0,0.5598588470035907,0.0,1.0,34506,339416.0,no,meaning
ahi,dušička,0,0.4166452751815026,0.0,1.0,24131,169140.0,no,meaning
ettevõtlus,podnikovohospodárska,0,0.6071618868094246,0.0,1.0,31008,139413.0,no,meaning
kiire,rýchly,0,0.5182851741313627,0.0,1.0,1916,532068.0,yes,1
selge,jasné,0,0.5389824483384377,0.0,1.0,1830,764054.0,yes,1
selts,spolky,0,0.4536137839057949,0.0,1.0,507,185095.0,yes,not_basic_form
koht,miesto,0,0.6209155468624924,0.0,1.0,290,2726920.0,yes,1
ettevõtlus,podnikanie,0,0.6089014958954875,0.0,1.0,31008,139413.0,yes,1
laul,pieseň,0,0.6731321245320524,0.0,1.0,752,392297.0,yes,1
juur,koreň,0,0.4958526188130159,0.0,1.0,14600,128780.0,yes,1
jälgima,sledovať,0,0.5099534522603695,0.0,1.0,20574,463215.0,yes,1
vahendusel,sprostredkovane,0,0.5706657852231658,0.0,1.0,3552,0.0,yes,1
tegelema,zaoberať,0,0.723133125810822,0.0,1.0,4358,817278.0,yes,1
linn,mesto,0,0.6972345930735921,0.0,1.0,114,1549647.0,yes,1
sülle,hrýzť,0,0.5809159073214472,0.0,1.0,105259,5.0,no,meaning
ohver,mefistofeles,0,0.4566063768285362,0.0,1.0,15518,186708.0,no,meaning
näitleja,herec,0,0.6972670026257275,0.0,1.0,164,214001.0,yes,1
püksid,trenírky,0,0.5712977591559507,0.0,1.0,10577,0.0,no,meaning
õhtu,večery,0,0.5146495917484493,0.0,1.0,10647,832578.0,yes,not_basic_form
õhtu,večerů,0,0.6558373156903237,0.0,1.0,10647,832578.0,yes,not_basic_form
miski,súcno,0,0.5394156167597315,0.0,1.0,3749,3791215.0,no,meaning
kell,utc,0,0.7490382006890779,0.0,1.0,138,1860327.0,no,shortcut
kuivõrd,ale,0,0.467540069048102,0.0,1.0,7306,101438.0,no,meaning
elama,odsťahovať,0,0.6560649090487644,0.0,1.0,1285,1552401.0,no,meaning
sisemine,vnútorná,0,0.5356208974291257,0.0,1.0,7545,148597.0,yes,not_basic_form
pidu,slávnosti,0,0.5259472879035373,0.0,1.0,13249,237563.0,yes,not_basic_form
põhi,ďe,0,0.3874102084306229,0.0,1.0,5547,317683.0,no,meaning
ripsmed,žiabrové,0,0.7162692019315997,0.0,1.0,68151,0.0,no,meaning
kell,utc,0,0.5816666611016033,0.0,1.0,138,1860327.0,no,shortcut
juur,dužinatý,0,0.4577578918909989,0.0,1.0,14600,128780.0,no,meaning
nemad,potomci,0,0.4467310769104705,0.0,1.0,5796,0.0,no,meaning
pulmad,snúbenci,0,0.5303917127887348,0.0,1.0,23347,0.0,no,meaning
püksid,ponožky,0,0.6107301843880035,0.0,1.0,10577,0.0,no,meaning
matused,obetiská,0,0.4907903692674414,0.0,1.0,18043,0.0,no,meaning
põhjendama,vynucovať,0,0.6760087943233084,0.0,1.0,96011,121083.0,no,meaning
vangis,väzení,0,0.6938323501008774,0.0,1.0,10569,5.0,yes,not_basic_form
ripsmed,panôžky,0,0.7082325613536724,0.0,1.0,68151,0.0,no,meaning
kalad,rybky,0,0.6045810359839999,0.0,1.0,7921,0.0,yes,1
sisemine,vnútorný,0,0.5594466300910603,0.0,1.0,7545,148597.0,yes,1
madalale,nízkemu,0,0.498057581403851,0.0,1.0,24269,26.0,yes,not_basic_form
kilo, kw/kg,0,0.4245380692684447,0.0,1.0,17521,106652.0,no,shortcut
vuntsid,nohavice,0,0.5476321448134565,0.0,1.0,136693,0.0,no,meaning
organism,organizmus,0,0.7037457810670324,0.0,1.0,8166,187605.0,yes,1
võistlus,súťažílo,0,0.5617525230063986,0.0,1.0,4510,524195.0,no,pos_tag
nõu,mašle,0,0.4114749479527541,0.0,1.0,4848,282856.0,no,meaning
pood,predajňa,0,0.5781610039803744,0.0,1.0,16503,513985.0,yes,1
õhtu,večerů,0,0.5292709145685561,0.0,1.0,10647,832578.0,yes,not_basic_form
laekuma,vyplácať,0,0.5041676833479586,0.0,1.0,305045,135172.0,no,meaning
tellimus,objednávkam,0,0.5626282028129972,0.0,1.0,41001,182512.0,yes,not_basic_form
tegelema,suplovať,0,0.5295253682210767,0.0,1.0,4358,817278.0,no,meaning
eel, počas,0,0.4008199591254558,0.0,1.0,4673,106733.0,no,meaning
vangis,velezradu,0,0.4757508857075359,0.0,1.0,10569,5.0,no,meaning
madalale,vysoko,0,0.5103561833649211,0.0,1.0,24269,26.0,no,antonymum
demokraatia,demokracia,0,0.7113951928893784,0.0,1.0,4098,110824.0,yes,1
olud,politické,0,0.5182374123640306,0.0,1.0,32436,0.0,no,meaning
vahendusel,sprostredkovateľom,0,0.5742895673037677,0.0,1.0,3552,0.0,no,meaning
sundima,ľutovať,0,0.6348125352910816,0.0,1.0,98623,292004.0,no,meaning
põlema,zapálili,0,0.5442761552398048,0.0,1.0,7714,187965.0,yes,not_basic_form
üheksa,šesť,0,0.6019261200204309,0.0,1.0,2881,166919.0,no,meaning
näpp,rámček,0,0.5449280229693341,0.0,1.0,132113,115253.0,no,meaning
ettevõte,firma,0,0.6249094482169478,0.0,1.0,1464,1428160.0,yes,1
pidu,fašiangový,0,0.5221217015444075,0.0,1.0,13249,237563.0,no,meaning
põhi,pätke,0,0.4175854877637995,0.0,1.0,5547,317683.0,no,meaning
selts,muzeálne,0,0.4441971319681412,0.0,1.0,507,185095.0,no,meaning
minister,minister,0,0.6882824356240435,0.0,1.0,2924,305397.0,yes,1
tüüp,typ,0,0.5755312429249531,0.0,1.0,2340,374774.0,yes,1
laupäev,nedeľou,0,0.6303212155341904,0.0,1.0,34506,339416.0,no,meaning
suhkur,kakaový,0,0.5758375285921884,0.0,1.0,28078,157996.0,no,meaning
vangist,väzení,0,0.5764332227828876,0.0,1.0,47942,0.0,yes,not_basic_form
hindamine,skvalitňovanie,0,0.6290399888606721,0.0,1.0,6466,229765.0,no,meaning
ammu,dávno,0,0.5516866761029806,0.0,1.0,8069,270403.0,yes,1
soodne,výhodný,0,0.5098279364628573,0.0,1.0,20879,137496.0,yes,1
näpp,prstnatec,0,0.5467160509142205,0.0,1.0,132113,115253.0,no,meaning
õnnelik,„šťastie,0,0.549472466709416,0.0,1.0,9829,251656.0,no,pos_tag
enese,sebaúctu,0,0.5063838213654144,0.0,1.0,4048,0.0,no,meaning
mahtuma,zapĺňať,0,0.4910348481850858,0.0,1.0,112332,213662.0,yes,near_equivalent
selge,všakže,0,0.4619588796469904,0.0,1.0,1830,764054.0,no,meaning
kanal,kanál,0,0.5931482967634581,0.0,1.0,2145,195056.0,yes,1
prillid,krémové,0,0.5078409315945991,0.0,1.0,27376,0.0,no,meaning
üheksa,deväť,0,0.6986574257531476,0.0,1.0,2881,166919.0,yes,1
süles,odťal,0,0.5302628859465325,0.0,1.0,67682,0.0,no,meaning
lõplik,definitívny,0,0.4926691976939287,0.0,1.0,5056,122888.0,yes,near_equivalent
sõitma,premávať,0,0.5556851028948192,0.0,1.0,13698,1406894.0,no,meaning
vahendusel,sprostredkovanie,0,0.5389446456154718,0.0,1.0,3552,0.0,no,pos_tag
pood,predajňa,0,0.5569686336724393,0.0,1.0,16503,513985.0,yes,1
demokraatia,demokracia,0,0.706033711632031,0.0,1.0,4098,110824.0,yes,1
peamiselt,prevažne,0,0.5930918443039315,0.0,1.0,239,307417.0,yes,1
elama,odsťahoval,0,0.633534931898032,0.0,1.0,1285,1552401.0,no,meaning
lõplik,konečný,0,0.6330691440475615,0.0,1.0,5056,122888.0,yes,1
