et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
prillid,okuliare,0.0,0.8158438176019938,0.0,1.0,12013.0,0.0,yes,1
matused,pohreby,0.0,0.7441432452581266,0.0,1.0,39007.0,0.0,yes,not_basic_form
süles,náručí,0.0,0.790205424006549,0.0,1.0,10366.0,0.0,no,meaning
teie,Vaše,0.0,0.7225429293320076,0.0,1.0,359.0,7.0,yes,1
maantee,križovatky,0.0,0.7934400268013169,0.0,1.0,2810.0,219004.0,no,meaning
vahendusel,prostredníctvom,0.0,0.7361341521193064,0.0,1.0,2371.0,0.0,yes,1
põhi,spodok,0.0,0.6417060676359475,0.0,1.0,8120.0,317683.0,yes,near_equivalent
jutumärgid,úvodzovky,0.0,0.8085356392318713,0.0,1.0,121976.0,0.0,yes,1
üheksa,deväť,0.0,0.8458153713913186,0.0,1.0,2253.0,166919.0,yes,1
elama,bývať,0.0,0.7610812628882011,0.0,1.0,1542.0,1552401.0,yes,near_equivalent
kontoritarbed,kancelárske,0.0,0.7345264011320988,0.0,1.0,300027.0,0.0,yes,2nd_word_needed
tegelema,zaoberať,0.0,0.817881805465922,0.0,1.0,2658.0,817278.0,yes,1
laul,pieseň,0.0,0.8812394578140654,0.0,1.0,4021.0,392297.0,yes,1
lastevanemad,rodičia,0.0,0.8058957760280603,0.0,1.0,86554.0,0.0,yes,1
selts,spolok,0.0,0.7701220681612876,0.0,1.0,13880.0,185095.0,yes,1
paiknema,umiestnené,0.0,0.7387505246907948,0.0,1.0,39885.0,116486.0,no,pos_tag
kuivõrd,skutočnosť,0.0,0.6904628493887264,0.0,1.0,3346.0,101438.0,no,meaning
läbirääkimised,rokovania,0.0,0.7584673291493753,0.0,1.0,4758.0,0.0,yes,1
samuti,takisto,0.0,0.7375926504490071,0.0,1.0,190.0,1933240.0,yes,1
näitleja,herec,0.0,0.8209429999840411,0.0,1.0,3168.0,214001.0,yes,1
madalale,nízkemu,0.0,0.6943083957661236,0.0,1.0,17153.0,26.0,yes,not_basic_form
prillid,okuliare,0.0,0.8483648299891089,0.0,1.0,12013.0,0.0,yes,1
esindus,centrálu,0.0,0.6414318524439483,0.0,1.0,11812.0,104355.0,no,meaning
laupäev,sobota,0.0,0.8579466119109163,0.0,1.0,14506.0,339416.0,yes,1
võimalik,možné,0.0,0.8568250370631352,0.0,1.0,135.0,2337813.0,yes,not_basic_form
neli,šesť,0.0,0.8967104320334067,0.0,1.0,605.0,863991.0,no,meaning
lugu,príbeh,0.0,0.7718354212195268,0.0,1.0,502.0,1104562.0,yes,1
dressid,tepláky,0.0,0.7578068274218572,0.0,1.0,76903.0,0.0,no,meaning
põhjendama,zdôvodňovať,0.0,0.7455675701031685,0.0,1.0,30840.0,121083.0,yes,1
kell,11.00,0.0,0.8321499581825786,0.0,1.0,174.0,1860327.0,no,number
kilo,kilogramov,0.0,0.8193002231828426,0.0,1.0,3095.0,106652.0,yes,not_basic_form
